Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fasttext,no_transform,train,18.993160247802734
1,fasttext,no_transform,test,3.2195990085601807
2,fasttext,no_transform,train,17.856224060058594
2,fasttext,no_transform,test,2.941871404647827
3,fasttext,no_transform,train,17.084497451782227
3,fasttext,no_transform,test,3.099425792694092
4,fasttext,no_transform,train,16.49114227294922
4,fasttext,no_transform,test,3.977360725402832
5,fasttext,no_transform,train,15.857145309448242
5,fasttext,no_transform,test,5.75933313369751
6,fasttext,no_transform,train,15.253613471984863
6,fasttext,no_transform,test,8.430379867553711
7,fasttext,no_transform,train,14.586954116821289
7,fasttext,no_transform,test,12.035654067993164
8,fasttext,no_transform,train,14.005341529846191
8,fasttext,no_transform,test,16.444177627563477
9,fasttext,no_transform,train,13.52873706817627
9,fasttext,no_transform,test,20.63728141784668
10,fasttext,no_transform,train,13.289328575134277
10,fasttext,no_transform,test,23.46892547607422
11,fasttext,no_transform,train,13.222216606140137
11,fasttext,no_transform,test,23.905372619628906
12,fasttext,no_transform,train,13.179609298706055
12,fasttext,no_transform,test,25.0440673828125
13,fasttext,no_transform,train,13.112646102905273
13,fasttext,no_transform,test,25.045751571655273
14,fasttext,no_transform,train,13.037403106689453
14,fasttext,no_transform,test,25.01068115234375
15,fasttext,no_transform,train,12.975098609924316
15,fasttext,no_transform,test,25.0252685546875
16,fasttext,no_transform,train,12.917469024658203
16,fasttext,no_transform,test,24.559307098388672
17,fasttext,no_transform,train,12.861138343811035
17,fasttext,no_transform,test,22.9550838470459
18,fasttext,no_transform,train,12.811653137207031
18,fasttext,no_transform,test,21.61511993408203
19,fasttext,no_transform,train,12.762894630432129
19,fasttext,no_transform,test,19.93840789794922
20,fasttext,no_transform,train,12.718770980834961
20,fasttext,no_transform,test,18.183706283569336
21,fasttext,no_transform,train,12.66906452178955
21,fasttext,no_transform,test,16.523967742919922
22,fasttext,no_transform,train,12.631450653076172
22,fasttext,no_transform,test,14.687189102172852
23,fasttext,no_transform,train,12.634425163269043
23,fasttext,no_transform,test,14.027153968811035
24,fasttext,no_transform,train,12.666853904724121
24,fasttext,no_transform,test,12.884661674499512
25,fasttext,no_transform,train,12.551704406738281
25,fasttext,no_transform,test,11.9500093460083
26,fasttext,no_transform,train,12.509513854980469
26,fasttext,no_transform,test,11.308818817138672
27,fasttext,no_transform,train,12.467978477478027
27,fasttext,no_transform,test,10.61620807647705
28,fasttext,no_transform,train,12.387578010559082
28,fasttext,no_transform,test,10.150327682495117
29,fasttext,no_transform,train,12.384626388549805
29,fasttext,no_transform,test,9.71886920928955
30,fasttext,no_transform,train,12.293190002441406
30,fasttext,no_transform,test,9.11008358001709
31,fasttext,no_transform,train,12.263082504272461
31,fasttext,no_transform,test,9.514677047729492
32,fasttext,no_transform,train,12.200141906738281
32,fasttext,no_transform,test,10.20738410949707
33,fasttext,no_transform,train,12.1430025100708
33,fasttext,no_transform,test,11.016159057617188
34,fasttext,no_transform,train,12.064058303833008
34,fasttext,no_transform,test,12.333861351013184
35,fasttext,no_transform,train,12.011940002441406
35,fasttext,no_transform,test,14.658555030822754
36,fasttext,no_transform,train,12.056581497192383
36,fasttext,no_transform,test,14.493003845214844
37,fasttext,no_transform,train,12.3198881149292
37,fasttext,no_transform,test,19.790708541870117
38,fasttext,no_transform,train,12.357587814331055
38,fasttext,no_transform,test,14.768722534179688
39,fasttext,no_transform,train,11.857937812805176
39,fasttext,no_transform,test,12.475480079650879
40,fasttext,no_transform,train,12.0465726852417
40,fasttext,no_transform,test,12.337559700012207
41,fasttext,no_transform,train,11.831827163696289
41,fasttext,no_transform,test,13.05981159210205
42,fasttext,no_transform,train,11.862508773803711
42,fasttext,no_transform,test,13.929083824157715
43,fasttext,no_transform,train,11.776261329650879
43,fasttext,no_transform,test,14.139355659484863
44,fasttext,no_transform,train,11.705220222473145
44,fasttext,no_transform,test,14.010767936706543
45,fasttext,no_transform,train,11.690927505493164
45,fasttext,no_transform,test,14.10947322845459
46,fasttext,no_transform,train,11.590109825134277
46,fasttext,no_transform,test,17.224166870117188
47,fasttext,no_transform,train,11.547369956970215
47,fasttext,no_transform,test,19.87051773071289
48,fasttext,no_transform,train,11.436015129089355
48,fasttext,no_transform,test,22.927560806274414
49,fasttext,no_transform,train,11.414941787719727
49,fasttext,no_transform,test,20.679794311523438
50,fasttext,no_transform,train,11.298206329345703
50,fasttext,no_transform,test,19.694047927856445
51,fasttext,no_transform,train,11.24597454071045
51,fasttext,no_transform,test,22.140239715576172
52,fasttext,no_transform,train,11.314286231994629
52,fasttext,no_transform,test,22.559417724609375
53,fasttext,no_transform,train,12.223137855529785
53,fasttext,no_transform,test,35.491329193115234
54,fasttext,no_transform,train,12.072896003723145
54,fasttext,no_transform,test,44.07026290893555
55,fasttext,no_transform,train,11.640913963317871
55,fasttext,no_transform,test,43.1649284362793
56,fasttext,no_transform,train,11.499452590942383
56,fasttext,no_transform,test,51.73902130126953
57,fasttext,no_transform,train,11.283038139343262
57,fasttext,no_transform,test,68.07506561279297
58,fasttext,no_transform,train,11.432168006896973
58,fasttext,no_transform,test,64.350830078125
59,fasttext,no_transform,train,11.234956741333008
59,fasttext,no_transform,test,55.14354705810547
60,fasttext,no_transform,train,11.220561981201172
60,fasttext,no_transform,test,46.89963912963867
61,fasttext,no_transform,train,11.2132568359375
61,fasttext,no_transform,test,42.573543548583984
62,fasttext,no_transform,train,11.084808349609375
62,fasttext,no_transform,test,40.44651412963867
63,fasttext,no_transform,train,11.07409954071045
63,fasttext,no_transform,test,25.91133689880371
64,fasttext,no_transform,train,10.964784622192383
