Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_alpha_structure,no_transform,train,19.903881072998047
1,fft_alpha_structure,no_transform,test,6467.884765625
2,fft_alpha_structure,no_transform,train,31.227567672729492
2,fft_alpha_structure,no_transform,test,838.0891723632812
3,fft_alpha_structure,no_transform,train,17.334312438964844
3,fft_alpha_structure,no_transform,test,191.7957000732422
4,fft_alpha_structure,no_transform,train,15.686262130737305
4,fft_alpha_structure,no_transform,test,66.04472351074219
5,fft_alpha_structure,no_transform,train,15.59329891204834
5,fft_alpha_structure,no_transform,test,28.872453689575195
6,fft_alpha_structure,no_transform,train,15.70026969909668
6,fft_alpha_structure,no_transform,test,16.063173294067383
7,fft_alpha_structure,no_transform,train,15.548039436340332
7,fft_alpha_structure,no_transform,test,10.562760353088379
8,fft_alpha_structure,no_transform,train,15.124733924865723
8,fft_alpha_structure,no_transform,test,7.576504707336426
9,fft_alpha_structure,no_transform,train,14.634532928466797
9,fft_alpha_structure,no_transform,test,6.641726493835449
10,fft_alpha_structure,no_transform,train,14.163389205932617
10,fft_alpha_structure,no_transform,test,7.44772481918335
11,fft_alpha_structure,no_transform,train,13.806427955627441
11,fft_alpha_structure,no_transform,test,9.398706436157227
12,fft_alpha_structure,no_transform,train,13.612610816955566
12,fft_alpha_structure,no_transform,test,11.829487800598145
13,fft_alpha_structure,no_transform,train,13.543351173400879
13,fft_alpha_structure,no_transform,test,14.288569450378418
14,fft_alpha_structure,no_transform,train,13.51621150970459
14,fft_alpha_structure,no_transform,test,16.49688720703125
15,fft_alpha_structure,no_transform,train,13.478134155273438
15,fft_alpha_structure,no_transform,test,18.339555740356445
16,fft_alpha_structure,no_transform,train,13.410344123840332
16,fft_alpha_structure,no_transform,test,19.653135299682617
17,fft_alpha_structure,no_transform,train,13.33629035949707
17,fft_alpha_structure,no_transform,test,20.22910499572754
18,fft_alpha_structure,no_transform,train,13.287901878356934
18,fft_alpha_structure,no_transform,test,20.029632568359375
19,fft_alpha_structure,no_transform,train,13.274073600769043
19,fft_alpha_structure,no_transform,test,19.179685592651367
20,fft_alpha_structure,no_transform,train,13.280174255371094
20,fft_alpha_structure,no_transform,test,17.982728958129883
21,fft_alpha_structure,no_transform,train,13.281144142150879
21,fft_alpha_structure,no_transform,test,16.730796813964844
22,fft_alpha_structure,no_transform,train,13.260821342468262
22,fft_alpha_structure,no_transform,test,15.658015251159668
23,fft_alpha_structure,no_transform,train,13.220502853393555
23,fft_alpha_structure,no_transform,test,14.836409568786621
24,fft_alpha_structure,no_transform,train,13.173837661743164
24,fft_alpha_structure,no_transform,test,14.244863510131836
25,fft_alpha_structure,no_transform,train,13.13684368133545
25,fft_alpha_structure,no_transform,test,13.78488826751709
26,fft_alpha_structure,no_transform,train,13.115655899047852
26,fft_alpha_structure,no_transform,test,13.386212348937988
27,fft_alpha_structure,no_transform,train,13.103432655334473
27,fft_alpha_structure,no_transform,test,12.994068145751953
28,fft_alpha_structure,no_transform,train,13.090328216552734
28,fft_alpha_structure,no_transform,test,12.580159187316895
29,fft_alpha_structure,no_transform,train,13.072009086608887
29,fft_alpha_structure,no_transform,test,12.147848129272461
30,fft_alpha_structure,no_transform,train,13.050649642944336
30,fft_alpha_structure,no_transform,test,11.714593887329102
31,fft_alpha_structure,no_transform,train,13.029040336608887
31,fft_alpha_structure,no_transform,test,11.30473518371582
32,fft_alpha_structure,no_transform,train,13.010753631591797
32,fft_alpha_structure,no_transform,test,10.943710327148438
33,fft_alpha_structure,no_transform,train,12.99648666381836
33,fft_alpha_structure,no_transform,test,10.65246295928955
34,fft_alpha_structure,no_transform,train,12.98328971862793
34,fft_alpha_structure,no_transform,test,10.45412826538086
35,fft_alpha_structure,no_transform,train,12.968324661254883
