Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_alpha_structure,no_transform,train,19.01493263244629
1,fft_alpha_structure,no_transform,test,41.96342849731445
2,fft_alpha_structure,no_transform,train,17.90804100036621
2,fft_alpha_structure,no_transform,test,17.540761947631836
3,fft_alpha_structure,no_transform,train,17.02412223815918
3,fft_alpha_structure,no_transform,test,9.390560150146484
4,fft_alpha_structure,no_transform,train,16.15837860107422
4,fft_alpha_structure,no_transform,test,8.558143615722656
5,fft_alpha_structure,no_transform,train,15.147710800170898
5,fft_alpha_structure,no_transform,test,9.95781421661377
6,fft_alpha_structure,no_transform,train,14.302799224853516
6,fft_alpha_structure,no_transform,test,12.635872840881348
7,fft_alpha_structure,no_transform,train,13.669943809509277
7,fft_alpha_structure,no_transform,test,15.916007995605469
8,fft_alpha_structure,no_transform,train,13.388287544250488
8,fft_alpha_structure,no_transform,test,19.795541763305664
9,fft_alpha_structure,no_transform,train,13.335296630859375
9,fft_alpha_structure,no_transform,test,22.824844360351562
10,fft_alpha_structure,no_transform,train,13.305235862731934
10,fft_alpha_structure,no_transform,test,24.532947540283203
11,fft_alpha_structure,no_transform,train,13.236926078796387
11,fft_alpha_structure,no_transform,test,25.06689453125
12,fft_alpha_structure,no_transform,train,13.182662963867188
12,fft_alpha_structure,no_transform,test,24.472333908081055
13,fft_alpha_structure,no_transform,train,13.143918991088867
13,fft_alpha_structure,no_transform,test,23.13001823425293
14,fft_alpha_structure,no_transform,train,13.112349510192871
14,fft_alpha_structure,no_transform,test,21.5506534576416
15,fft_alpha_structure,no_transform,train,13.081131935119629
15,fft_alpha_structure,no_transform,test,19.9298152923584
16,fft_alpha_structure,no_transform,train,13.048187255859375
16,fft_alpha_structure,no_transform,test,18.310686111450195
17,fft_alpha_structure,no_transform,train,13.016975402832031
17,fft_alpha_structure,no_transform,test,16.689451217651367
18,fft_alpha_structure,no_transform,train,12.988996505737305
18,fft_alpha_structure,no_transform,test,15.189177513122559
19,fft_alpha_structure,no_transform,train,12.962115287780762
19,fft_alpha_structure,no_transform,test,13.9385404586792
20,fft_alpha_structure,no_transform,train,12.9299898147583
20,fft_alpha_structure,no_transform,test,13.002575874328613
21,fft_alpha_structure,no_transform,train,12.892316818237305
21,fft_alpha_structure,no_transform,test,12.325684547424316
22,fft_alpha_structure,no_transform,train,12.855030059814453
22,fft_alpha_structure,no_transform,test,11.808449745178223
23,fft_alpha_structure,no_transform,train,12.818962097167969
23,fft_alpha_structure,no_transform,test,11.352401733398438
24,fft_alpha_structure,no_transform,train,12.78119945526123
24,fft_alpha_structure,no_transform,test,10.950613975524902
25,fft_alpha_structure,no_transform,train,12.74101734161377
25,fft_alpha_structure,no_transform,test,10.655756950378418
26,fft_alpha_structure,no_transform,train,12.699809074401855
26,fft_alpha_structure,no_transform,test,10.523046493530273
27,fft_alpha_structure,no_transform,train,12.655549049377441
27,fft_alpha_structure,no_transform,test,10.548733711242676
28,fft_alpha_structure,no_transform,train,12.607821464538574
28,fft_alpha_structure,no_transform,test,10.69268798828125
29,fft_alpha_structure,no_transform,train,12.557397842407227
29,fft_alpha_structure,no_transform,test,10.910536766052246
30,fft_alpha_structure,no_transform,train,12.50226879119873
30,fft_alpha_structure,no_transform,test,11.212672233581543
31,fft_alpha_structure,no_transform,train,12.444289207458496
31,fft_alpha_structure,no_transform,test,11.670750617980957
32,fft_alpha_structure,no_transform,train,12.386401176452637
32,fft_alpha_structure,no_transform,test,12.31643009185791
33,fft_alpha_structure,no_transform,train,12.318358421325684
33,fft_alpha_structure,no_transform,test,13.181852340698242
34,fft_alpha_structure,no_transform,train,12.246336936950684
34,fft_alpha_structure,no_transform,test,13.988434791564941
35,fft_alpha_structure,no_transform,train,12.167418479919434
35,fft_alpha_structure,no_transform,test,14.757019996643066
36,fft_alpha_structure,no_transform,train,12.085419654846191
36,fft_alpha_structure,no_transform,test,15.768815994262695
37,fft_alpha_structure,no_transform,train,11.994970321655273
37,fft_alpha_structure,no_transform,test,17.07230567932129
38,fft_alpha_structure,no_transform,train,11.89565658569336
38,fft_alpha_structure,no_transform,test,18.216089248657227
39,fft_alpha_structure,no_transform,train,11.794716835021973
39,fft_alpha_structure,no_transform,test,18.948043823242188
40,fft_alpha_structure,no_transform,train,11.684516906738281
40,fft_alpha_structure,no_transform,test,20.310434341430664
41,fft_alpha_structure,no_transform,train,11.582331657409668
41,fft_alpha_structure,no_transform,test,24.5351619720459
42,fft_alpha_structure,no_transform,train,11.570650100708008
42,fft_alpha_structure,no_transform,test,19.589454650878906
43,fft_alpha_structure,no_transform,train,11.813135147094727
43,fft_alpha_structure,no_transform,test,25.77537727355957
44,fft_alpha_structure,no_transform,train,11.510818481445312
44,fft_alpha_structure,no_transform,test,27.719865798950195
45,fft_alpha_structure,no_transform,train,11.406514167785645
45,fft_alpha_structure,no_transform,test,19.16584014892578
46,fft_alpha_structure,no_transform,train,11.274110794067383
46,fft_alpha_structure,no_transform,test,18.868398666381836
47,fft_alpha_structure,no_transform,train,11.221463203430176
47,fft_alpha_structure,no_transform,test,22.73674774169922
48,fft_alpha_structure,no_transform,train,10.993685722351074
48,fft_alpha_structure,no_transform,test,22.2115478515625
49,fft_alpha_structure,no_transform,train,11.074235916137695
49,fft_alpha_structure,no_transform,test,17.68688201904297
50,fft_alpha_structure,no_transform,train,10.77012825012207
50,fft_alpha_structure,no_transform,test,17.508174896240234
51,fft_alpha_structure,no_transform,train,10.800540924072266
51,fft_alpha_structure,no_transform,test,17.242263793945312
52,fft_alpha_structure,no_transform,train,10.605875015258789
52,fft_alpha_structure,no_transform,test,20.45519256591797
53,fft_alpha_structure,no_transform,train,10.523506164550781
53,fft_alpha_structure,no_transform,test,16.995059967041016
54,fft_alpha_structure,no_transform,train,10.40070629119873
54,fft_alpha_structure,no_transform,test,13.88558578491211
55,fft_alpha_structure,no_transform,train,10.36147689819336
55,fft_alpha_structure,no_transform,test,21.359773635864258
56,fft_alpha_structure,no_transform,train,10.172110557556152
56,fft_alpha_structure,no_transform,test,17.739519119262695
57,fft_alpha_structure,no_transform,train,10.050189018249512
57,fft_alpha_structure,no_transform,test,15.82575511932373
58,fft_alpha_structure,no_transform,train,10.041377067565918
58,fft_alpha_structure,no_transform,test,15.36612606048584
59,fft_alpha_structure,no_transform,train,9.811915397644043
59,fft_alpha_structure,no_transform,test,22.753416061401367
60,fft_alpha_structure,no_transform,train,9.855830192565918
60,fft_alpha_structure,no_transform,test,14.426777839660645
61,fft_alpha_structure,no_transform,train,9.885357856750488
61,fft_alpha_structure,no_transform,test,19.253005981445312
62,fft_alpha_structure,no_transform,train,10.379956245422363
62,fft_alpha_structure,no_transform,test,16.642343521118164
63,fft_alpha_structure,no_transform,train,11.534469604492188
63,fft_alpha_structure,no_transform,test,15.182296752929688
64,fft_alpha_structure,no_transform,train,9.705920219421387
64,fft_alpha_structure,no_transform,test,11.92209529876709
65,fft_alpha_structure,no_transform,train,10.16538143157959
65,fft_alpha_structure,no_transform,test,10.312639236450195
66,fft_alpha_structure,no_transform,train,9.810460090637207
66,fft_alpha_structure,no_transform,test,23.68854522705078
67,fft_alpha_structure,no_transform,train,9.903977394104004
67,fft_alpha_structure,no_transform,test,15.9920015335083
68,fft_alpha_structure,no_transform,train,9.271150588989258
68,fft_alpha_structure,no_transform,test,7.9166436195373535
69,fft_alpha_structure,no_transform,train,9.609479904174805
69,fft_alpha_structure,no_transform,test,10.17758846282959
70,fft_alpha_structure,no_transform,train,9.19787311553955
70,fft_alpha_structure,no_transform,test,23.489971160888672
71,fft_alpha_structure,no_transform,train,9.184033393859863
71,fft_alpha_structure,no_transform,test,20.01125144958496
72,fft_alpha_structure,no_transform,train,9.19242000579834
72,fft_alpha_structure,no_transform,test,12.391541481018066
73,fft_alpha_structure,no_transform,train,8.829090118408203
73,fft_alpha_structure,no_transform,test,10.873189926147461
74,fft_alpha_structure,no_transform,train,8.98348331451416
74,fft_alpha_structure,no_transform,test,12.925043106079102
75,fft_alpha_structure,no_transform,train,8.657965660095215
75,fft_alpha_structure,no_transform,test,16.545024871826172
76,fft_alpha_structure,no_transform,train,8.724547386169434
76,fft_alpha_structure,no_transform,test,15.540666580200195
77,fft_alpha_structure,no_transform,train,8.430710792541504
77,fft_alpha_structure,no_transform,test,10.199478149414062
78,fft_alpha_structure,no_transform,train,8.579747200012207
78,fft_alpha_structure,no_transform,test,12.85296630859375
79,fft_alpha_structure,no_transform,train,8.21172046661377
79,fft_alpha_structure,no_transform,test,16.803749084472656
80,fft_alpha_structure,no_transform,train,8.304498672485352
80,fft_alpha_structure,no_transform,test,11.933926582336426
81,fft_alpha_structure,no_transform,train,8.106279373168945
81,fft_alpha_structure,no_transform,test,13.170867919921875
82,fft_alpha_structure,no_transform,train,8.150786399841309
82,fft_alpha_structure,no_transform,test,10.515986442565918
83,fft_alpha_structure,no_transform,train,8.06490707397461
83,fft_alpha_structure,no_transform,test,23.53531837463379
84,fft_alpha_structure,no_transform,train,8.322000503540039
84,fft_alpha_structure,no_transform,test,8.070307731628418
85,fft_alpha_structure,no_transform,train,9.092845916748047
85,fft_alpha_structure,no_transform,test,16.24077033996582
86,fft_alpha_structure,no_transform,train,9.142504692077637
86,fft_alpha_structure,no_transform,test,8.089962005615234
87,fft_alpha_structure,no_transform,train,7.871634483337402
87,fft_alpha_structure,no_transform,test,7.371438980102539
88,fft_alpha_structure,no_transform,train,8.046856880187988
88,fft_alpha_structure,no_transform,test,6.825740337371826
89,fft_alpha_structure,no_transform,train,8.22208023071289
89,fft_alpha_structure,no_transform,test,5.700016975402832
90,fft_alpha_structure,no_transform,train,7.529416561126709
90,fft_alpha_structure,no_transform,test,7.821817398071289
91,fft_alpha_structure,no_transform,train,8.083944320678711
91,fft_alpha_structure,no_transform,test,6.682755470275879
92,fft_alpha_structure,no_transform,train,7.521519660949707
92,fft_alpha_structure,no_transform,test,6.391544818878174
93,fft_alpha_structure,no_transform,train,7.48063325881958
93,fft_alpha_structure,no_transform,test,6.804329872131348
94,fft_alpha_structure,no_transform,train,7.696585655212402
94,fft_alpha_structure,no_transform,test,7.755711555480957
95,fft_alpha_structure,no_transform,train,7.027432918548584
95,fft_alpha_structure,no_transform,test,8.147092819213867
96,fft_alpha_structure,no_transform,train,7.496923446655273
96,fft_alpha_structure,no_transform,test,10.760310173034668
97,fft_alpha_structure,no_transform,train,7.135797023773193
97,fft_alpha_structure,no_transform,test,7.5194993019104
98,fft_alpha_structure,no_transform,train,7.172998905181885
98,fft_alpha_structure,no_transform,test,14.882165908813477
99,fft_alpha_structure,no_transform,train,7.742574214935303
99,fft_alpha_structure,no_transform,test,10.939977645874023
100,fft_alpha_structure,no_transform,train,8.668865203857422
100,fft_alpha_structure,no_transform,test,27.468442916870117
