Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydropathy,no_transform,train,20.73270034790039
1,fft_hydropathy,no_transform,test,30312.658203125
2,fft_hydropathy,no_transform,train,32.39779281616211
2,fft_hydropathy,no_transform,test,892.7691040039062
3,fft_hydropathy,no_transform,train,18.850317001342773
3,fft_hydropathy,no_transform,test,126.7223129272461
4,fft_hydropathy,no_transform,train,15.602032661437988
4,fft_hydropathy,no_transform,test,34.77630615234375
5,fft_hydropathy,no_transform,train,14.619959831237793
5,fft_hydropathy,no_transform,test,19.505859375
6,fft_hydropathy,no_transform,train,14.535154342651367
6,fft_hydropathy,no_transform,test,17.077594757080078
7,fft_hydropathy,no_transform,train,14.7254638671875
7,fft_hydropathy,no_transform,test,17.54649543762207
8,fft_hydropathy,no_transform,train,14.830344200134277
8,fft_hydropathy,no_transform,test,18.874980926513672
9,fft_hydropathy,no_transform,train,14.75862979888916
9,fft_hydropathy,no_transform,test,19.405014038085938
10,fft_hydropathy,no_transform,train,14.554378509521484
10,fft_hydropathy,no_transform,test,18.934289932250977
11,fft_hydropathy,no_transform,train,14.29445743560791
11,fft_hydropathy,no_transform,test,17.89236831665039
12,fft_hydropathy,no_transform,train,14.034847259521484
12,fft_hydropathy,no_transform,test,16.77125358581543
13,fft_hydropathy,no_transform,train,13.82345962524414
13,fft_hydropathy,no_transform,test,15.860340118408203
14,fft_hydropathy,no_transform,train,13.683598518371582
14,fft_hydropathy,no_transform,test,15.193653106689453
15,fft_hydropathy,no_transform,train,13.616463661193848
15,fft_hydropathy,no_transform,test,14.707736015319824
16,fft_hydropathy,no_transform,train,13.602402687072754
16,fft_hydropathy,no_transform,test,14.33749771118164
17,fft_hydropathy,no_transform,train,13.611141204833984
17,fft_hydropathy,no_transform,test,14.026151657104492
18,fft_hydropathy,no_transform,train,13.612395286560059
18,fft_hydropathy,no_transform,test,13.737858772277832
19,fft_hydropathy,no_transform,train,13.590066909790039
19,fft_hydropathy,no_transform,test,13.453935623168945
20,fft_hydropathy,no_transform,train,13.546491622924805
20,fft_hydropathy,no_transform,test,13.159652709960938
21,fft_hydropathy,no_transform,train,13.490120887756348
21,fft_hydropathy,no_transform,test,12.875812530517578
22,fft_hydropathy,no_transform,train,13.436734199523926
22,fft_hydropathy,no_transform,test,12.597743034362793
23,fft_hydropathy,no_transform,train,13.399084091186523
23,fft_hydropathy,no_transform,test,12.332612991333008
24,fft_hydropathy,no_transform,train,13.37366008758545
24,fft_hydropathy,no_transform,test,12.08911418914795
25,fft_hydropathy,no_transform,train,13.351229667663574
25,fft_hydropathy,no_transform,test,11.900487899780273
26,fft_hydropathy,no_transform,train,13.325418472290039
26,fft_hydropathy,no_transform,test,11.770918846130371
27,fft_hydropathy,no_transform,train,13.293630599975586
27,fft_hydropathy,no_transform,test,11.712027549743652
28,fft_hydropathy,no_transform,train,13.25880241394043
28,fft_hydropathy,no_transform,test,11.720006942749023
29,fft_hydropathy,no_transform,train,13.22226619720459
29,fft_hydropathy,no_transform,test,11.788968086242676
30,fft_hydropathy,no_transform,train,13.186453819274902
30,fft_hydropathy,no_transform,test,11.896809577941895
31,fft_hydropathy,no_transform,train,13.154247283935547
31,fft_hydropathy,no_transform,test,11.997917175292969
32,fft_hydropathy,no_transform,train,13.127538681030273
32,fft_hydropathy,no_transform,test,12.06196403503418
33,fft_hydropathy,no_transform,train,13.104652404785156
33,fft_hydropathy,no_transform,test,12.068214416503906
34,fft_hydropathy,no_transform,train,13.082279205322266
34,fft_hydropathy,no_transform,test,12.00053882598877
35,fft_hydropathy,no_transform,train,13.056946754455566
35,fft_hydropathy,no_transform,test,11.870261192321777
