Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydropathy,no_transform,train,19.19314956665039
1,fft_hydropathy,no_transform,test,75.49700164794922
2,fft_hydropathy,no_transform,train,18.284069061279297
2,fft_hydropathy,no_transform,test,11.946571350097656
3,fft_hydropathy,no_transform,train,17.614137649536133
3,fft_hydropathy,no_transform,test,6.783841609954834
4,fft_hydropathy,no_transform,train,16.793766021728516
4,fft_hydropathy,no_transform,test,6.557915210723877
5,fft_hydropathy,no_transform,train,15.740686416625977
5,fft_hydropathy,no_transform,test,7.6004109382629395
6,fft_hydropathy,no_transform,train,14.763785362243652
6,fft_hydropathy,no_transform,test,10.700080871582031
7,fft_hydropathy,no_transform,train,13.909136772155762
7,fft_hydropathy,no_transform,test,15.431656837463379
8,fft_hydropathy,no_transform,train,13.432544708251953
8,fft_hydropathy,no_transform,test,21.171842575073242
9,fft_hydropathy,no_transform,train,13.411239624023438
9,fft_hydropathy,no_transform,test,25.677820205688477
10,fft_hydropathy,no_transform,train,13.42905330657959
10,fft_hydropathy,no_transform,test,28.10344123840332
11,fft_hydropathy,no_transform,train,13.331713676452637
11,fft_hydropathy,no_transform,test,28.96742820739746
12,fft_hydropathy,no_transform,train,13.277975082397461
12,fft_hydropathy,no_transform,test,27.724468231201172
13,fft_hydropathy,no_transform,train,13.231179237365723
13,fft_hydropathy,no_transform,test,25.03432273864746
14,fft_hydropathy,no_transform,train,13.180272102355957
14,fft_hydropathy,no_transform,test,22.042165756225586
15,fft_hydropathy,no_transform,train,13.142812728881836
15,fft_hydropathy,no_transform,test,19.406612396240234
16,fft_hydropathy,no_transform,train,13.110884666442871
16,fft_hydropathy,no_transform,test,17.08951187133789
17,fft_hydropathy,no_transform,train,13.06430435180664
17,fft_hydropathy,no_transform,test,14.989192962646484
18,fft_hydropathy,no_transform,train,13.014252662658691
18,fft_hydropathy,no_transform,test,13.189373016357422
19,fft_hydropathy,no_transform,train,12.980795860290527
19,fft_hydropathy,no_transform,test,11.844173431396484
20,fft_hydropathy,no_transform,train,12.951125144958496
20,fft_hydropathy,no_transform,test,10.995394706726074
21,fft_hydropathy,no_transform,train,12.904866218566895
21,fft_hydropathy,no_transform,test,10.559167861938477
22,fft_hydropathy,no_transform,train,12.85420036315918
22,fft_hydropathy,no_transform,test,10.358894348144531
23,fft_hydropathy,no_transform,train,12.813687324523926
23,fft_hydropathy,no_transform,test,10.189593315124512
24,fft_hydropathy,no_transform,train,12.770865440368652
24,fft_hydropathy,no_transform,test,9.954254150390625
25,fft_hydropathy,no_transform,train,12.714258193969727
25,fft_hydropathy,no_transform,test,9.736149787902832
26,fft_hydropathy,no_transform,train,12.659601211547852
26,fft_hydropathy,no_transform,test,9.671748161315918
27,fft_hydropathy,no_transform,train,12.61001205444336
27,fft_hydropathy,no_transform,test,9.888022422790527
28,fft_hydropathy,no_transform,train,12.547846794128418
28,fft_hydropathy,no_transform,test,10.460047721862793
29,fft_hydropathy,no_transform,train,12.479667663574219
29,fft_hydropathy,no_transform,test,11.305591583251953
30,fft_hydropathy,no_transform,train,12.413469314575195
30,fft_hydropathy,no_transform,test,12.303743362426758
31,fft_hydropathy,no_transform,train,12.341879844665527
31,fft_hydropathy,no_transform,test,13.15707015991211
32,fft_hydropathy,no_transform,train,12.27008056640625
32,fft_hydropathy,no_transform,test,13.619990348815918
33,fft_hydropathy,no_transform,train,12.18708610534668
33,fft_hydropathy,no_transform,test,14.158498764038086
34,fft_hydropathy,no_transform,train,12.099658966064453
34,fft_hydropathy,no_transform,test,14.855189323425293
35,fft_hydropathy,no_transform,train,12.007530212402344
35,fft_hydropathy,no_transform,test,15.545007705688477
36,fft_hydropathy,no_transform,train,11.906771659851074
36,fft_hydropathy,no_transform,test,17.008420944213867
37,fft_hydropathy,no_transform,train,11.803340911865234
37,fft_hydropathy,no_transform,test,17.806961059570312
38,fft_hydropathy,no_transform,train,11.710851669311523
38,fft_hydropathy,no_transform,test,19.902257919311523
39,fft_hydropathy,no_transform,train,11.702847480773926
39,fft_hydropathy,no_transform,test,17.914012908935547
40,fft_hydropathy,no_transform,train,11.76143741607666
40,fft_hydropathy,no_transform,test,21.506532669067383
41,fft_hydropathy,no_transform,train,11.481772422790527
41,fft_hydropathy,no_transform,test,19.35643768310547
42,fft_hydropathy,no_transform,train,11.399250030517578
42,fft_hydropathy,no_transform,test,16.692909240722656
43,fft_hydropathy,no_transform,train,11.342673301696777
43,fft_hydropathy,no_transform,test,18.752155303955078
44,fft_hydropathy,no_transform,train,11.190598487854004
