Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydrophobicity,no_transform,train,21.167104721069336
1,fft_hydrophobicity,no_transform,test,66325.59375
2,fft_hydrophobicity,no_transform,train,37.3097038269043
2,fft_hydrophobicity,no_transform,test,1407.0115966796875
3,fft_hydrophobicity,no_transform,train,21.322694778442383
3,fft_hydrophobicity,no_transform,test,186.5800323486328
4,fft_hydrophobicity,no_transform,train,17.053016662597656
4,fft_hydrophobicity,no_transform,test,47.914825439453125
5,fft_hydrophobicity,no_transform,train,15.505637168884277
5,fft_hydrophobicity,no_transform,test,21.664358139038086
6,fft_hydrophobicity,no_transform,train,15.223543167114258
6,fft_hydrophobicity,no_transform,test,14.115438461303711
7,fft_hydrophobicity,no_transform,train,15.43372917175293
7,fft_hydrophobicity,no_transform,test,11.086165428161621
8,fft_hydrophobicity,no_transform,train,15.659581184387207
8,fft_hydrophobicity,no_transform,test,9.574532508850098
9,fft_hydrophobicity,no_transform,train,15.681955337524414
9,fft_hydrophobicity,no_transform,test,8.341500282287598
10,fft_hydrophobicity,no_transform,train,15.449807167053223
10,fft_hydrophobicity,no_transform,test,7.356813430786133
11,fft_hydrophobicity,no_transform,train,15.061540603637695
11,fft_hydrophobicity,no_transform,test,6.834996700286865
12,fft_hydrophobicity,no_transform,train,14.609475135803223
12,fft_hydrophobicity,no_transform,test,6.775369644165039
13,fft_hydrophobicity,no_transform,train,14.17479419708252
13,fft_hydrophobicity,no_transform,test,7.214419841766357
14,fft_hydrophobicity,no_transform,train,13.826359748840332
14,fft_hydrophobicity,no_transform,test,8.152301788330078
15,fft_hydrophobicity,no_transform,train,13.60811710357666
15,fft_hydrophobicity,no_transform,test,9.43104076385498
16,fft_hydrophobicity,no_transform,train,13.52673625946045
16,fft_hydrophobicity,no_transform,test,10.86015510559082
17,fft_hydrophobicity,no_transform,train,13.546128273010254
17,fft_hydrophobicity,no_transform,test,12.208441734313965
18,fft_hydrophobicity,no_transform,train,13.607922554016113
18,fft_hydrophobicity,no_transform,test,13.276263236999512
19,fft_hydrophobicity,no_transform,train,13.65775203704834
19,fft_hydrophobicity,no_transform,test,13.952071189880371
20,fft_hydrophobicity,no_transform,train,13.65520191192627
20,fft_hydrophobicity,no_transform,test,14.202040672302246
21,fft_hydrophobicity,no_transform,train,13.592473030090332
21,fft_hydrophobicity,no_transform,test,14.08354663848877
22,fft_hydrophobicity,no_transform,train,13.489457130432129
22,fft_hydrophobicity,no_transform,test,13.693107604980469
23,fft_hydrophobicity,no_transform,train,13.380638122558594
23,fft_hydrophobicity,no_transform,test,13.143206596374512
24,fft_hydrophobicity,no_transform,train,13.298209190368652
24,fft_hydrophobicity,no_transform,test,12.565434455871582
25,fft_hydrophobicity,no_transform,train,13.254718780517578
25,fft_hydrophobicity,no_transform,test,12.036347389221191
26,fft_hydrophobicity,no_transform,train,13.243855476379395
26,fft_hydrophobicity,no_transform,test,11.602049827575684
27,fft_hydrophobicity,no_transform,train,13.246419906616211
27,fft_hydrophobicity,no_transform,test,11.290200233459473
28,fft_hydrophobicity,no_transform,train,13.242193222045898
28,fft_hydrophobicity,no_transform,test,11.119231224060059
29,fft_hydrophobicity,no_transform,train,13.223518371582031
29,fft_hydrophobicity,no_transform,test,11.1114501953125
30,fft_hydrophobicity,no_transform,train,13.196013450622559
30,fft_hydrophobicity,no_transform,test,11.201921463012695
31,fft_hydrophobicity,no_transform,train,13.164291381835938
31,fft_hydrophobicity,no_transform,test,11.285250663757324
32,fft_hydrophobicity,no_transform,train,13.132495880126953
32,fft_hydrophobicity,no_transform,test,11.342753410339355
33,fft_hydrophobicity,no_transform,train,13.101340293884277
33,fft_hydrophobicity,no_transform,test,11.389691352844238
34,fft_hydrophobicity,no_transform,train,13.071465492248535
34,fft_hydrophobicity,no_transform,test,11.429603576660156
35,fft_hydrophobicity,no_transform,train,13.045694351196289
35,fft_hydrophobicity,no_transform,test,11.446812629699707
36,fft_hydrophobicity,no_transform,train,13.025177001953125
36,fft_hydrophobicity,no_transform,test,11.432952880859375
37,fft_hydrophobicity,no_transform,train,13.007476806640625
37,fft_hydrophobicity,no_transform,test,11.38474178314209
38,fft_hydrophobicity,no_transform,train,12.990450859069824
38,fft_hydrophobicity,no_transform,test,11.308928489685059
39,fft_hydrophobicity,no_transform,train,12.97201156616211
39,fft_hydrophobicity,no_transform,test,11.202926635742188
40,fft_hydrophobicity,no_transform,train,12.950852394104004
40,fft_hydrophobicity,no_transform,test,11.082061767578125
41,fft_hydrophobicity,no_transform,train,12.927896499633789
41,fft_hydrophobicity,no_transform,test,10.965963363647461
42,fft_hydrophobicity,no_transform,train,12.903377532958984
42,fft_hydrophobicity,no_transform,test,10.874557495117188
43,fft_hydrophobicity,no_transform,train,12.876935005187988
43,fft_hydrophobicity,no_transform,test,10.788288116455078
44,fft_hydrophobicity,no_transform,train,12.849346160888672
44,fft_hydrophobicity,no_transform,test,10.714730262756348
45,fft_hydrophobicity,no_transform,train,12.823037147521973
45,fft_hydrophobicity,no_transform,test,10.662342071533203
46,fft_hydrophobicity,no_transform,train,12.797502517700195
46,fft_hydrophobicity,no_transform,test,10.65700626373291
47,fft_hydrophobicity,no_transform,train,12.770724296569824
47,fft_hydrophobicity,no_transform,test,10.697484970092773
48,fft_hydrophobicity,no_transform,train,12.74144458770752
48,fft_hydrophobicity,no_transform,test,10.754847526550293
49,fft_hydrophobicity,no_transform,train,12.71141242980957
49,fft_hydrophobicity,no_transform,test,10.795377731323242
50,fft_hydrophobicity,no_transform,train,12.676156044006348
50,fft_hydrophobicity,no_transform,test,10.882756233215332
51,fft_hydrophobicity,no_transform,train,12.642919540405273
51,fft_hydrophobicity,no_transform,test,10.969985961914062
