Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydrophobicity,no_transform,train,19.167694091796875
1,fft_hydrophobicity,no_transform,test,872.03955078125
2,fft_hydrophobicity,no_transform,train,17.571077346801758
2,fft_hydrophobicity,no_transform,test,77.08174133300781
3,fft_hydrophobicity,no_transform,train,16.37250518798828
3,fft_hydrophobicity,no_transform,test,21.097171783447266
4,fft_hydrophobicity,no_transform,train,15.450386047363281
4,fft_hydrophobicity,no_transform,test,11.249309539794922
5,fft_hydrophobicity,no_transform,train,14.391081809997559
5,fft_hydrophobicity,no_transform,test,11.404523849487305
6,fft_hydrophobicity,no_transform,train,13.567317962646484
6,fft_hydrophobicity,no_transform,test,15.537894248962402
7,fft_hydrophobicity,no_transform,train,13.291037559509277
7,fft_hydrophobicity,no_transform,test,22.086986541748047
8,fft_hydrophobicity,no_transform,train,13.320849418640137
8,fft_hydrophobicity,no_transform,test,29.386301040649414
9,fft_hydrophobicity,no_transform,train,13.28322982788086
9,fft_hydrophobicity,no_transform,test,33.92787551879883
10,fft_hydrophobicity,no_transform,train,13.232069969177246
10,fft_hydrophobicity,no_transform,test,33.06398010253906
11,fft_hydrophobicity,no_transform,train,13.190695762634277
11,fft_hydrophobicity,no_transform,test,29.34714698791504
12,fft_hydrophobicity,no_transform,train,13.145980834960938
12,fft_hydrophobicity,no_transform,test,25.80938148498535
13,fft_hydrophobicity,no_transform,train,13.11374282836914
13,fft_hydrophobicity,no_transform,test,23.120820999145508
14,fft_hydrophobicity,no_transform,train,13.092061042785645
14,fft_hydrophobicity,no_transform,test,20.753856658935547
15,fft_hydrophobicity,no_transform,train,13.061028480529785
15,fft_hydrophobicity,no_transform,test,18.415163040161133
16,fft_hydrophobicity,no_transform,train,13.019906044006348
16,fft_hydrophobicity,no_transform,test,16.280704498291016
17,fft_hydrophobicity,no_transform,train,12.987435340881348
17,fft_hydrophobicity,no_transform,test,14.666548728942871
18,fft_hydrophobicity,no_transform,train,12.96526050567627
18,fft_hydrophobicity,no_transform,test,13.621009826660156
19,fft_hydrophobicity,no_transform,train,12.937528610229492
19,fft_hydrophobicity,no_transform,test,12.996776580810547
20,fft_hydrophobicity,no_transform,train,12.899571418762207
20,fft_hydrophobicity,no_transform,test,12.598238945007324
21,fft_hydrophobicity,no_transform,train,12.864672660827637
21,fft_hydrophobicity,no_transform,test,12.228853225708008
22,fft_hydrophobicity,no_transform,train,12.833130836486816
22,fft_hydrophobicity,no_transform,test,11.77615737915039
23,fft_hydrophobicity,no_transform,train,12.792295455932617
23,fft_hydrophobicity,no_transform,test,11.344451904296875
24,fft_hydrophobicity,no_transform,train,12.748672485351562
24,fft_hydrophobicity,no_transform,test,11.11769962310791
25,fft_hydrophobicity,no_transform,train,12.709717750549316
25,fft_hydrophobicity,no_transform,test,11.12278938293457
26,fft_hydrophobicity,no_transform,train,12.665379524230957
26,fft_hydrophobicity,no_transform,test,11.270121574401855
27,fft_hydrophobicity,no_transform,train,12.613661766052246
27,fft_hydrophobicity,no_transform,test,11.516657829284668
28,fft_hydrophobicity,no_transform,train,12.564685821533203
28,fft_hydrophobicity,no_transform,test,11.803316116333008
29,fft_hydrophobicity,no_transform,train,12.51155948638916
29,fft_hydrophobicity,no_transform,test,12.089859008789062
30,fft_hydrophobicity,no_transform,train,12.453327178955078
30,fft_hydrophobicity,no_transform,test,12.347554206848145
31,fft_hydrophobicity,no_transform,train,12.394830703735352
31,fft_hydrophobicity,no_transform,test,12.590822219848633
32,fft_hydrophobicity,no_transform,train,12.325033187866211
32,fft_hydrophobicity,no_transform,test,12.834990501403809
33,fft_hydrophobicity,no_transform,train,12.257488250732422
33,fft_hydrophobicity,no_transform,test,13.055731773376465
34,fft_hydrophobicity,no_transform,train,12.1797456741333
34,fft_hydrophobicity,no_transform,test,13.404093742370605
35,fft_hydrophobicity,no_transform,train,12.102470397949219
35,fft_hydrophobicity,no_transform,test,13.50601577758789
36,fft_hydrophobicity,no_transform,train,12.01736068725586
36,fft_hydrophobicity,no_transform,test,14.524260520935059
37,fft_hydrophobicity,no_transform,train,11.940945625305176
37,fft_hydrophobicity,no_transform,test,15.074263572692871
38,fft_hydrophobicity,no_transform,train,11.86213207244873
