Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydrophobicity,no_transform,train,19.327274322509766
1,fft_hydrophobicity,no_transform,test,332.2637939453125
2,fft_hydrophobicity,no_transform,train,17.678659439086914
2,fft_hydrophobicity,no_transform,test,131.95745849609375
3,fft_hydrophobicity,no_transform,train,15.807610511779785
3,fft_hydrophobicity,no_transform,test,51.14706802368164
4,fft_hydrophobicity,no_transform,train,14.918635368347168
4,fft_hydrophobicity,no_transform,test,31.47504425048828
5,fft_hydrophobicity,no_transform,train,13.990799903869629
5,fft_hydrophobicity,no_transform,test,24.79727554321289
6,fft_hydrophobicity,no_transform,train,13.415574073791504
6,fft_hydrophobicity,no_transform,test,24.522411346435547
7,fft_hydrophobicity,no_transform,train,13.338210105895996
7,fft_hydrophobicity,no_transform,test,26.5003719329834
8,fft_hydrophobicity,no_transform,train,13.342061042785645
8,fft_hydrophobicity,no_transform,test,29.003402709960938
9,fft_hydrophobicity,no_transform,train,13.259559631347656
9,fft_hydrophobicity,no_transform,test,30.16242790222168
10,fft_hydrophobicity,no_transform,train,13.202561378479004
10,fft_hydrophobicity,no_transform,test,28.659088134765625
11,fft_hydrophobicity,no_transform,train,13.175740242004395
11,fft_hydrophobicity,no_transform,test,25.991239547729492
12,fft_hydrophobicity,no_transform,train,13.148088455200195
12,fft_hydrophobicity,no_transform,test,23.646154403686523
13,fft_hydrophobicity,no_transform,train,13.1116361618042
13,fft_hydrophobicity,no_transform,test,22.075469970703125
14,fft_hydrophobicity,no_transform,train,13.074721336364746
14,fft_hydrophobicity,no_transform,test,21.02794647216797
15,fft_hydrophobicity,no_transform,train,13.044548034667969
15,fft_hydrophobicity,no_transform,test,20.1446533203125
16,fft_hydrophobicity,no_transform,train,13.016816139221191
16,fft_hydrophobicity,no_transform,test,19.170820236206055
17,fft_hydrophobicity,no_transform,train,12.9876708984375
17,fft_hydrophobicity,no_transform,test,18.03843116760254
18,fft_hydrophobicity,no_transform,train,12.960715293884277
18,fft_hydrophobicity,no_transform,test,16.831802368164062
19,fft_hydrophobicity,no_transform,train,12.934367179870605
19,fft_hydrophobicity,no_transform,test,15.707797050476074
20,fft_hydrophobicity,no_transform,train,12.906254768371582
20,fft_hydrophobicity,no_transform,test,14.758516311645508
21,fft_hydrophobicity,no_transform,train,12.875916481018066
