Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_volume,no_transform,train,20.33254051208496
1,fft_volume,no_transform,test,6908.95166015625
2,fft_volume,no_transform,train,18.03499984741211
2,fft_volume,no_transform,test,253.4378662109375
3,fft_volume,no_transform,train,16.431076049804688
3,fft_volume,no_transform,test,48.50981140136719
4,fft_volume,no_transform,train,15.567322731018066
4,fft_volume,no_transform,test,17.12309455871582
5,fft_volume,no_transform,train,14.80476188659668
5,fft_volume,no_transform,test,11.111584663391113
6,fft_volume,no_transform,train,14.21345329284668
6,fft_volume,no_transform,test,11.519927024841309
7,fft_volume,no_transform,train,13.78819751739502
7,fft_volume,no_transform,test,13.667927742004395
8,fft_volume,no_transform,train,13.625933647155762
8,fft_volume,no_transform,test,16.207523345947266
9,fft_volume,no_transform,train,13.575440406799316
9,fft_volume,no_transform,test,18.130857467651367
10,fft_volume,no_transform,train,13.508563041687012
10,fft_volume,no_transform,test,18.91275978088379
11,fft_volume,no_transform,train,13.449281692504883
11,fft_volume,no_transform,test,18.58591079711914
12,fft_volume,no_transform,train,13.42663288116455
12,fft_volume,no_transform,test,17.71835708618164
13,fft_volume,no_transform,train,13.41835880279541
13,fft_volume,no_transform,test,16.96980857849121
14,fft_volume,no_transform,train,13.3980131149292
14,fft_volume,no_transform,test,16.58893394470215
15,fft_volume,no_transform,train,13.366806983947754
15,fft_volume,no_transform,test,16.438556671142578
16,fft_volume,no_transform,train,13.337870597839355
16,fft_volume,no_transform,test,16.170785903930664
17,fft_volume,no_transform,train,13.314557075500488
17,fft_volume,no_transform,test,15.59014892578125
18,fft_volume,no_transform,train,13.289728164672852
18,fft_volume,no_transform,test,14.746549606323242
19,fft_volume,no_transform,train,13.26293659210205
19,fft_volume,no_transform,test,13.833573341369629
20,fft_volume,no_transform,train,13.237462997436523
20,fft_volume,no_transform,test,13.06029987335205
21,fft_volume,no_transform,train,13.214653968811035
21,fft_volume,no_transform,test,12.521072387695312
22,fft_volume,no_transform,train,13.19189453125
22,fft_volume,no_transform,test,12.229259490966797
23,fft_volume,no_transform,train,13.167428970336914
23,fft_volume,no_transform,test,12.126526832580566
24,fft_volume,no_transform,train,13.142963409423828
24,fft_volume,no_transform,test,12.125822067260742
25,fft_volume,no_transform,train,13.119874000549316
25,fft_volume,no_transform,test,12.130758285522461
26,fft_volume,no_transform,train,13.097095489501953
26,fft_volume,no_transform,test,12.05837631225586
27,fft_volume,no_transform,train,13.07306957244873
27,fft_volume,no_transform,test,11.883646965026855
28,fft_volume,no_transform,train,13.04751968383789
28,fft_volume,no_transform,test,11.639796257019043
29,fft_volume,no_transform,train,13.02110481262207
29,fft_volume,no_transform,test,11.403647422790527
30,fft_volume,no_transform,train,12.995347023010254
30,fft_volume,no_transform,test,11.236023902893066
31,fft_volume,no_transform,train,12.968941688537598
31,fft_volume,no_transform,test,11.154906272888184
32,fft_volume,no_transform,train,12.941579818725586
32,fft_volume,no_transform,test,11.154677391052246
