Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_volume,no_transform,train,20.62230682373047
1,fft_volume,no_transform,test,14013.7529296875
2,fft_volume,no_transform,train,35.177242279052734
2,fft_volume,no_transform,test,984.1950073242188
3,fft_volume,no_transform,train,20.51851463317871
3,fft_volume,no_transform,test,165.77906799316406
4,fft_volume,no_transform,train,17.00257682800293
4,fft_volume,no_transform,test,38.6363639831543
5,fft_volume,no_transform,train,16.051536560058594
5,fft_volume,no_transform,test,11.358440399169922
6,fft_volume,no_transform,train,15.938688278198242
6,fft_volume,no_transform,test,6.32961368560791
7,fft_volume,no_transform,train,16.000383377075195
7,fft_volume,no_transform,test,5.996220588684082
8,fft_volume,no_transform,train,15.990558624267578
8,fft_volume,no_transform,test,6.451681137084961
9,fft_volume,no_transform,train,15.882112503051758
9,fft_volume,no_transform,test,7.0214948654174805
10,fft_volume,no_transform,train,15.66142463684082
10,fft_volume,no_transform,test,7.467875957489014
11,fft_volume,no_transform,train,15.335775375366211
11,fft_volume,no_transform,test,7.741901874542236
12,fft_volume,no_transform,train,14.931685447692871
12,fft_volume,no_transform,test,8.064472198486328
13,fft_volume,no_transform,train,14.509467124938965
13,fft_volume,no_transform,test,8.794489860534668
14,fft_volume,no_transform,train,14.149137496948242
14,fft_volume,no_transform,test,10.00400161743164
15,fft_volume,no_transform,train,13.897146224975586
15,fft_volume,no_transform,test,11.47234058380127
16,fft_volume,no_transform,train,13.751731872558594
16,fft_volume,no_transform,test,13.030973434448242
17,fft_volume,no_transform,train,13.698144912719727
17,fft_volume,no_transform,test,14.522438049316406
18,fft_volume,no_transform,train,13.718165397644043
18,fft_volume,no_transform,test,15.747871398925781
19,fft_volume,no_transform,train,13.77307415008545
19,fft_volume,no_transform,test,16.569393157958984
20,fft_volume,no_transform,train,13.815328598022461
20,fft_volume,no_transform,test,16.91672706604004
21,fft_volume,no_transform,train,13.812666893005371
21,fft_volume,no_transform,test,16.800762176513672
22,fft_volume,no_transform,train,13.760638236999512
22,fft_volume,no_transform,test,16.32415008544922
23,fft_volume,no_transform,train,13.676614761352539
23,fft_volume,no_transform,test,15.604645729064941
24,fft_volume,no_transform,train,13.588152885437012
24,fft_volume,no_transform,test,14.763842582702637
25,fft_volume,no_transform,train,13.518636703491211
25,fft_volume,no_transform,test,13.891258239746094
26,fft_volume,no_transform,train,13.477577209472656
26,fft_volume,no_transform,test,13.075762748718262
27,fft_volume,no_transform,train,13.460970878601074
27,fft_volume,no_transform,test,12.38739013671875
28,fft_volume,no_transform,train,13.45649242401123
28,fft_volume,no_transform,test,11.876506805419922
29,fft_volume,no_transform,train,13.45138168334961
29,fft_volume,no_transform,test,11.552689552307129
30,fft_volume,no_transform,train,13.437690734863281
30,fft_volume,no_transform,test,11.388154983520508
31,fft_volume,no_transform,train,13.414066314697266
31,fft_volume,no_transform,test,11.35112190246582
32,fft_volume,no_transform,train,13.383984565734863
32,fft_volume,no_transform,test,11.388886451721191
33,fft_volume,no_transform,train,13.352423667907715
33,fft_volume,no_transform,test,11.447263717651367
34,fft_volume,no_transform,train,13.323465347290039
34,fft_volume,no_transform,test,11.501606941223145
35,fft_volume,no_transform,train,13.29845142364502
35,fft_volume,no_transform,test,11.52314281463623
36,fft_volume,no_transform,train,13.277499198913574
36,fft_volume,no_transform,test,11.495213508605957
37,fft_volume,no_transform,train,13.260258674621582
37,fft_volume,no_transform,test,11.410696029663086
38,fft_volume,no_transform,train,13.245543479919434
38,fft_volume,no_transform,test,11.278898239135742
39,fft_volume,no_transform,train,13.231740951538086
39,fft_volume,no_transform,test,11.115721702575684
40,fft_volume,no_transform,train,13.217583656311035
40,fft_volume,no_transform,test,10.945680618286133
41,fft_volume,no_transform,train,13.202230453491211
41,fft_volume,no_transform,test,10.783700942993164
42,fft_volume,no_transform,train,13.184988975524902
