Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,glove,no_transform,train,19.653934478759766
1,glove,no_transform,test,11.214177131652832
2,glove,no_transform,train,26.351789474487305
2,glove,no_transform,test,7.94246244430542
3,glove,no_transform,train,15.577523231506348
3,glove,no_transform,test,5.397439479827881
4,glove,no_transform,train,14.049094200134277
4,glove,no_transform,test,4.081392288208008
5,glove,no_transform,train,14.134900093078613
5,glove,no_transform,test,3.42895770072937
6,glove,no_transform,train,14.173562049865723
6,glove,no_transform,test,3.149852991104126
7,glove,no_transform,train,13.982929229736328
7,glove,no_transform,test,3.0856451988220215
8,glove,no_transform,train,13.759798049926758
8,glove,no_transform,test,3.167699098587036
9,glove,no_transform,train,13.590506553649902
9,glove,no_transform,test,3.486481189727783
10,glove,no_transform,train,13.435999870300293
10,glove,no_transform,test,3.9957058429718018
11,glove,no_transform,train,13.359713554382324
11,glove,no_transform,test,4.541568279266357
12,glove,no_transform,train,13.316357612609863
12,glove,no_transform,test,5.055626392364502
13,glove,no_transform,train,13.27181339263916
13,glove,no_transform,test,5.508605480194092
14,glove,no_transform,train,13.238851547241211
14,glove,no_transform,test,5.943744659423828
15,glove,no_transform,train,13.200940132141113
15,glove,no_transform,test,6.307596206665039
16,glove,no_transform,train,13.155994415283203
16,glove,no_transform,test,6.542981147766113
17,glove,no_transform,train,13.116710662841797
17,glove,no_transform,test,6.607284069061279
18,glove,no_transform,train,13.085071563720703
18,glove,no_transform,test,6.538827896118164
19,glove,no_transform,train,13.057332038879395
19,glove,no_transform,test,6.403777599334717
20,glove,no_transform,train,13.033004760742188
20,glove,no_transform,test,6.291149139404297
21,glove,no_transform,train,13.008173942565918
21,glove,no_transform,test,6.239492893218994
22,glove,no_transform,train,12.97969913482666
22,glove,no_transform,test,6.245213985443115
23,glove,no_transform,train,12.948322296142578
23,glove,no_transform,test,6.31727409362793
24,glove,no_transform,train,12.917662620544434
24,glove,no_transform,test,6.444036960601807
25,glove,no_transform,train,12.891301155090332
25,glove,no_transform,test,6.6076483726501465
26,glove,no_transform,train,12.868409156799316
26,glove,no_transform,test,6.790731430053711
27,glove,no_transform,train,12.842991828918457
27,glove,no_transform,test,6.933842658996582
28,glove,no_transform,train,12.817421913146973
28,glove,no_transform,test,7.06242036819458
29,glove,no_transform,train,12.79223346710205
29,glove,no_transform,test,7.211780548095703
30,glove,no_transform,train,12.765454292297363
30,glove,no_transform,test,7.4654107093811035
31,glove,no_transform,train,12.736930847167969
31,glove,no_transform,test,7.838980674743652
32,glove,no_transform,train,12.710716247558594
32,glove,no_transform,test,8.25
33,glove,no_transform,train,12.684224128723145
