Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,glove,no_transform,train,20.63995361328125
1,glove,no_transform,test,9.160900115966797
2,glove,no_transform,train,20.07197380065918
2,glove,no_transform,test,8.552511215209961
3,glove,no_transform,train,16.77167510986328
3,glove,no_transform,test,8.034551620483398
4,glove,no_transform,train,15.854975700378418
4,glove,no_transform,test,8.53190803527832
5,glove,no_transform,train,15.172270774841309
5,glove,no_transform,test,9.419829368591309
6,glove,no_transform,train,14.572009086608887
6,glove,no_transform,test,9.450881958007812
7,glove,no_transform,train,14.266623497009277
7,glove,no_transform,test,9.523076057434082
8,glove,no_transform,train,14.022891998291016
8,glove,no_transform,test,9.96066951751709
9,glove,no_transform,train,13.704139709472656
9,glove,no_transform,test,10.284073829650879
10,glove,no_transform,train,13.493860244750977
10,glove,no_transform,test,10.109768867492676
11,glove,no_transform,train,13.444320678710938
11,glove,no_transform,test,9.22439956665039
12,glove,no_transform,train,13.392683029174805
12,glove,no_transform,test,7.868570327758789
13,glove,no_transform,train,13.31197452545166
13,glove,no_transform,test,6.693749904632568
14,glove,no_transform,train,13.274821281433105
14,glove,no_transform,test,6.201964855194092
15,glove,no_transform,train,13.25600528717041
15,glove,no_transform,test,6.329699516296387
16,glove,no_transform,train,13.204718589782715
16,glove,no_transform,test,6.944578170776367
17,glove,no_transform,train,13.134849548339844
17,glove,no_transform,test,7.730991840362549
18,glove,no_transform,train,13.082242965698242
18,glove,no_transform,test,8.261945724487305
19,glove,no_transform,train,13.052521705627441
19,glove,no_transform,test,8.27503490447998
20,glove,no_transform,train,13.017757415771484
20,glove,no_transform,test,7.876742839813232
21,glove,no_transform,train,12.971148490905762
21,glove,no_transform,test,7.309821605682373
22,glove,no_transform,train,12.927781105041504
22,glove,no_transform,test,6.834372520446777
23,glove,no_transform,train,12.89517879486084
23,glove,no_transform,test,6.568264007568359
24,glove,no_transform,train,12.864741325378418
24,glove,no_transform,test,6.435567378997803
25,glove,no_transform,train,12.828112602233887
25,glove,no_transform,test,6.392253398895264
26,glove,no_transform,train,12.793837547302246
26,glove,no_transform,test,6.386878490447998
27,glove,no_transform,train,12.768671989440918
27,glove,no_transform,test,6.407487392425537
28,glove,no_transform,train,12.74079418182373
28,glove,no_transform,test,6.486810207366943
29,glove,no_transform,train,12.707013130187988
29,glove,no_transform,test,6.624631881713867
30,glove,no_transform,train,12.678901672363281
30,glove,no_transform,test,6.81313419342041
31,glove,no_transform,train,12.646984100341797
31,glove,no_transform,test,6.97172737121582
32,glove,no_transform,train,12.61101245880127
32,glove,no_transform,test,7.133017539978027
33,glove,no_transform,train,12.582756042480469
33,glove,no_transform,test,7.368292808532715
34,glove,no_transform,train,12.549960136413574
34,glove,no_transform,test,7.650697708129883
35,glove,no_transform,train,12.519365310668945
35,glove,no_transform,test,7.873084545135498
36,glove,no_transform,train,12.484185218811035
36,glove,no_transform,test,8.07866096496582
37,glove,no_transform,train,12.448105812072754
37,glove,no_transform,test,8.54685115814209
38,glove,no_transform,train,12.41025161743164
38,glove,no_transform,test,9.304516792297363
39,glove,no_transform,train,12.375566482543945
39,glove,no_transform,test,9.765722274780273
40,glove,no_transform,train,12.328551292419434
40,glove,no_transform,test,10.687088966369629
41,glove,no_transform,train,12.283224105834961
41,glove,no_transform,test,11.926033020019531
42,glove,no_transform,train,12.24535846710205
42,glove,no_transform,test,12.424945831298828
43,glove,no_transform,train,12.215852737426758
43,glove,no_transform,test,14.242037773132324
44,glove,no_transform,train,12.151544570922852
44,glove,no_transform,test,15.218400001525879
45,glove,no_transform,train,12.091765403747559
45,glove,no_transform,test,16.112533569335938
46,glove,no_transform,train,12.052362442016602
46,glove,no_transform,test,18.156373977661133
47,glove,no_transform,train,12.025711059570312
47,glove,no_transform,test,18.17949104309082
48,glove,no_transform,train,11.997809410095215
48,glove,no_transform,test,20.20964241027832
49,glove,no_transform,train,11.897793769836426
49,glove,no_transform,test,21.554550170898438
50,glove,no_transform,train,11.84410572052002
50,glove,no_transform,test,22.06519317626953
51,glove,no_transform,train,11.835984230041504
51,glove,no_transform,test,23.70820426940918
52,glove,no_transform,train,11.771875381469727
52,glove,no_transform,test,24.025054931640625
53,glove,no_transform,train,11.680976867675781
53,glove,no_transform,test,24.735275268554688
54,glove,no_transform,train,11.619193077087402
54,glove,no_transform,test,25.63603401184082
55,glove,no_transform,train,11.586627960205078
55,glove,no_transform,test,26.170368194580078
56,glove,no_transform,train,11.589882850646973
56,glove,no_transform,test,27.39347267150879
57,glove,no_transform,train,11.560026168823242
57,glove,no_transform,test,29.01050567626953
58,glove,no_transform,train,11.473499298095703
58,glove,no_transform,test,29.072511672973633
59,glove,no_transform,train,11.321834564208984
59,glove,no_transform,test,29.449453353881836
60,glove,no_transform,train,11.30579948425293
60,glove,no_transform,test,30.61692237854004
61,glove,no_transform,train,11.331082344055176
61,glove,no_transform,test,28.807958602905273
62,glove,no_transform,train,11.217193603515625
62,glove,no_transform,test,29.52047348022461
63,glove,no_transform,train,11.078662872314453
63,glove,no_transform,test,31.011510848999023
64,glove,no_transform,train,11.022814750671387
64,glove,no_transform,test,31.854991912841797
65,glove,no_transform,train,11.038623809814453
65,glove,no_transform,test,32.67964172363281
