Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,glove,no_transform,train,20.764802932739258
1,glove,no_transform,test,8.1498384475708
2,glove,no_transform,train,18.131412506103516
2,glove,no_transform,test,8.279529571533203
3,glove,no_transform,train,16.539030075073242
3,glove,no_transform,test,10.246223449707031
4,glove,no_transform,train,15.582756042480469
4,glove,no_transform,test,13.7710599899292
5,glove,no_transform,train,14.816694259643555
5,glove,no_transform,test,18.02674674987793
6,glove,no_transform,train,14.297595024108887
6,glove,no_transform,test,22.58427619934082
7,glove,no_transform,train,13.979633331298828
7,glove,no_transform,test,26.622989654541016
8,glove,no_transform,train,13.826079368591309
8,glove,no_transform,test,29.141719818115234
9,glove,no_transform,train,13.728421211242676
9,glove,no_transform,test,30.422218322753906
10,glove,no_transform,train,13.660954475402832
10,glove,no_transform,test,31.608549118041992
11,glove,no_transform,train,13.596415519714355
11,glove,no_transform,test,32.8806037902832
12,glove,no_transform,train,13.518075942993164
12,glove,no_transform,test,33.43761444091797
13,glove,no_transform,train,13.456647872924805
13,glove,no_transform,test,33.09389114379883
14,glove,no_transform,train,13.39548110961914
14,glove,no_transform,test,32.057498931884766
15,glove,no_transform,train,13.322543144226074
15,glove,no_transform,test,30.669357299804688
16,glove,no_transform,train,13.241071701049805
16,glove,no_transform,test,29.115861892700195
17,glove,no_transform,train,13.15717887878418
17,glove,no_transform,test,27.35884666442871
18,glove,no_transform,train,13.078661918640137
18,glove,no_transform,test,25.141298294067383
19,glove,no_transform,train,13.008865356445312
19,glove,no_transform,test,22.589298248291016
20,glove,no_transform,train,12.946310997009277
20,glove,no_transform,test,19.91534996032715
21,glove,no_transform,train,12.888669967651367
21,glove,no_transform,test,17.51435661315918
22,glove,no_transform,train,12.83471393585205
22,glove,no_transform,test,15.403200149536133
23,glove,no_transform,train,12.780068397521973
23,glove,no_transform,test,13.497997283935547
24,glove,no_transform,train,12.724099159240723
24,glove,no_transform,test,11.746795654296875
25,glove,no_transform,train,12.665040016174316
25,glove,no_transform,test,10.244524955749512
26,glove,no_transform,train,12.605040550231934
26,glove,no_transform,test,9.116600036621094
27,glove,no_transform,train,12.546011924743652
27,glove,no_transform,test,8.417974472045898
28,glove,no_transform,train,12.489181518554688
28,glove,no_transform,test,8.067106246948242
29,glove,no_transform,train,12.432238578796387
29,glove,no_transform,test,8.076066970825195
30,glove,no_transform,train,12.368465423583984
30,glove,no_transform,test,8.388548851013184
31,glove,no_transform,train,12.305845260620117
31,glove,no_transform,test,8.90335750579834
32,glove,no_transform,train,12.247884750366211
32,glove,no_transform,test,9.607108116149902
33,glove,no_transform,train,12.193465232849121
33,glove,no_transform,test,10.50261116027832
34,glove,no_transform,train,12.141104698181152
34,glove,no_transform,test,11.464162826538086
35,glove,no_transform,train,12.065184593200684
35,glove,no_transform,test,12.779290199279785
36,glove,no_transform,train,11.992071151733398
36,glove,no_transform,test,14.47970962524414
37,glove,no_transform,train,11.926973342895508
37,glove,no_transform,test,16.446626663208008
38,glove,no_transform,train,11.873184204101562
38,glove,no_transform,test,19.049053192138672
39,glove,no_transform,train,11.906805992126465
39,glove,no_transform,test,19.263916015625
40,glove,no_transform,train,11.894472122192383
40,glove,no_transform,test,23.96445655822754
41,glove,no_transform,train,11.718368530273438
41,glove,no_transform,test,26.792985916137695
42,glove,no_transform,train,11.62512493133545
42,glove,no_transform,test,28.293563842773438
43,glove,no_transform,train,11.671083450317383
43,glove,no_transform,test,29.249622344970703
44,glove,no_transform,train,11.503766059875488
44,glove,no_transform,test,29.750118255615234
45,glove,no_transform,train,11.427725791931152
45,glove,no_transform,test,29.334909439086914
46,glove,no_transform,train,11.486166954040527
46,glove,no_transform,test,33.52035903930664
47,glove,no_transform,train,11.43415355682373
47,glove,no_transform,test,32.80946350097656
48,glove,no_transform,train,11.223913192749023
48,glove,no_transform,test,33.590782165527344
49,glove,no_transform,train,11.174057960510254
49,glove,no_transform,test,37.20520782470703
50,glove,no_transform,train,11.228377342224121
50,glove,no_transform,test,33.81414031982422
51,glove,no_transform,train,11.123790740966797
51,glove,no_transform,test,38.123966217041016
52,glove,no_transform,train,10.940203666687012
52,glove,no_transform,test,40.857364654541016
53,glove,no_transform,train,10.860271453857422
53,glove,no_transform,test,40.73395538330078
54,glove,no_transform,train,10.896871566772461
54,glove,no_transform,test,44.83552551269531
55,glove,no_transform,train,10.970147132873535
55,glove,no_transform,test,40.78730773925781
56,glove,no_transform,train,10.922321319580078
56,glove,no_transform,test,47.999298095703125
57,glove,no_transform,train,10.633898735046387
57,glove,no_transform,test,49.85963439941406
58,glove,no_transform,train,10.50432300567627
58,glove,no_transform,test,48.939117431640625
59,glove,no_transform,train,10.636402130126953
59,glove,no_transform,test,44.885658264160156
60,glove,no_transform,train,10.679635047912598
60,glove,no_transform,test,40.37519454956055
61,glove,no_transform,train,10.489858627319336
61,glove,no_transform,test,42.950279235839844
62,glove,no_transform,train,10.244745254516602
62,glove,no_transform,test,40.72688674926758
63,glove,no_transform,train,10.151069641113281
63,glove,no_transform,test,36.9299430847168
64,glove,no_transform,train,10.255243301391602
64,glove,no_transform,test,39.49260330200195
65,glove,no_transform,train,10.43083381652832
65,glove,no_transform,test,38.506614685058594
66,glove,no_transform,train,10.394131660461426
66,glove,no_transform,test,38.435264587402344
67,glove,no_transform,train,9.947434425354004
67,glove,no_transform,test,34.46282196044922
68,glove,no_transform,train,9.810259819030762
68,glove,no_transform,test,30.786367416381836
69,glove,no_transform,train,9.925687789916992
69,glove,no_transform,test,31.10698699951172
70,glove,no_transform,train,10.157740592956543
70,glove,no_transform,test,26.019018173217773
71,glove,no_transform,train,9.967053413391113
71,glove,no_transform,test,23.862911224365234
72,glove,no_transform,train,9.562989234924316
72,glove,no_transform,test,23.278018951416016
