Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_betha_structure,no_transform,train,20.658893585205078
1,physicochemical_betha_structure,no_transform,test,508.2690734863281
2,physicochemical_betha_structure,no_transform,train,20.16889190673828
2,physicochemical_betha_structure,no_transform,test,68.25597381591797
3,physicochemical_betha_structure,no_transform,train,14.753270149230957
3,physicochemical_betha_structure,no_transform,test,51.81803894042969
4,physicochemical_betha_structure,no_transform,train,14.053178787231445
4,physicochemical_betha_structure,no_transform,test,49.6096076965332
5,physicochemical_betha_structure,no_transform,train,13.887267112731934
5,physicochemical_betha_structure,no_transform,test,46.666385650634766
6,physicochemical_betha_structure,no_transform,train,13.758675575256348
6,physicochemical_betha_structure,no_transform,test,42.32052993774414
7,physicochemical_betha_structure,no_transform,train,13.635164260864258
7,physicochemical_betha_structure,no_transform,test,37.179080963134766
8,physicochemical_betha_structure,no_transform,train,13.525310516357422
8,physicochemical_betha_structure,no_transform,test,32.18817138671875
9,physicochemical_betha_structure,no_transform,train,13.451958656311035
9,physicochemical_betha_structure,no_transform,test,28.07731819152832
10,physicochemical_betha_structure,no_transform,train,13.416223526000977
10,physicochemical_betha_structure,no_transform,test,25.129125595092773
11,physicochemical_betha_structure,no_transform,train,13.401642799377441
11,physicochemical_betha_structure,no_transform,test,23.252681732177734
12,physicochemical_betha_structure,no_transform,train,13.388837814331055
12,physicochemical_betha_structure,no_transform,test,22.193212509155273
13,physicochemical_betha_structure,no_transform,train,13.372177124023438
13,physicochemical_betha_structure,no_transform,test,21.651897430419922
14,physicochemical_betha_structure,no_transform,train,13.356376647949219
14,physicochemical_betha_structure,no_transform,test,21.328306198120117
15,physicochemical_betha_structure,no_transform,train,13.347126007080078
15,physicochemical_betha_structure,no_transform,test,20.95313262939453
16,physicochemical_betha_structure,no_transform,train,13.34375286102295
16,physicochemical_betha_structure,no_transform,test,20.343069076538086
17,physicochemical_betha_structure,no_transform,train,13.340180397033691
17,physicochemical_betha_structure,no_transform,test,19.448688507080078
18,physicochemical_betha_structure,no_transform,train,13.332189559936523
18,physicochemical_betha_structure,no_transform,test,18.34844207763672
19,physicochemical_betha_structure,no_transform,train,13.321198463439941
19,physicochemical_betha_structure,no_transform,test,17.191617965698242
20,physicochemical_betha_structure,no_transform,train,13.311565399169922
20,physicochemical_betha_structure,no_transform,test,16.130619049072266
21,physicochemical_betha_structure,no_transform,train,13.305009841918945
21,physicochemical_betha_structure,no_transform,test,15.272335052490234
22,physicochemical_betha_structure,no_transform,train,13.299269676208496
22,physicochemical_betha_structure,no_transform,test,14.662496566772461
23,physicochemical_betha_structure,no_transform,train,13.291278839111328
23,physicochemical_betha_structure,no_transform,test,14.290499687194824
24,physicochemical_betha_structure,no_transform,train,13.2803316116333
24,physicochemical_betha_structure,no_transform,test,14.104212760925293
25,physicochemical_betha_structure,no_transform,train,13.268691062927246
25,physicochemical_betha_structure,no_transform,test,14.025018692016602
26,physicochemical_betha_structure,no_transform,train,13.259326934814453
26,physicochemical_betha_structure,no_transform,test,13.963560104370117
27,physicochemical_betha_structure,no_transform,train,13.253193855285645
27,physicochemical_betha_structure,no_transform,test,13.840559005737305
28,physicochemical_betha_structure,no_transform,train,13.248574256896973
28,physicochemical_betha_structure,no_transform,test,13.609933853149414
29,physicochemical_betha_structure,no_transform,train,13.24304485321045
29,physicochemical_betha_structure,no_transform,test,13.273149490356445
30,physicochemical_betha_structure,no_transform,train,13.235906600952148
30,physicochemical_betha_structure,no_transform,test,12.871956825256348
31,physicochemical_betha_structure,no_transform,train,13.228487014770508
31,physicochemical_betha_structure,no_transform,test,12.470393180847168
32,physicochemical_betha_structure,no_transform,train,13.222383499145508
32,physicochemical_betha_structure,no_transform,test,12.129297256469727
33,physicochemical_betha_structure,no_transform,train,13.217679023742676
33,physicochemical_betha_structure,no_transform,test,11.889090538024902
34,physicochemical_betha_structure,no_transform,train,13.213109970092773
34,physicochemical_betha_structure,no_transform,test,11.762811660766602
35,physicochemical_betha_structure,no_transform,train,13.207426071166992
35,physicochemical_betha_structure,no_transform,test,11.734994888305664
36,physicochemical_betha_structure,no_transform,train,13.20061206817627
36,physicochemical_betha_structure,no_transform,test,11.768677711486816
37,physicochemical_betha_structure,no_transform,train,13.193619728088379
37,physicochemical_betha_structure,no_transform,test,11.813628196716309
38,physicochemical_betha_structure,no_transform,train,13.187149047851562
38,physicochemical_betha_structure,no_transform,test,11.821845054626465
39,physicochemical_betha_structure,no_transform,train,13.181053161621094
39,physicochemical_betha_structure,no_transform,test,11.762750625610352
40,physicochemical_betha_structure,no_transform,train,13.174490928649902
40,physicochemical_betha_structure,no_transform,test,11.632966995239258
41,physicochemical_betha_structure,no_transform,train,13.16739559173584
41,physicochemical_betha_structure,no_transform,test,11.456592559814453
42,physicochemical_betha_structure,no_transform,train,13.160319328308105
42,physicochemical_betha_structure,no_transform,test,11.273589134216309
43,physicochemical_betha_structure,no_transform,train,13.153892517089844
43,physicochemical_betha_structure,no_transform,test,11.123292922973633
44,physicochemical_betha_structure,no_transform,train,13.147961616516113
44,physicochemical_betha_structure,no_transform,test,11.030198097229004
45,physicochemical_betha_structure,no_transform,train,13.14191722869873
45,physicochemical_betha_structure,no_transform,test,10.999673843383789
46,physicochemical_betha_structure,no_transform,train,13.135290145874023
46,physicochemical_betha_structure,no_transform,test,11.014070510864258
47,physicochemical_betha_structure,no_transform,train,13.128235816955566
47,physicochemical_betha_structure,no_transform,test,11.043794631958008
48,physicochemical_betha_structure,no_transform,train,13.12098217010498
48,physicochemical_betha_structure,no_transform,test,11.059823989868164
49,physicochemical_betha_structure,no_transform,train,13.113534927368164
49,physicochemical_betha_structure,no_transform,test,11.040526390075684
50,physicochemical_betha_structure,no_transform,train,13.105971336364746
50,physicochemical_betha_structure,no_transform,test,10.985430717468262
51,physicochemical_betha_structure,no_transform,train,13.098319053649902
51,physicochemical_betha_structure,no_transform,test,10.906831741333008
52,physicochemical_betha_structure,no_transform,train,13.090700149536133
52,physicochemical_betha_structure,no_transform,test,10.823063850402832
53,physicochemical_betha_structure,no_transform,train,13.082890510559082
53,physicochemical_betha_structure,no_transform,test,10.75062370300293
54,physicochemical_betha_structure,no_transform,train,13.07473087310791
54,physicochemical_betha_structure,no_transform,test,10.699460983276367
55,physicochemical_betha_structure,no_transform,train,13.066261291503906
55,physicochemical_betha_structure,no_transform,test,10.670859336853027
56,physicochemical_betha_structure,no_transform,train,13.057478904724121
56,physicochemical_betha_structure,no_transform,test,10.659039497375488
57,physicochemical_betha_structure,no_transform,train,13.048652648925781
57,physicochemical_betha_structure,no_transform,test,10.653416633605957
58,physicochemical_betha_structure,no_transform,train,13.0394287109375
58,physicochemical_betha_structure,no_transform,test,10.643393516540527
59,physicochemical_betha_structure,no_transform,train,13.02989673614502
59,physicochemical_betha_structure,no_transform,test,10.625568389892578
60,physicochemical_betha_structure,no_transform,train,13.020235061645508
60,physicochemical_betha_structure,no_transform,test,10.603511810302734
61,physicochemical_betha_structure,no_transform,train,13.009990692138672
61,physicochemical_betha_structure,no_transform,test,10.578397750854492
62,physicochemical_betha_structure,no_transform,train,12.99941635131836
62,physicochemical_betha_structure,no_transform,test,10.549629211425781
63,physicochemical_betha_structure,no_transform,train,12.98841381072998
63,physicochemical_betha_structure,no_transform,test,10.516292572021484
64,physicochemical_betha_structure,no_transform,train,12.977415084838867
64,physicochemical_betha_structure,no_transform,test,10.494544982910156
65,physicochemical_betha_structure,no_transform,train,12.965909004211426
65,physicochemical_betha_structure,no_transform,test,10.488591194152832
66,physicochemical_betha_structure,no_transform,train,12.953486442565918
66,physicochemical_betha_structure,no_transform,test,10.493866920471191
67,physicochemical_betha_structure,no_transform,train,12.940683364868164
67,physicochemical_betha_structure,no_transform,test,10.489422798156738
68,physicochemical_betha_structure,no_transform,train,12.927186965942383
68,physicochemical_betha_structure,no_transform,test,10.452178955078125
69,physicochemical_betha_structure,no_transform,train,12.912859916687012
69,physicochemical_betha_structure,no_transform,test,10.411090850830078
70,physicochemical_betha_structure,no_transform,train,12.897642135620117
70,physicochemical_betha_structure,no_transform,test,10.387301445007324
71,physicochemical_betha_structure,no_transform,train,12.88216495513916
71,physicochemical_betha_structure,no_transform,test,10.395928382873535
72,physicochemical_betha_structure,no_transform,train,12.86587905883789
72,physicochemical_betha_structure,no_transform,test,10.421815872192383
73,physicochemical_betha_structure,no_transform,train,12.848799705505371
73,physicochemical_betha_structure,no_transform,test,10.418336868286133
74,physicochemical_betha_structure,no_transform,train,12.830595970153809
74,physicochemical_betha_structure,no_transform,test,10.375541687011719
75,physicochemical_betha_structure,no_transform,train,12.811919212341309
75,physicochemical_betha_structure,no_transform,test,10.344261169433594
76,physicochemical_betha_structure,no_transform,train,12.791302680969238
76,physicochemical_betha_structure,no_transform,test,10.336501121520996
77,physicochemical_betha_structure,no_transform,train,12.769412994384766
77,physicochemical_betha_structure,no_transform,test,10.361083030700684
78,physicochemical_betha_structure,no_transform,train,12.746700286865234
78,physicochemical_betha_structure,no_transform,test,10.406984329223633
79,physicochemical_betha_structure,no_transform,train,12.722758293151855
79,physicochemical_betha_structure,no_transform,test,10.381643295288086
80,physicochemical_betha_structure,no_transform,train,12.696907997131348
80,physicochemical_betha_structure,no_transform,test,10.329872131347656
81,physicochemical_betha_structure,no_transform,train,12.66986083984375
81,physicochemical_betha_structure,no_transform,test,10.348583221435547
82,physicochemical_betha_structure,no_transform,train,12.641597747802734
82,physicochemical_betha_structure,no_transform,test,10.413595199584961
83,physicochemical_betha_structure,no_transform,train,12.610759735107422
83,physicochemical_betha_structure,no_transform,test,10.363122940063477
84,physicochemical_betha_structure,no_transform,train,12.578106880187988
84,physicochemical_betha_structure,no_transform,test,10.332902908325195
85,physicochemical_betha_structure,no_transform,train,12.543757438659668
85,physicochemical_betha_structure,no_transform,test,10.395538330078125
86,physicochemical_betha_structure,no_transform,train,12.506752967834473
86,physicochemical_betha_structure,no_transform,test,10.372223854064941
87,physicochemical_betha_structure,no_transform,train,12.46720027923584
87,physicochemical_betha_structure,no_transform,test,10.372628211975098
88,physicochemical_betha_structure,no_transform,train,12.424301147460938
88,physicochemical_betha_structure,no_transform,test,10.435935020446777
89,physicochemical_betha_structure,no_transform,train,12.379751205444336
89,physicochemical_betha_structure,no_transform,test,10.450525283813477
90,physicochemical_betha_structure,no_transform,train,12.332508087158203
90,physicochemical_betha_structure,no_transform,test,10.392875671386719
91,physicochemical_betha_structure,no_transform,train,12.279644966125488
91,physicochemical_betha_structure,no_transform,test,10.39985179901123
92,physicochemical_betha_structure,no_transform,train,12.225765228271484
92,physicochemical_betha_structure,no_transform,test,10.601923942565918
93,physicochemical_betha_structure,no_transform,train,12.16917896270752
93,physicochemical_betha_structure,no_transform,test,10.308158874511719
94,physicochemical_betha_structure,no_transform,train,12.110511779785156
94,physicochemical_betha_structure,no_transform,test,10.684419631958008
95,physicochemical_betha_structure,no_transform,train,12.051582336425781
95,physicochemical_betha_structure,no_transform,test,10.199360847473145
96,physicochemical_betha_structure,no_transform,train,11.99874210357666
96,physicochemical_betha_structure,no_transform,test,11.0929594039917
97,physicochemical_betha_structure,no_transform,train,11.946932792663574
97,physicochemical_betha_structure,no_transform,test,9.898337364196777
98,physicochemical_betha_structure,no_transform,train,11.89298152923584
98,physicochemical_betha_structure,no_transform,test,11.266714096069336
99,physicochemical_betha_structure,no_transform,train,11.821473121643066
99,physicochemical_betha_structure,no_transform,test,10.400611877441406
100,physicochemical_betha_structure,no_transform,train,11.728354454040527
100,physicochemical_betha_structure,no_transform,test,10.500900268554688
