Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_index,no_transform,train,19.012672424316406
1,physicochemical_index,no_transform,test,337.5614929199219
2,physicochemical_index,no_transform,train,16.85444450378418
2,physicochemical_index,no_transform,test,60.31501007080078
3,physicochemical_index,no_transform,train,14.331897735595703
3,physicochemical_index,no_transform,test,50.0031852722168
4,physicochemical_index,no_transform,train,13.563042640686035
4,physicochemical_index,no_transform,test,58.614444732666016
5,physicochemical_index,no_transform,train,13.599943161010742
5,physicochemical_index,no_transform,test,59.855159759521484
6,physicochemical_index,no_transform,train,13.661168098449707
6,physicochemical_index,no_transform,test,51.545745849609375
7,physicochemical_index,no_transform,train,13.489721298217773
7,physicochemical_index,no_transform,test,40.563114166259766
8,physicochemical_index,no_transform,train,13.327035903930664
8,physicochemical_index,no_transform,test,31.479331970214844
9,physicochemical_index,no_transform,train,13.290014266967773
9,physicochemical_index,no_transform,test,25.6817569732666
10,physicochemical_index,no_transform,train,13.312851905822754
10,physicochemical_index,no_transform,test,22.619977951049805
11,physicochemical_index,no_transform,train,13.315463066101074
11,physicochemical_index,no_transform,test,21.367164611816406
12,physicochemical_index,no_transform,train,13.284988403320312
12,physicochemical_index,no_transform,test,21.177576065063477
13,physicochemical_index,no_transform,train,13.251113891601562
13,physicochemical_index,no_transform,test,21.43012046813965
14,physicochemical_index,no_transform,train,13.239551544189453
14,physicochemical_index,no_transform,test,21.541162490844727
15,physicochemical_index,no_transform,train,13.245247840881348
15,physicochemical_index,no_transform,test,21.072309494018555
16,physicochemical_index,no_transform,train,13.241971015930176
16,physicochemical_index,no_transform,test,19.931900024414062
17,physicochemical_index,no_transform,train,13.218077659606934
17,physicochemical_index,no_transform,test,18.360074996948242
18,physicochemical_index,no_transform,train,13.189106941223145
18,physicochemical_index,no_transform,test,16.714757919311523
19,physicochemical_index,no_transform,train,13.172584533691406
19,physicochemical_index,no_transform,test,15.290611267089844
20,physicochemical_index,no_transform,train,13.168472290039062
20,physicochemical_index,no_transform,test,14.250496864318848
21,physicochemical_index,no_transform,train,13.16588020324707
21,physicochemical_index,no_transform,test,13.632227897644043
22,physicochemical_index,no_transform,train,13.157631874084473
22,physicochemical_index,no_transform,test,13.385101318359375
23,physicochemical_index,no_transform,train,13.145125389099121
23,physicochemical_index,no_transform,test,13.400814056396484
24,physicochemical_index,no_transform,train,13.134425163269043
24,physicochemical_index,no_transform,test,13.53661823272705
25,physicochemical_index,no_transform,train,13.129389762878418
25,physicochemical_index,no_transform,test,13.638199806213379
26,physicochemical_index,no_transform,train,13.128162384033203
26,physicochemical_index,no_transform,test,13.580628395080566
27,physicochemical_index,no_transform,train,13.124472618103027
27,physicochemical_index,no_transform,test,13.312849044799805
28,physicochemical_index,no_transform,train,13.113862037658691
28,physicochemical_index,no_transform,test,12.872496604919434
29,physicochemical_index,no_transform,train,13.098682403564453
29,physicochemical_index,no_transform,test,12.361315727233887
30,physicochemical_index,no_transform,train,13.085466384887695
30,physicochemical_index,no_transform,test,11.894946098327637
31,physicochemical_index,no_transform,train,13.078198432922363
31,physicochemical_index,no_transform,test,11.556767463684082
32,physicochemical_index,no_transform,train,13.074485778808594
32,physicochemical_index,no_transform,test,11.379587173461914
33,physicochemical_index,no_transform,train,13.06888484954834
33,physicochemical_index,no_transform,test,11.352265357971191
34,physicochemical_index,no_transform,train,13.059301376342773
34,physicochemical_index,no_transform,test,11.430131912231445
35,physicochemical_index,no_transform,train,13.048470497131348
35,physicochemical_index,no_transform,test,11.544100761413574
36,physicochemical_index,no_transform,train,13.039939880371094
36,physicochemical_index,no_transform,test,11.615545272827148
37,physicochemical_index,no_transform,train,13.033246994018555
37,physicochemical_index,no_transform,test,11.584470748901367
38,physicochemical_index,no_transform,train,13.024832725524902
38,physicochemical_index,no_transform,test,11.438446044921875
39,physicochemical_index,no_transform,train,13.013484001159668
39,physicochemical_index,no_transform,test,11.213397026062012
40,physicochemical_index,no_transform,train,13.001299858093262
40,physicochemical_index,no_transform,test,10.97613525390625
41,physicochemical_index,no_transform,train,12.990191459655762
41,physicochemical_index,no_transform,test,10.794039726257324
42,physicochemical_index,no_transform,train,12.980191230773926
42,physicochemical_index,no_transform,test,10.711384773254395
43,physicochemical_index,no_transform,train,12.970220565795898
43,physicochemical_index,no_transform,test,10.738081932067871
44,physicochemical_index,no_transform,train,12.959088325500488
44,physicochemical_index,no_transform,test,10.83767318725586
45,physicochemical_index,no_transform,train,12.945926666259766
45,physicochemical_index,no_transform,test,10.950481414794922
46,physicochemical_index,no_transform,train,12.93285083770752
46,physicochemical_index,no_transform,test,11.012310028076172
47,physicochemical_index,no_transform,train,12.920376777648926
47,physicochemical_index,no_transform,test,10.98507308959961
48,physicochemical_index,no_transform,train,12.906379699707031
48,physicochemical_index,no_transform,test,10.87943172454834
49,physicochemical_index,no_transform,train,12.89037036895752
49,physicochemical_index,no_transform,test,10.745994567871094
50,physicochemical_index,no_transform,train,12.874573707580566
50,physicochemical_index,no_transform,test,10.645464897155762
51,physicochemical_index,no_transform,train,12.858208656311035
51,physicochemical_index,no_transform,test,10.617622375488281
52,physicochemical_index,no_transform,train,12.840378761291504
52,physicochemical_index,no_transform,test,10.655743598937988
53,physicochemical_index,no_transform,train,12.821165084838867
53,physicochemical_index,no_transform,test,10.725173950195312
54,physicochemical_index,no_transform,train,12.80139446258545
54,physicochemical_index,no_transform,test,10.776161193847656
55,physicochemical_index,no_transform,train,12.779813766479492
55,physicochemical_index,no_transform,test,10.783768653869629
56,physicochemical_index,no_transform,train,12.756360054016113
56,physicochemical_index,no_transform,test,10.757492065429688
57,physicochemical_index,no_transform,train,12.731315612792969
57,physicochemical_index,no_transform,test,10.729551315307617
58,physicochemical_index,no_transform,train,12.70421314239502
58,physicochemical_index,no_transform,test,10.727559089660645
59,physicochemical_index,no_transform,train,12.675189018249512
59,physicochemical_index,no_transform,test,10.766169548034668
60,physicochemical_index,no_transform,train,12.643783569335938
60,physicochemical_index,no_transform,test,10.827119827270508
61,physicochemical_index,no_transform,train,12.610033988952637
61,physicochemical_index,no_transform,test,10.915559768676758
62,physicochemical_index,no_transform,train,12.576933860778809
62,physicochemical_index,no_transform,test,10.947426795959473
63,physicochemical_index,no_transform,train,12.541550636291504
63,physicochemical_index,no_transform,test,11.00532341003418
64,physicochemical_index,no_transform,train,12.496201515197754
64,physicochemical_index,no_transform,test,11.042423248291016
65,physicochemical_index,no_transform,train,12.44565486907959
65,physicochemical_index,no_transform,test,11.086817741394043
66,physicochemical_index,no_transform,train,12.406408309936523
66,physicochemical_index,no_transform,test,11.173255920410156
67,physicochemical_index,no_transform,train,12.392650604248047
67,physicochemical_index,no_transform,test,11.143874168395996
68,physicochemical_index,no_transform,train,12.329727172851562
68,physicochemical_index,no_transform,test,11.229204177856445
69,physicochemical_index,no_transform,train,12.302477836608887
69,physicochemical_index,no_transform,test,11.213557243347168
70,physicochemical_index,no_transform,train,12.194425582885742
70,physicochemical_index,no_transform,test,11.17712116241455
71,physicochemical_index,no_transform,train,12.10588550567627
71,physicochemical_index,no_transform,test,11.322956085205078
72,physicochemical_index,no_transform,train,12.110759735107422
72,physicochemical_index,no_transform,test,11.151304244995117
73,physicochemical_index,no_transform,train,12.009241104125977
73,physicochemical_index,no_transform,test,11.098079681396484
74,physicochemical_index,no_transform,train,11.875898361206055
74,physicochemical_index,no_transform,test,11.255295753479004
75,physicochemical_index,no_transform,train,11.83481216430664
75,physicochemical_index,no_transform,test,11.125449180603027
76,physicochemical_index,no_transform,train,11.75314998626709
76,physicochemical_index,no_transform,test,11.210494041442871
77,physicochemical_index,no_transform,train,11.704506874084473
77,physicochemical_index,no_transform,test,11.323534965515137
78,physicochemical_index,no_transform,train,11.68383502960205
78,physicochemical_index,no_transform,test,10.594955444335938
79,physicochemical_index,no_transform,train,11.661882400512695
79,physicochemical_index,no_transform,test,11.743752479553223
80,physicochemical_index,no_transform,train,11.616724967956543
80,physicochemical_index,no_transform,test,10.156319618225098
81,physicochemical_index,no_transform,train,11.42197036743164
81,physicochemical_index,no_transform,test,10.329215049743652
82,physicochemical_index,no_transform,train,11.25271987915039
82,physicochemical_index,no_transform,test,11.499128341674805
83,physicochemical_index,no_transform,train,11.242161750793457
83,physicochemical_index,no_transform,test,9.305329322814941
84,physicochemical_index,no_transform,train,11.128873825073242
84,physicochemical_index,no_transform,test,10.659517288208008
85,physicochemical_index,no_transform,train,11.136404991149902
85,physicochemical_index,no_transform,test,11.251930236816406
86,physicochemical_index,no_transform,train,11.923291206359863
86,physicochemical_index,no_transform,test,10.398117065429688
87,physicochemical_index,no_transform,train,11.938185691833496
87,physicochemical_index,no_transform,test,10.391538619995117
88,physicochemical_index,no_transform,train,11.281603813171387
88,physicochemical_index,no_transform,test,10.038253784179688
89,physicochemical_index,no_transform,train,11.3801851272583
89,physicochemical_index,no_transform,test,9.364164352416992
90,physicochemical_index,no_transform,train,10.885363578796387
90,physicochemical_index,no_transform,test,10.02514362335205
91,physicochemical_index,no_transform,train,11.234601974487305
91,physicochemical_index,no_transform,test,9.398626327514648
