Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_index,no_transform,train,20.575756072998047
1,physicochemical_index,no_transform,test,6.486958980560303
2,physicochemical_index,no_transform,train,19.726383209228516
2,physicochemical_index,no_transform,test,4.47291374206543
3,physicochemical_index,no_transform,train,18.673648834228516
3,physicochemical_index,no_transform,test,5.279346942901611
4,physicochemical_index,no_transform,train,17.27600860595703
4,physicochemical_index,no_transform,test,8.793989181518555
5,physicochemical_index,no_transform,train,15.726958274841309
5,physicochemical_index,no_transform,test,16.479747772216797
6,physicochemical_index,no_transform,train,14.39841079711914
6,physicochemical_index,no_transform,test,29.511083602905273
7,physicochemical_index,no_transform,train,13.646753311157227
7,physicochemical_index,no_transform,test,46.65199661254883
8,physicochemical_index,no_transform,train,13.747512817382812
8,physicochemical_index,no_transform,test,59.569313049316406
9,physicochemical_index,no_transform,train,14.30366325378418
9,physicochemical_index,no_transform,test,60.022518157958984
10,physicochemical_index,no_transform,train,14.290413856506348
10,physicochemical_index,no_transform,test,51.56037139892578
11,physicochemical_index,no_transform,train,13.831640243530273
11,physicochemical_index,no_transform,test,40.29499053955078
12,physicochemical_index,no_transform,train,13.498785018920898
12,physicochemical_index,no_transform,test,30.39748191833496
13,physicochemical_index,no_transform,train,13.464313507080078
13,physicochemical_index,no_transform,test,23.452760696411133
14,physicochemical_index,no_transform,train,13.569962501525879
14,physicochemical_index,no_transform,test,19.281536102294922
15,physicochemical_index,no_transform,train,13.657150268554688
15,physicochemical_index,no_transform,test,17.124177932739258
16,physicochemical_index,no_transform,train,13.662491798400879
16,physicochemical_index,no_transform,test,16.298616409301758
17,physicochemical_index,no_transform,train,13.59070110321045
17,physicochemical_index,no_transform,test,16.357872009277344
18,physicochemical_index,no_transform,train,13.483348846435547
18,physicochemical_index,no_transform,test,16.994630813598633
19,physicochemical_index,no_transform,train,13.392823219299316
19,physicochemical_index,no_transform,test,17.923974990844727
20,physicochemical_index,no_transform,train,13.354730606079102
20,physicochemical_index,no_transform,test,18.826126098632812
21,physicochemical_index,no_transform,train,13.369009971618652
21,physicochemical_index,no_transform,test,19.371633529663086
22,physicochemical_index,no_transform,train,13.401168823242188
22,physicochemical_index,no_transform,test,19.328758239746094
23,physicochemical_index,no_transform,train,13.41172981262207
23,physicochemical_index,no_transform,test,18.665708541870117
24,physicochemical_index,no_transform,train,13.389045715332031
24,physicochemical_index,no_transform,test,17.535999298095703
