Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_secondary_structure,no_transform,train,19.06390380859375
1,physicochemical_secondary_structure,no_transform,test,323.5303955078125
2,physicochemical_secondary_structure,no_transform,train,17.917430877685547
2,physicochemical_secondary_structure,no_transform,test,40.73891067504883
3,physicochemical_secondary_structure,no_transform,train,15.093262672424316
3,physicochemical_secondary_structure,no_transform,test,26.8428955078125
4,physicochemical_secondary_structure,no_transform,train,14.184751510620117
4,physicochemical_secondary_structure,no_transform,test,31.66793441772461
5,physicochemical_secondary_structure,no_transform,train,13.655990600585938
5,physicochemical_secondary_structure,no_transform,test,39.92617416381836
6,physicochemical_secondary_structure,no_transform,train,13.519865989685059
6,physicochemical_secondary_structure,no_transform,test,44.71282958984375
7,physicochemical_secondary_structure,no_transform,train,13.541213989257812
7,physicochemical_secondary_structure,no_transform,test,42.81580352783203
8,physicochemical_secondary_structure,no_transform,train,13.436469078063965
8,physicochemical_secondary_structure,no_transform,test,36.85024642944336
9,physicochemical_secondary_structure,no_transform,train,13.301351547241211
9,physicochemical_secondary_structure,no_transform,test,30.327499389648438
10,physicochemical_secondary_structure,no_transform,train,13.262815475463867
10,physicochemical_secondary_structure,no_transform,test,25.187271118164062
11,physicochemical_secondary_structure,no_transform,train,13.296441078186035
11,physicochemical_secondary_structure,no_transform,test,21.836332321166992
12,physicochemical_secondary_structure,no_transform,train,13.324177742004395
12,physicochemical_secondary_structure,no_transform,test,19.97052001953125
13,physicochemical_secondary_structure,no_transform,train,13.30806827545166
13,physicochemical_secondary_structure,no_transform,test,19.168304443359375
14,physicochemical_secondary_structure,no_transform,train,13.260769844055176
14,physicochemical_secondary_structure,no_transform,test,19.046337127685547
15,physicochemical_secondary_structure,no_transform,train,13.215635299682617
15,physicochemical_secondary_structure,no_transform,test,19.244205474853516
16,physicochemical_secondary_structure,no_transform,train,13.196022033691406
16,physicochemical_secondary_structure,no_transform,test,19.393972396850586
17,physicochemical_secondary_structure,no_transform,train,13.199165344238281
17,physicochemical_secondary_structure,no_transform,test,19.189390182495117
18,physicochemical_secondary_structure,no_transform,train,13.203879356384277
18,physicochemical_secondary_structure,no_transform,test,18.5056095123291
19,physicochemical_secondary_structure,no_transform,train,13.194846153259277
19,physicochemical_secondary_structure,no_transform,test,17.430463790893555
20,physicochemical_secondary_structure,no_transform,train,13.175650596618652
20,physicochemical_secondary_structure,no_transform,test,16.1815242767334
21,physicochemical_secondary_structure,no_transform,train,13.158751487731934
21,physicochemical_secondary_structure,no_transform,test,14.989338874816895
22,physicochemical_secondary_structure,no_transform,train,13.149508476257324
22,physicochemical_secondary_structure,no_transform,test,14.018952369689941
23,physicochemical_secondary_structure,no_transform,train,13.143789291381836
23,physicochemical_secondary_structure,no_transform,test,13.346193313598633
24,physicochemical_secondary_structure,no_transform,train,13.135748863220215
24,physicochemical_secondary_structure,no_transform,test,12.970049858093262
25,physicochemical_secondary_structure,no_transform,train,13.12393856048584
25,physicochemical_secondary_structure,no_transform,test,12.836905479431152
26,physicochemical_secondary_structure,no_transform,train,13.111349105834961
26,physicochemical_secondary_structure,no_transform,test,12.86113166809082
27,physicochemical_secondary_structure,no_transform,train,13.101898193359375
27,physicochemical_secondary_structure,no_transform,test,12.93863582611084
28,physicochemical_secondary_structure,no_transform,train,13.09615421295166
28,physicochemical_secondary_structure,no_transform,test,12.967118263244629
29,physicochemical_secondary_structure,no_transform,train,13.090729713439941
29,physicochemical_secondary_structure,no_transform,test,12.875417709350586
30,physicochemical_secondary_structure,no_transform,train,13.081207275390625
30,physicochemical_secondary_structure,no_transform,test,12.6485013961792
31,physicochemical_secondary_structure,no_transform,train,13.067882537841797
31,physicochemical_secondary_structure,no_transform,test,12.325235366821289
32,physicochemical_secondary_structure,no_transform,train,13.05556583404541
32,physicochemical_secondary_structure,no_transform,test,11.974430084228516
33,physicochemical_secondary_structure,no_transform,train,13.047883987426758
33,physicochemical_secondary_structure,no_transform,test,11.66396713256836
34,physicochemical_secondary_structure,no_transform,train,13.04277515411377
34,physicochemical_secondary_structure,no_transform,test,11.439655303955078
35,physicochemical_secondary_structure,no_transform,train,13.035419464111328
35,physicochemical_secondary_structure,no_transform,test,11.317021369934082
36,physicochemical_secondary_structure,no_transform,train,13.024358749389648
36,physicochemical_secondary_structure,no_transform,test,11.28343391418457
37,physicochemical_secondary_structure,no_transform,train,13.011767387390137
37,physicochemical_secondary_structure,no_transform,test,11.299527168273926
38,physicochemical_secondary_structure,no_transform,train,13.00097942352295
38,physicochemical_secondary_structure,no_transform,test,11.314841270446777
39,physicochemical_secondary_structure,no_transform,train,12.991942405700684
39,physicochemical_secondary_structure,no_transform,test,11.289995193481445
40,physicochemical_secondary_structure,no_transform,train,12.983145713806152
40,physicochemical_secondary_structure,no_transform,test,11.207924842834473
41,physicochemical_secondary_structure,no_transform,train,12.972314834594727
41,physicochemical_secondary_structure,no_transform,test,11.084238052368164
42,physicochemical_secondary_structure,no_transform,train,12.959163665771484
42,physicochemical_secondary_structure,no_transform,test,10.958170890808105
43,physicochemical_secondary_structure,no_transform,train,12.946016311645508
43,physicochemical_secondary_structure,no_transform,test,10.866838455200195
44,physicochemical_secondary_structure,no_transform,train,12.933897972106934
44,physicochemical_secondary_structure,no_transform,test,10.829195976257324
45,physicochemical_secondary_structure,no_transform,train,12.9209623336792
45,physicochemical_secondary_structure,no_transform,test,10.8394775390625
46,physicochemical_secondary_structure,no_transform,train,12.906396865844727
46,physicochemical_secondary_structure,no_transform,test,10.872992515563965
47,physicochemical_secondary_structure,no_transform,train,12.891414642333984
47,physicochemical_secondary_structure,no_transform,test,10.89567756652832
48,physicochemical_secondary_structure,no_transform,train,12.876704216003418
48,physicochemical_secondary_structure,no_transform,test,10.882240295410156
49,physicochemical_secondary_structure,no_transform,train,12.861001968383789
49,physicochemical_secondary_structure,no_transform,test,10.827980995178223
50,physicochemical_secondary_structure,no_transform,train,12.842817306518555
50,physicochemical_secondary_structure,no_transform,test,10.760635375976562
51,physicochemical_secondary_structure,no_transform,train,12.824226379394531
51,physicochemical_secondary_structure,no_transform,test,10.723732948303223
52,physicochemical_secondary_structure,no_transform,train,12.805362701416016
52,physicochemical_secondary_structure,no_transform,test,10.737007141113281
53,physicochemical_secondary_structure,no_transform,train,12.784693717956543
53,physicochemical_secondary_structure,no_transform,test,10.788341522216797
54,physicochemical_secondary_structure,no_transform,train,12.762547492980957
54,physicochemical_secondary_structure,no_transform,test,10.833810806274414
55,physicochemical_secondary_structure,no_transform,train,12.73928165435791
55,physicochemical_secondary_structure,no_transform,test,10.84669303894043
56,physicochemical_secondary_structure,no_transform,train,12.7144193649292
56,physicochemical_secondary_structure,no_transform,test,10.832815170288086
57,physicochemical_secondary_structure,no_transform,train,12.687294006347656
57,physicochemical_secondary_structure,no_transform,test,10.832180976867676
58,physicochemical_secondary_structure,no_transform,train,12.658943176269531
58,physicochemical_secondary_structure,no_transform,test,10.84715747833252
59,physicochemical_secondary_structure,no_transform,train,12.628744125366211
59,physicochemical_secondary_structure,no_transform,test,10.857149124145508
60,physicochemical_secondary_structure,no_transform,train,12.596077919006348
60,physicochemical_secondary_structure,no_transform,test,10.881166458129883
61,physicochemical_secondary_structure,no_transform,train,12.56375503540039
61,physicochemical_secondary_structure,no_transform,test,10.873960494995117
62,physicochemical_secondary_structure,no_transform,train,12.5436372756958
62,physicochemical_secondary_structure,no_transform,test,10.9464111328125
63,physicochemical_secondary_structure,no_transform,train,12.506443977355957
