Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_secondary_structure,no_transform,train,22.172828674316406
1,physicochemical_secondary_structure,no_transform,test,513.0225219726562
2,physicochemical_secondary_structure,no_transform,train,21.98095703125
2,physicochemical_secondary_structure,no_transform,test,67.31253051757812
3,physicochemical_secondary_structure,no_transform,train,15.212576866149902
3,physicochemical_secondary_structure,no_transform,test,54.9662971496582
4,physicochemical_secondary_structure,no_transform,train,14.505788803100586
4,physicochemical_secondary_structure,no_transform,test,52.28883743286133
5,physicochemical_secondary_structure,no_transform,train,14.2288818359375
5,physicochemical_secondary_structure,no_transform,test,48.96121597290039
6,physicochemical_secondary_structure,no_transform,train,14.053937911987305
6,physicochemical_secondary_structure,no_transform,test,44.52947235107422
7,physicochemical_secondary_structure,no_transform,train,13.90744400024414
7,physicochemical_secondary_structure,no_transform,test,39.62087631225586
8,physicochemical_secondary_structure,no_transform,train,13.793922424316406
8,physicochemical_secondary_structure,no_transform,test,34.89230728149414
9,physicochemical_secondary_structure,no_transform,train,13.739679336547852
9,physicochemical_secondary_structure,no_transform,test,30.85979652404785
10,physicochemical_secondary_structure,no_transform,train,13.719701766967773
10,physicochemical_secondary_structure,no_transform,test,27.7623233795166
11,physicochemical_secondary_structure,no_transform,train,13.706323623657227
11,physicochemical_secondary_structure,no_transform,test,25.565940856933594
12,physicochemical_secondary_structure,no_transform,train,13.687456130981445
12,physicochemical_secondary_structure,no_transform,test,24.0943546295166
13,physicochemical_secondary_structure,no_transform,train,13.665823936462402
13,physicochemical_secondary_structure,no_transform,test,23.113195419311523
14,physicochemical_secondary_structure,no_transform,train,13.648216247558594
14,physicochemical_secondary_structure,no_transform,test,22.38562774658203
15,physicochemical_secondary_structure,no_transform,train,13.638038635253906
15,physicochemical_secondary_structure,no_transform,test,21.71257972717285
16,physicochemical_secondary_structure,no_transform,train,13.632737159729004
16,physicochemical_secondary_structure,no_transform,test,20.96122169494629
17,physicochemical_secondary_structure,no_transform,train,13.626550674438477
17,physicochemical_secondary_structure,no_transform,test,20.082820892333984
18,physicochemical_secondary_structure,no_transform,train,13.615808486938477
18,physicochemical_secondary_structure,no_transform,test,19.106454849243164
19,physicochemical_secondary_structure,no_transform,train,13.600943565368652
19,physicochemical_secondary_structure,no_transform,test,18.108470916748047
20,physicochemical_secondary_structure,no_transform,train,13.58504867553711
20,physicochemical_secondary_structure,no_transform,test,17.176477432250977
21,physicochemical_secondary_structure,no_transform,train,13.570809364318848
21,physicochemical_secondary_structure,no_transform,test,16.381057739257812
22,physicochemical_secondary_structure,no_transform,train,13.5585298538208
22,physicochemical_secondary_structure,no_transform,test,15.761003494262695
23,physicochemical_secondary_structure,no_transform,train,13.547036170959473
23,physicochemical_secondary_structure,no_transform,test,15.321563720703125
24,physicochemical_secondary_structure,no_transform,train,13.535543441772461
24,physicochemical_secondary_structure,no_transform,test,15.038862228393555
25,physicochemical_secondary_structure,no_transform,train,13.524595260620117
25,physicochemical_secondary_structure,no_transform,test,14.867329597473145
26,physicochemical_secondary_structure,no_transform,train,13.515491485595703
26,physicochemical_secondary_structure,no_transform,test,14.749602317810059
27,physicochemical_secondary_structure,no_transform,train,13.508928298950195
27,physicochemical_secondary_structure,no_transform,test,14.628058433532715
28,physicochemical_secondary_structure,no_transform,train,13.504096984863281
28,physicochemical_secondary_structure,no_transform,test,14.457826614379883
29,physicochemical_secondary_structure,no_transform,train,13.499063491821289
29,physicochemical_secondary_structure,no_transform,test,14.218993186950684
30,physicochemical_secondary_structure,no_transform,train,13.492305755615234
30,physicochemical_secondary_structure,no_transform,test,13.920113563537598
31,physicochemical_secondary_structure,no_transform,train,13.483716011047363
31,physicochemical_secondary_structure,no_transform,test,13.591773986816406
32,physicochemical_secondary_structure,no_transform,train,13.474289894104004
32,physicochemical_secondary_structure,no_transform,test,13.273977279663086
33,physicochemical_secondary_structure,no_transform,train,13.465083122253418
33,physicochemical_secondary_structure,no_transform,test,13.004615783691406
34,physicochemical_secondary_structure,no_transform,train,13.456409454345703
34,physicochemical_secondary_structure,no_transform,test,12.808069229125977
35,physicochemical_secondary_structure,no_transform,train,13.447956085205078
35,physicochemical_secondary_structure,no_transform,test,12.691142082214355
36,physicochemical_secondary_structure,no_transform,train,13.439496994018555
36,physicochemical_secondary_structure,no_transform,test,12.642657279968262
37,physicochemical_secondary_structure,no_transform,train,13.43118667602539
37,physicochemical_secondary_structure,no_transform,test,12.637145042419434
38,physicochemical_secondary_structure,no_transform,train,13.423406600952148
38,physicochemical_secondary_structure,no_transform,test,12.641736030578613
39,physicochemical_secondary_structure,no_transform,train,13.416259765625
39,physicochemical_secondary_structure,no_transform,test,12.624519348144531
40,physicochemical_secondary_structure,no_transform,train,13.409390449523926
40,physicochemical_secondary_structure,no_transform,test,12.564170837402344
41,physicochemical_secondary_structure,no_transform,train,13.40230655670166
41,physicochemical_secondary_structure,no_transform,test,12.455855369567871
42,physicochemical_secondary_structure,no_transform,train,13.394840240478516
42,physicochemical_secondary_structure,no_transform,test,12.311066627502441
43,physicochemical_secondary_structure,no_transform,train,13.387247085571289
43,physicochemical_secondary_structure,no_transform,test,12.153059005737305
44,physicochemical_secondary_structure,no_transform,train,13.379849433898926
44,physicochemical_secondary_structure,no_transform,test,12.008524894714355
45,physicochemical_secondary_structure,no_transform,train,13.372644424438477
45,physicochemical_secondary_structure,no_transform,test,11.897784233093262
46,physicochemical_secondary_structure,no_transform,train,13.365311622619629
46,physicochemical_secondary_structure,no_transform,test,11.829710960388184
47,physicochemical_secondary_structure,no_transform,train,13.357553482055664
47,physicochemical_secondary_structure,no_transform,test,11.801264762878418
48,physicochemical_secondary_structure,no_transform,train,13.349461555480957
48,physicochemical_secondary_structure,no_transform,test,11.798471450805664
49,physicochemical_secondary_structure,no_transform,train,13.341275215148926
49,physicochemical_secondary_structure,no_transform,test,11.80140495300293
50,physicochemical_secondary_structure,no_transform,train,13.33324146270752
50,physicochemical_secondary_structure,no_transform,test,11.791166305541992
51,physicochemical_secondary_structure,no_transform,train,13.325376510620117
51,physicochemical_secondary_structure,no_transform,test,11.755242347717285
52,physicochemical_secondary_structure,no_transform,train,13.317438125610352
52,physicochemical_secondary_structure,no_transform,test,11.692063331604004
53,physicochemical_secondary_structure,no_transform,train,13.309412956237793
53,physicochemical_secondary_structure,no_transform,test,11.611255645751953
54,physicochemical_secondary_structure,no_transform,train,13.301305770874023
54,physicochemical_secondary_structure,no_transform,test,11.528409004211426
55,physicochemical_secondary_structure,no_transform,train,13.293182373046875
55,physicochemical_secondary_structure,no_transform,test,11.45870304107666
56,physicochemical_secondary_structure,no_transform,train,13.284957885742188
56,physicochemical_secondary_structure,no_transform,test,11.412004470825195
57,physicochemical_secondary_structure,no_transform,train,13.27662467956543
57,physicochemical_secondary_structure,no_transform,test,11.387506484985352
58,physicochemical_secondary_structure,no_transform,train,13.268202781677246
58,physicochemical_secondary_structure,no_transform,test,11.373922348022461
59,physicochemical_secondary_structure,no_transform,train,13.259872436523438
59,physicochemical_secondary_structure,no_transform,test,11.357213020324707
60,physicochemical_secondary_structure,no_transform,train,13.251458168029785
60,physicochemical_secondary_structure,no_transform,test,11.327383041381836
61,physicochemical_secondary_structure,no_transform,train,13.242725372314453
61,physicochemical_secondary_structure,no_transform,test,11.282302856445312
62,physicochemical_secondary_structure,no_transform,train,13.233583450317383
62,physicochemical_secondary_structure,no_transform,test,11.229881286621094
63,physicochemical_secondary_structure,no_transform,train,13.224596977233887
63,physicochemical_secondary_structure,no_transform,test,11.185052871704102
64,physicochemical_secondary_structure,no_transform,train,13.215472221374512
64,physicochemical_secondary_structure,no_transform,test,11.155180931091309
65,physicochemical_secondary_structure,no_transform,train,13.206031799316406
65,physicochemical_secondary_structure,no_transform,test,11.137212753295898
66,physicochemical_secondary_structure,no_transform,train,13.196470260620117
66,physicochemical_secondary_structure,no_transform,test,11.118279457092285
67,physicochemical_secondary_structure,no_transform,train,13.18698501586914
67,physicochemical_secondary_structure,no_transform,test,11.09299087524414
68,physicochemical_secondary_structure,no_transform,train,13.177292823791504
68,physicochemical_secondary_structure,no_transform,test,11.061924934387207
69,physicochemical_secondary_structure,no_transform,train,13.167356491088867
69,physicochemical_secondary_structure,no_transform,test,11.024026870727539
70,physicochemical_secondary_structure,no_transform,train,13.157137870788574
70,physicochemical_secondary_structure,no_transform,test,10.98511791229248
71,physicochemical_secondary_structure,no_transform,train,13.146822929382324
71,physicochemical_secondary_structure,no_transform,test,10.950794219970703
