Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_volume,no_transform,train,20.148469924926758
1,physicochemical_volume,no_transform,test,5907.685546875
2,physicochemical_volume,no_transform,train,109.33349609375
2,physicochemical_volume,no_transform,test,392.024169921875
3,physicochemical_volume,no_transform,train,19.80622100830078
3,physicochemical_volume,no_transform,test,128.24595642089844
4,physicochemical_volume,no_transform,train,17.623624801635742
4,physicochemical_volume,no_transform,test,57.31036376953125
5,physicochemical_volume,no_transform,train,17.75265121459961
5,physicochemical_volume,no_transform,test,28.716094970703125
6,physicochemical_volume,no_transform,train,17.575090408325195
6,physicochemical_volume,no_transform,test,16.97336196899414
7,physicochemical_volume,no_transform,train,17.600534439086914
7,physicochemical_volume,no_transform,test,11.358744621276855
8,physicochemical_volume,no_transform,train,17.589262008666992
8,physicochemical_volume,no_transform,test,8.197251319885254
9,physicochemical_volume,no_transform,train,17.376798629760742
9,physicochemical_volume,no_transform,test,6.678810119628906
10,physicochemical_volume,no_transform,train,17.069734573364258
10,physicochemical_volume,no_transform,test,6.351495265960693
11,physicochemical_volume,no_transform,train,16.81135368347168
11,physicochemical_volume,no_transform,test,6.553018093109131
12,physicochemical_volume,no_transform,train,16.61528205871582
12,physicochemical_volume,no_transform,test,6.80826473236084
13,physicochemical_volume,no_transform,train,16.400089263916016
13,physicochemical_volume,no_transform,test,7.043423175811768
14,physicochemical_volume,no_transform,train,16.133115768432617
14,physicochemical_volume,no_transform,test,7.401052951812744
15,physicochemical_volume,no_transform,train,15.844622611999512
15,physicochemical_volume,no_transform,test,7.972442150115967
16,physicochemical_volume,no_transform,train,15.574337005615234
16,physicochemical_volume,no_transform,test,8.669829368591309
17,physicochemical_volume,no_transform,train,15.32413387298584
17,physicochemical_volume,no_transform,test,9.326961517333984
18,physicochemical_volume,no_transform,train,15.057791709899902
18,physicochemical_volume,no_transform,test,9.863877296447754
19,physicochemical_volume,no_transform,train,14.758647918701172
19,physicochemical_volume,no_transform,test,10.347613334655762
20,physicochemical_volume,no_transform,train,14.458301544189453
20,physicochemical_volume,no_transform,test,10.921744346618652
21,physicochemical_volume,no_transform,train,14.220159530639648
21,physicochemical_volume,no_transform,test,11.663199424743652
22,physicochemical_volume,no_transform,train,14.082626342773438
22,physicochemical_volume,no_transform,test,12.527798652648926
23,physicochemical_volume,no_transform,train,14.034156799316406
23,physicochemical_volume,no_transform,test,13.377705574035645
24,physicochemical_volume,no_transform,train,14.01584529876709
24,physicochemical_volume,no_transform,test,14.095992088317871
25,physicochemical_volume,no_transform,train,13.972367286682129
25,physicochemical_volume,no_transform,test,14.643837928771973
26,physicochemical_volume,no_transform,train,13.890830993652344
26,physicochemical_volume,no_transform,test,15.06106948852539
27,physicochemical_volume,no_transform,train,13.799921035766602
27,physicochemical_volume,no_transform,test,15.38169002532959
28,physicochemical_volume,no_transform,train,13.729959487915039
28,physicochemical_volume,no_transform,test,15.600455284118652
29,physicochemical_volume,no_transform,train,13.6839599609375
29,physicochemical_volume,no_transform,test,15.699280738830566
30,physicochemical_volume,no_transform,train,13.654181480407715
30,physicochemical_volume,no_transform,test,15.676793098449707
31,physicochemical_volume,no_transform,train,13.636909484863281
31,physicochemical_volume,no_transform,test,15.549264907836914
32,physicochemical_volume,no_transform,train,13.634994506835938
32,physicochemical_volume,no_transform,test,15.328157424926758
33,physicochemical_volume,no_transform,train,13.645503997802734
33,physicochemical_volume,no_transform,test,15.014124870300293
34,physicochemical_volume,no_transform,train,13.654577255249023
34,physicochemical_volume,no_transform,test,14.608588218688965
35,physicochemical_volume,no_transform,train,13.648743629455566
35,physicochemical_volume,no_transform,test,14.1465425491333
36,physicochemical_volume,no_transform,train,13.62692642211914
36,physicochemical_volume,no_transform,test,13.67539119720459
37,physicochemical_volume,no_transform,train,13.599922180175781
37,physicochemical_volume,no_transform,test,13.24462604522705
38,physicochemical_volume,no_transform,train,13.577533721923828
38,physicochemical_volume,no_transform,test,12.878326416015625
39,physicochemical_volume,no_transform,train,13.559552192687988
39,physicochemical_volume,no_transform,test,12.58521556854248
40,physicochemical_volume,no_transform,train,13.53967571258545
40,physicochemical_volume,no_transform,test,12.362211227416992
41,physicochemical_volume,no_transform,train,13.515947341918945
41,physicochemical_volume,no_transform,test,12.205690383911133
42,physicochemical_volume,no_transform,train,13.493452072143555
42,physicochemical_volume,no_transform,test,12.102314949035645
43,physicochemical_volume,no_transform,train,13.477986335754395
43,physicochemical_volume,no_transform,test,12.031891822814941
44,physicochemical_volume,no_transform,train,13.469596862792969
44,physicochemical_volume,no_transform,test,11.972177505493164
45,physicochemical_volume,no_transform,train,13.463780403137207
45,physicochemical_volume,no_transform,test,11.909393310546875
46,physicochemical_volume,no_transform,train,13.45732307434082
46,physicochemical_volume,no_transform,test,11.839593887329102
47,physicochemical_volume,no_transform,train,13.450732231140137
47,physicochemical_volume,no_transform,test,11.764385223388672
48,physicochemical_volume,no_transform,train,13.445077896118164
48,physicochemical_volume,no_transform,test,11.684229850769043
49,physicochemical_volume,no_transform,train,13.439136505126953
49,physicochemical_volume,no_transform,test,11.59768295288086
50,physicochemical_volume,no_transform,train,13.430745124816895
50,physicochemical_volume,no_transform,test,11.507058143615723
51,physicochemical_volume,no_transform,train,13.420159339904785
51,physicochemical_volume,no_transform,test,11.417057037353516
52,physicochemical_volume,no_transform,train,13.410175323486328
52,physicochemical_volume,no_transform,test,11.332173347473145
53,physicochemical_volume,no_transform,train,13.402649879455566
53,physicochemical_volume,no_transform,test,11.251249313354492
54,physicochemical_volume,no_transform,train,13.396255493164062
54,physicochemical_volume,no_transform,test,11.173916816711426
55,physicochemical_volume,no_transform,train,13.388371467590332
55,physicochemical_volume,no_transform,test,11.101822853088379
56,physicochemical_volume,no_transform,train,13.378478050231934
56,physicochemical_volume,no_transform,test,11.041364669799805
57,physicochemical_volume,no_transform,train,13.368256568908691
57,physicochemical_volume,no_transform,test,10.997888565063477
58,physicochemical_volume,no_transform,train,13.359148025512695
58,physicochemical_volume,no_transform,test,10.973176956176758
59,physicochemical_volume,no_transform,train,13.351099967956543
59,physicochemical_volume,no_transform,test,10.964407920837402
60,physicochemical_volume,no_transform,train,13.343435287475586
60,physicochemical_volume,no_transform,test,10.967851638793945
61,physicochemical_volume,no_transform,train,13.336201667785645
61,physicochemical_volume,no_transform,test,10.977544784545898
62,physicochemical_volume,no_transform,train,13.329874992370605
62,physicochemical_volume,no_transform,test,10.985923767089844
63,physicochemical_volume,no_transform,train,13.324082374572754
63,physicochemical_volume,no_transform,test,10.988458633422852
64,physicochemical_volume,no_transform,train,13.317755699157715
64,physicochemical_volume,no_transform,test,10.984294891357422
65,physicochemical_volume,no_transform,train,13.31054973602295
65,physicochemical_volume,no_transform,test,10.976739883422852
66,physicochemical_volume,no_transform,train,13.303166389465332
66,physicochemical_volume,no_transform,test,10.971414566040039
67,physicochemical_volume,no_transform,train,13.296102523803711
67,physicochemical_volume,no_transform,test,10.971429824829102
68,physicochemical_volume,no_transform,train,13.289079666137695
68,physicochemical_volume,no_transform,test,10.976714134216309
69,physicochemical_volume,no_transform,train,13.28156852722168
69,physicochemical_volume,no_transform,test,10.984672546386719
70,physicochemical_volume,no_transform,train,13.273762702941895
70,physicochemical_volume,no_transform,test,10.99079704284668
71,physicochemical_volume,no_transform,train,13.26617431640625
71,physicochemical_volume,no_transform,test,10.989748001098633
72,physicochemical_volume,no_transform,train,13.25895881652832
72,physicochemical_volume,no_transform,test,10.97677993774414
73,physicochemical_volume,no_transform,train,13.251813888549805
73,physicochemical_volume,no_transform,test,10.949288368225098
74,physicochemical_volume,no_transform,train,13.244571685791016
74,physicochemical_volume,no_transform,test,10.908967018127441
75,physicochemical_volume,no_transform,train,13.237293243408203
75,physicochemical_volume,no_transform,test,10.860066413879395
76,physicochemical_volume,no_transform,train,13.230015754699707
76,physicochemical_volume,no_transform,test,10.80599594116211
77,physicochemical_volume,no_transform,train,13.22256088256836
77,physicochemical_volume,no_transform,test,10.751327514648438
78,physicochemical_volume,no_transform,train,13.21495246887207
78,physicochemical_volume,no_transform,test,10.698988914489746
79,physicochemical_volume,no_transform,train,13.207348823547363
79,physicochemical_volume,no_transform,test,10.651012420654297
80,physicochemical_volume,no_transform,train,13.19992446899414
80,physicochemical_volume,no_transform,test,10.608344078063965
81,physicochemical_volume,no_transform,train,13.19247817993164
81,physicochemical_volume,no_transform,test,10.572282791137695
82,physicochemical_volume,no_transform,train,13.184779167175293
82,physicochemical_volume,no_transform,test,10.544316291809082
83,physicochemical_volume,no_transform,train,13.176860809326172
83,physicochemical_volume,no_transform,test,10.525882720947266
84,physicochemical_volume,no_transform,train,13.16882610321045
84,physicochemical_volume,no_transform,test,10.516473770141602
85,physicochemical_volume,no_transform,train,13.160697937011719
85,physicochemical_volume,no_transform,test,10.514808654785156
86,physicochemical_volume,no_transform,train,13.152385711669922
86,physicochemical_volume,no_transform,test,10.517126083374023
87,physicochemical_volume,no_transform,train,13.143989562988281
87,physicochemical_volume,no_transform,test,10.521001815795898
88,physicochemical_volume,no_transform,train,13.135457992553711
88,physicochemical_volume,no_transform,test,10.523027420043945
89,physicochemical_volume,no_transform,train,13.126798629760742
89,physicochemical_volume,no_transform,test,10.522704124450684
90,physicochemical_volume,no_transform,train,13.117921829223633
90,physicochemical_volume,no_transform,test,10.5193452835083
91,physicochemical_volume,no_transform,train,13.10889720916748
91,physicochemical_volume,no_transform,test,10.51093578338623
92,physicochemical_volume,no_transform,train,13.099771499633789
92,physicochemical_volume,no_transform,test,10.499302864074707
93,physicochemical_volume,no_transform,train,13.090540885925293
93,physicochemical_volume,no_transform,test,10.486905097961426
94,physicochemical_volume,no_transform,train,13.081002235412598
94,physicochemical_volume,no_transform,test,10.472289085388184
95,physicochemical_volume,no_transform,train,13.071166038513184
95,physicochemical_volume,no_transform,test,10.454903602600098
96,physicochemical_volume,no_transform,train,13.06114387512207
96,physicochemical_volume,no_transform,test,10.432303428649902
97,physicochemical_volume,no_transform,train,13.050948143005371
97,physicochemical_volume,no_transform,test,10.405590057373047
98,physicochemical_volume,no_transform,train,13.040595054626465
98,physicochemical_volume,no_transform,test,10.377229690551758
99,physicochemical_volume,no_transform,train,13.029936790466309
99,physicochemical_volume,no_transform,test,10.351181983947754
100,physicochemical_volume,no_transform,train,13.01895809173584
100,physicochemical_volume,no_transform,test,10.326950073242188
