Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,bepler,no_transform,train,4724904259747840.0
1,bepler,no_transform,test,8330872365252608.0
2,bepler,no_transform,train,4724904259747840.0
2,bepler,no_transform,test,8330872365252608.0
3,bepler,no_transform,train,4724904259747840.0
3,bepler,no_transform,test,8330872365252608.0
4,bepler,no_transform,train,4724904259747840.0
4,bepler,no_transform,test,8330872365252608.0
5,bepler,no_transform,train,4724904259747840.0
5,bepler,no_transform,test,8330872365252608.0
6,bepler,no_transform,train,4724904259747840.0
6,bepler,no_transform,test,8330872365252608.0
7,bepler,no_transform,train,4724903722876928.0
7,bepler,no_transform,test,8330872365252608.0
8,bepler,no_transform,train,4724903722876928.0
8,bepler,no_transform,test,8330872365252608.0
9,bepler,no_transform,train,4724903722876928.0
9,bepler,no_transform,test,8330872365252608.0
10,bepler,no_transform,train,4724903722876928.0
10,bepler,no_transform,test,8330872365252608.0
11,bepler,no_transform,train,4724903722876928.0
11,bepler,no_transform,test,8330871828381696.0
12,bepler,no_transform,train,4724903722876928.0
12,bepler,no_transform,test,8330871828381696.0
13,bepler,no_transform,train,4724903722876928.0
13,bepler,no_transform,test,8330871828381696.0
14,bepler,no_transform,train,4724903722876928.0
14,bepler,no_transform,test,8330871828381696.0
15,bepler,no_transform,train,4724903722876928.0
15,bepler,no_transform,test,8330871828381696.0
16,bepler,no_transform,train,4724903722876928.0
16,bepler,no_transform,test,8330871828381696.0
17,bepler,no_transform,train,4724903722876928.0
17,bepler,no_transform,test,8330871828381696.0
18,bepler,no_transform,train,4724903722876928.0
18,bepler,no_transform,test,8330871828381696.0
19,bepler,no_transform,train,4724903722876928.0
19,bepler,no_transform,test,8330870754639872.0
20,bepler,no_transform,train,4724903186006016.0
20,bepler,no_transform,test,8330870754639872.0
21,bepler,no_transform,train,4724903186006016.0
21,bepler,no_transform,test,8330870754639872.0
22,bepler,no_transform,train,4724903186006016.0
22,bepler,no_transform,test,8330870754639872.0
23,bepler,no_transform,train,4724903186006016.0
23,bepler,no_transform,test,8330870754639872.0
24,bepler,no_transform,train,4724903186006016.0
24,bepler,no_transform,test,8330870754639872.0
25,bepler,no_transform,train,4724902649135104.0
25,bepler,no_transform,test,8330870754639872.0
26,bepler,no_transform,train,4724902649135104.0
26,bepler,no_transform,test,8330870754639872.0
27,bepler,no_transform,train,4724902649135104.0
27,bepler,no_transform,test,8330869680898048.0
28,bepler,no_transform,train,4724902649135104.0
28,bepler,no_transform,test,8330869680898048.0
29,bepler,no_transform,train,4724902112264192.0
29,bepler,no_transform,test,8330869680898048.0
30,bepler,no_transform,train,4724902112264192.0
30,bepler,no_transform,test,8330869680898048.0
31,bepler,no_transform,train,4724902112264192.0
31,bepler,no_transform,test,8330869680898048.0
32,bepler,no_transform,train,4724902112264192.0
32,bepler,no_transform,test,8330869680898048.0
33,bepler,no_transform,train,4724902112264192.0
33,bepler,no_transform,test,8330869680898048.0
34,bepler,no_transform,train,4724901575393280.0
34,bepler,no_transform,test,8330868607156224.0
35,bepler,no_transform,train,4724901575393280.0
35,bepler,no_transform,test,8330868607156224.0
36,bepler,no_transform,train,4724901575393280.0
36,bepler,no_transform,test,8330868607156224.0
37,bepler,no_transform,train,4724901575393280.0
37,bepler,no_transform,test,8330868607156224.0
38,bepler,no_transform,train,4724901575393280.0
38,bepler,no_transform,test,8330868607156224.0
39,bepler,no_transform,train,4724901038522368.0
39,bepler,no_transform,test,8330867533414400.0
40,bepler,no_transform,train,4724900501651456.0
40,bepler,no_transform,test,8330867533414400.0
41,bepler,no_transform,train,4724900501651456.0
41,bepler,no_transform,test,8330866459672576.0
42,bepler,no_transform,train,4724899964780544.0
42,bepler,no_transform,test,8330866459672576.0
43,bepler,no_transform,train,4724899427909632.0
43,bepler,no_transform,test,8330865922801664.0
44,bepler,no_transform,train,4724899427909632.0
44,bepler,no_transform,test,8330865922801664.0
45,bepler,no_transform,train,4724898891038720.0
45,bepler,no_transform,test,8330865385930752.0
46,bepler,no_transform,train,4724898891038720.0
46,bepler,no_transform,test,8330864312188928.0
47,bepler,no_transform,train,4724898891038720.0
47,bepler,no_transform,test,8330863238447104.0
48,bepler,no_transform,train,4724898354167808.0
48,bepler,no_transform,test,8330863238447104.0
49,bepler,no_transform,train,4724897817296896.0
49,bepler,no_transform,test,8330863238447104.0
50,bepler,no_transform,train,4724897280425984.0
50,bepler,no_transform,test,8330862701576192.0
51,bepler,no_transform,train,4724896743555072.0
51,bepler,no_transform,test,8330862164705280.0
52,bepler,no_transform,train,4724896206684160.0
52,bepler,no_transform,test,8330861090963456.0
53,bepler,no_transform,train,4724896206684160.0
53,bepler,no_transform,test,8330860017221632.0
54,bepler,no_transform,train,4724895669813248.0
54,bepler,no_transform,test,8330859480350720.0
55,bepler,no_transform,train,4724895132942336.0
55,bepler,no_transform,test,8330858943479808.0
56,bepler,no_transform,train,4724894596071424.0
56,bepler,no_transform,test,8330858943479808.0
57,bepler,no_transform,train,4724894059200512.0
57,bepler,no_transform,test,8330857332867072.0
