Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_energetic,no_transform,train,4724904259747840.0
1,fft_energetic,no_transform,test,8330873975865344.0
2,fft_energetic,no_transform,train,4724904259747840.0
2,fft_energetic,no_transform,test,8330872365252608.0
3,fft_energetic,no_transform,train,4724903722876928.0
3,fft_energetic,no_transform,test,8330870754639872.0
4,fft_energetic,no_transform,train,4724903722876928.0
4,fft_energetic,no_transform,test,8330870754639872.0
5,fft_energetic,no_transform,train,4724903722876928.0
5,fft_energetic,no_transform,test,8330870754639872.0
6,fft_energetic,no_transform,train,4724903722876928.0
6,fft_energetic,no_transform,test,8330870754639872.0
7,fft_energetic,no_transform,train,4724903186006016.0
7,fft_energetic,no_transform,test,8330870217768960.0
8,fft_energetic,no_transform,train,4724903186006016.0
8,fft_energetic,no_transform,test,8330869680898048.0
9,fft_energetic,no_transform,train,4724903186006016.0
9,fft_energetic,no_transform,test,8330869680898048.0
10,fft_energetic,no_transform,train,4724902649135104.0
10,fft_energetic,no_transform,test,8330869680898048.0
11,fft_energetic,no_transform,train,4724902649135104.0
11,fft_energetic,no_transform,test,8330869680898048.0
12,fft_energetic,no_transform,train,4724902649135104.0
12,fft_energetic,no_transform,test,8330869680898048.0
13,fft_energetic,no_transform,train,4724902649135104.0
13,fft_energetic,no_transform,test,8330869144027136.0
14,fft_energetic,no_transform,train,4724902112264192.0
14,fft_energetic,no_transform,test,8330869144027136.0
15,fft_energetic,no_transform,train,4724902112264192.0
15,fft_energetic,no_transform,test,8330868607156224.0
16,fft_energetic,no_transform,train,4724902112264192.0
16,fft_energetic,no_transform,test,8330868607156224.0
17,fft_energetic,no_transform,train,4724902112264192.0
17,fft_energetic,no_transform,test,8330868607156224.0
18,fft_energetic,no_transform,train,4724901575393280.0
18,fft_energetic,no_transform,test,8330867533414400.0
19,fft_energetic,no_transform,train,4724901575393280.0
19,fft_energetic,no_transform,test,8330867533414400.0
20,fft_energetic,no_transform,train,4724901575393280.0
20,fft_energetic,no_transform,test,8330866996543488.0
21,fft_energetic,no_transform,train,4724901575393280.0
21,fft_energetic,no_transform,test,8330866459672576.0
22,fft_energetic,no_transform,train,4724900501651456.0
22,fft_energetic,no_transform,test,8330865922801664.0
23,fft_energetic,no_transform,train,4724900501651456.0
23,fft_energetic,no_transform,test,8330865922801664.0
24,fft_energetic,no_transform,train,4724899427909632.0
24,fft_energetic,no_transform,test,8330865385930752.0
25,fft_energetic,no_transform,train,4724899427909632.0
25,fft_energetic,no_transform,test,8330864849059840.0
26,fft_energetic,no_transform,train,4724898891038720.0
26,fft_energetic,no_transform,test,8330864312188928.0
27,fft_energetic,no_transform,train,4724898891038720.0
27,fft_energetic,no_transform,test,8330863775318016.0
28,fft_energetic,no_transform,train,4724898891038720.0
28,fft_energetic,no_transform,test,8330863775318016.0
29,fft_energetic,no_transform,train,4724898354167808.0
29,fft_energetic,no_transform,test,8330862701576192.0
30,fft_energetic,no_transform,train,4724897280425984.0
30,fft_energetic,no_transform,test,8330862164705280.0
31,fft_energetic,no_transform,train,4724896743555072.0
31,fft_energetic,no_transform,test,8330861090963456.0
32,fft_energetic,no_transform,train,4724896743555072.0
32,fft_energetic,no_transform,test,8330860554092544.0
33,fft_energetic,no_transform,train,4724895669813248.0
33,fft_energetic,no_transform,test,8330860017221632.0
34,fft_energetic,no_transform,train,4724895132942336.0
34,fft_energetic,no_transform,test,8330858943479808.0
35,fft_energetic,no_transform,train,4724894596071424.0
35,fft_energetic,no_transform,test,8330857869737984.0
36,fft_energetic,no_transform,train,4724894059200512.0
36,fft_energetic,no_transform,test,8330856795996160.0
37,fft_energetic,no_transform,train,4724892985458688.0
37,fft_energetic,no_transform,test,8330855722254336.0
38,fft_energetic,no_transform,train,4724892448587776.0
38,fft_energetic,no_transform,test,8330854648512512.0
39,fft_energetic,no_transform,train,4724891911716864.0
39,fft_energetic,no_transform,test,8330853574770688.0
40,fft_energetic,no_transform,train,4724890301104128.0
40,fft_energetic,no_transform,test,8330852501028864.0
41,fft_energetic,no_transform,train,4724889764233216.0
41,fft_energetic,no_transform,test,8330851427287040.0
42,fft_energetic,no_transform,train,4724888690491392.0
42,fft_energetic,no_transform,test,8330850353545216.0
43,fft_energetic,no_transform,train,4724887616749568.0
43,fft_energetic,no_transform,test,8330848206061568.0
44,fft_energetic,no_transform,train,4724886543007744.0
44,fft_energetic,no_transform,test,8330846595448832.0
45,fft_energetic,no_transform,train,4724884932395008.0
45,fft_energetic,no_transform,test,8330843911094272.0
46,fft_energetic,no_transform,train,4724883321782272.0
46,fft_energetic,no_transform,test,8330842837352448.0
47,fft_energetic,no_transform,train,4724882248040448.0
47,fft_energetic,no_transform,test,8330840689868800.0
48,fft_energetic,no_transform,train,4724880637427712.0
48,fft_energetic,no_transform,test,8330838542385152.0
49,fft_energetic,no_transform,train,4724879563685888.0
49,fft_energetic,no_transform,test,8330835858030592.0
50,fft_energetic,no_transform,train,4724877416202240.0
50,fft_energetic,no_transform,test,8330833710546944.0
51,fft_energetic,no_transform,train,4724875805589504.0
51,fft_energetic,no_transform,test,8330831026192384.0
52,fft_energetic,no_transform,train,4724873658105856.0
52,fft_energetic,no_transform,test,8330827804966912.0
53,fft_energetic,no_transform,train,4724872047493120.0
53,fft_energetic,no_transform,test,8330824046870528.0
54,fft_energetic,no_transform,train,4724869900009472.0
54,fft_energetic,no_transform,test,8330820825645056.0
55,fft_energetic,no_transform,train,4724867752525824.0
55,fft_energetic,no_transform,test,8330817067548672.0
56,fft_energetic,no_transform,train,4724864531300352.0
56,fft_energetic,no_transform,test,8330812772581376.0
57,fft_energetic,no_transform,train,4724861846945792.0
57,fft_energetic,no_transform,test,8330808477614080.0
58,fft_energetic,no_transform,train,4724859162591232.0
58,fft_energetic,no_transform,test,8330804182646784.0
59,fft_energetic,no_transform,train,4724856478236672.0
59,fft_energetic,no_transform,test,8330799887679488.0
60,fft_energetic,no_transform,train,4724853793882112.0
60,fft_energetic,no_transform,test,8330795592712192.0
61,fft_energetic,no_transform,train,4724851109527552.0
61,fft_energetic,no_transform,test,8330791297744896.0
62,fft_energetic,no_transform,train,4724847888302080.0
62,fft_energetic,no_transform,test,8330785929035776.0
63,fft_energetic,no_transform,train,4724844667076608.0
63,fft_energetic,no_transform,test,8330782707810304.0
64,fft_energetic,no_transform,train,4724841445851136.0
64,fft_energetic,no_transform,test,8330778412843008.0
65,fft_energetic,no_transform,train,4724837687754752.0
65,fft_energetic,no_transform,test,8330772507262976.0
66,fft_energetic,no_transform,train,4724833929658368.0
66,fft_energetic,no_transform,test,8330768212295680.0
67,fft_energetic,no_transform,train,4724829634691072.0
67,fft_energetic,no_transform,test,8330762306715648.0
68,fft_energetic,no_transform,train,4724826413465600.0
68,fft_energetic,no_transform,test,8330757474877440.0
69,fft_energetic,no_transform,train,4724822655369216.0
69,fft_energetic,no_transform,test,8330751032426496.0
70,fft_energetic,no_transform,train,4724817823531008.0
70,fft_energetic,no_transform,test,8330745126846464.0
71,fft_energetic,no_transform,train,4724813528563712.0
71,fft_energetic,no_transform,test,8330740295008256.0
72,fft_energetic,no_transform,train,4724808696725504.0
72,fft_energetic,no_transform,test,8330733315686400.0
73,fft_energetic,no_transform,train,4724804401758208.0
73,fft_energetic,no_transform,test,8330725799493632.0
74,fft_energetic,no_transform,train,4724799033049088.0
74,fft_energetic,no_transform,test,8330719357042688.0
75,fft_energetic,no_transform,train,4724794201210880.0
75,fft_energetic,no_transform,test,8330711840849920.0
76,fft_energetic,no_transform,train,4724788295630848.0
76,fft_energetic,no_transform,test,8330705398398976.0
77,fft_energetic,no_transform,train,4724782926921728.0
77,fft_energetic,no_transform,test,8330697882206208.0
78,fft_energetic,no_transform,train,4724777021341696.0
78,fft_energetic,no_transform,test,8330688755400704.0
79,fft_energetic,no_transform,train,4724771115761664.0
79,fft_energetic,no_transform,test,8330680702337024.0
80,fft_energetic,no_transform,train,4724765210181632.0
80,fft_energetic,no_transform,test,8330672649273344.0
