Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_index,no_transform,train,4724904259747840.0
1,fft_index,no_transform,test,8330877197090816.0
2,fft_index,no_transform,train,4724903722876928.0
2,fft_index,no_transform,test,8330871291510784.0
3,fft_index,no_transform,train,4724903186006016.0
3,fft_index,no_transform,test,8330870754639872.0
4,fft_index,no_transform,train,4724902649135104.0
4,fft_index,no_transform,test,8330870217768960.0
5,fft_index,no_transform,train,4724902649135104.0
5,fft_index,no_transform,test,8330869680898048.0
6,fft_index,no_transform,train,4724902649135104.0
6,fft_index,no_transform,test,8330868607156224.0
7,fft_index,no_transform,train,4724902112264192.0
7,fft_index,no_transform,test,8330868070285312.0
8,fft_index,no_transform,train,4724902112264192.0
8,fft_index,no_transform,test,8330867533414400.0
9,fft_index,no_transform,train,4724901575393280.0
9,fft_index,no_transform,test,8330867533414400.0
10,fft_index,no_transform,train,4724901575393280.0
10,fft_index,no_transform,test,8330866459672576.0
11,fft_index,no_transform,train,4724901575393280.0
11,fft_index,no_transform,test,8330865922801664.0
12,fft_index,no_transform,train,4724900501651456.0
12,fft_index,no_transform,test,8330865385930752.0
13,fft_index,no_transform,train,4724900501651456.0
13,fft_index,no_transform,test,8330864312188928.0
14,fft_index,no_transform,train,4724899964780544.0
14,fft_index,no_transform,test,8330863775318016.0
15,fft_index,no_transform,train,4724899427909632.0
15,fft_index,no_transform,test,8330863238447104.0
16,fft_index,no_transform,train,4724898891038720.0
16,fft_index,no_transform,test,8330862164705280.0
17,fft_index,no_transform,train,4724898891038720.0
17,fft_index,no_transform,test,8330861627834368.0
18,fft_index,no_transform,train,4724898891038720.0
18,fft_index,no_transform,test,8330861090963456.0
19,fft_index,no_transform,train,4724897817296896.0
19,fft_index,no_transform,test,8330860017221632.0
20,fft_index,no_transform,train,4724896743555072.0
20,fft_index,no_transform,test,8330860017221632.0
21,fft_index,no_transform,train,4724896743555072.0
21,fft_index,no_transform,test,8330858406608896.0
22,fft_index,no_transform,train,4724895669813248.0
22,fft_index,no_transform,test,8330857869737984.0
23,fft_index,no_transform,train,4724895132942336.0
23,fft_index,no_transform,test,8330857332867072.0
24,fft_index,no_transform,train,4724895132942336.0
24,fft_index,no_transform,test,8330856795996160.0
25,fft_index,no_transform,train,4724894059200512.0
25,fft_index,no_transform,test,8330855185383424.0
26,fft_index,no_transform,train,4724892985458688.0
26,fft_index,no_transform,test,8330854648512512.0
27,fft_index,no_transform,train,4724892985458688.0
27,fft_index,no_transform,test,8330853037899776.0
28,fft_index,no_transform,train,4724892448587776.0
28,fft_index,no_transform,test,8330851427287040.0
29,fft_index,no_transform,train,4724890301104128.0
29,fft_index,no_transform,test,8330851427287040.0
30,fft_index,no_transform,train,4724889764233216.0
30,fft_index,no_transform,test,8330850353545216.0
31,fft_index,no_transform,train,4724889227362304.0
31,fft_index,no_transform,test,8330848206061568.0
32,fft_index,no_transform,train,4724888153620480.0
32,fft_index,no_transform,test,8330847132319744.0
33,fft_index,no_transform,train,4724886543007744.0
33,fft_index,no_transform,test,8330846058577920.0
34,fft_index,no_transform,train,4724886006136832.0
34,fft_index,no_transform,test,8330843911094272.0
35,fft_index,no_transform,train,4724884932395008.0
35,fft_index,no_transform,test,8330842300481536.0
36,fft_index,no_transform,train,4724883321782272.0
36,fft_index,no_transform,test,8330840689868800.0
37,fft_index,no_transform,train,4724882248040448.0
37,fft_index,no_transform,test,8330839079256064.0
38,fft_index,no_transform,train,4724880100556800.0
38,fft_index,no_transform,test,8330836394901504.0
39,fft_index,no_transform,train,4724879026814976.0
39,fft_index,no_transform,test,8330835321159680.0
40,fft_index,no_transform,train,4724877416202240.0
40,fft_index,no_transform,test,8330833710546944.0
41,fft_index,no_transform,train,4724876342460416.0
41,fft_index,no_transform,test,8330831026192384.0
42,fft_index,no_transform,train,4724874731847680.0
42,fft_index,no_transform,test,8330828878708736.0
43,fft_index,no_transform,train,4724873121234944.0
43,fft_index,no_transform,test,8330825657483264.0
44,fft_index,no_transform,train,4724870973751296.0
44,fft_index,no_transform,test,8330823509999616.0
45,fft_index,no_transform,train,4724869363138560.0
45,fft_index,no_transform,test,8330821362515968.0
46,fft_index,no_transform,train,4724867752525824.0
46,fft_index,no_transform,test,8330819215032320.0
47,fft_index,no_transform,train,4724864531300352.0
47,fft_index,no_transform,test,8330815456935936.0
48,fft_index,no_transform,train,4724862920687616.0
48,fft_index,no_transform,test,8330812772581376.0
49,fft_index,no_transform,train,4724860236333056.0
49,fft_index,no_transform,test,8330810625097728.0
50,fft_index,no_transform,train,4724858088849408.0
50,fft_index,no_transform,test,8330805793259520.0
51,fft_index,no_transform,train,4724855404494848.0
51,fft_index,no_transform,test,8330803108904960.0
52,fft_index,no_transform,train,4724853257011200.0
52,fft_index,no_transform,test,8330798813937664.0
53,fft_index,no_transform,train,4724850035785728.0
53,fft_index,no_transform,test,8330795055841280.0
54,fft_index,no_transform,train,4724847351431168.0
54,fft_index,no_transform,test,8330791297744896.0
55,fft_index,no_transform,train,4724843593334784.0
55,fft_index,no_transform,test,8330786465906688.0
56,fft_index,no_transform,train,4724840908980224.0
56,fft_index,no_transform,test,8330782170939392.0
57,fft_index,no_transform,train,4724837687754752.0
57,fft_index,no_transform,test,8330777875972096.0
58,fft_index,no_transform,train,4724833929658368.0
58,fft_index,no_transform,test,8330773044133888.0
59,fft_index,no_transform,train,4724830171561984.0
59,fft_index,no_transform,test,8330768212295680.0
60,fft_index,no_transform,train,4724826413465600.0
60,fft_index,no_transform,test,8330762306715648.0
61,fft_index,no_transform,train,4724823192240128.0
61,fft_index,no_transform,test,8330758011748352.0
62,fft_index,no_transform,train,4724818897272832.0
62,fft_index,no_transform,test,8330752106168320.0
63,fft_index,no_transform,train,4724814602305536.0
63,fft_index,no_transform,test,8330746200588288.0
64,fft_index,no_transform,train,4724810844209152.0
64,fft_index,no_transform,test,8330740831879168.0
65,fft_index,no_transform,train,4724806012370944.0
65,fft_index,no_transform,test,8330734389428224.0
66,fft_index,no_transform,train,4724801717403648.0
66,fft_index,no_transform,test,8330727946977280.0
67,fft_index,no_transform,train,4724796885565440.0
67,fft_index,no_transform,test,8330720430784512.0
68,fft_index,no_transform,train,4724792053727232.0
68,fft_index,no_transform,test,8330713451462656.0
69,fft_index,no_transform,train,4724786685018112.0
