Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_secondary_structure,no_transform,train,4724904259747840.0
1,fft_secondary_structure,no_transform,test,8330880955187200.0
2,fft_secondary_structure,no_transform,train,4724903186006016.0
2,fft_secondary_structure,no_transform,test,8330872902123520.0
3,fft_secondary_structure,no_transform,train,4724903186006016.0
3,fft_secondary_structure,no_transform,test,8330870754639872.0
4,fft_secondary_structure,no_transform,train,4724902649135104.0
4,fft_secondary_structure,no_transform,test,8330869680898048.0
5,fft_secondary_structure,no_transform,train,4724902649135104.0
5,fft_secondary_structure,no_transform,test,8330869680898048.0
6,fft_secondary_structure,no_transform,train,4724902112264192.0
6,fft_secondary_structure,no_transform,test,8330868607156224.0
7,fft_secondary_structure,no_transform,train,4724902112264192.0
7,fft_secondary_structure,no_transform,test,8330867533414400.0
8,fft_secondary_structure,no_transform,train,4724902112264192.0
8,fft_secondary_structure,no_transform,test,8330867533414400.0
9,fft_secondary_structure,no_transform,train,4724901575393280.0
9,fft_secondary_structure,no_transform,test,8330866459672576.0
10,fft_secondary_structure,no_transform,train,4724901575393280.0
10,fft_secondary_structure,no_transform,test,8330865385930752.0
11,fft_secondary_structure,no_transform,train,4724900501651456.0
11,fft_secondary_structure,no_transform,test,8330865385930752.0
12,fft_secondary_structure,no_transform,train,4724899964780544.0
12,fft_secondary_structure,no_transform,test,8330864312188928.0
13,fft_secondary_structure,no_transform,train,4724899427909632.0
13,fft_secondary_structure,no_transform,test,8330863775318016.0
14,fft_secondary_structure,no_transform,train,4724899427909632.0
14,fft_secondary_structure,no_transform,test,8330862701576192.0
15,fft_secondary_structure,no_transform,train,4724898891038720.0
15,fft_secondary_structure,no_transform,test,8330861627834368.0
16,fft_secondary_structure,no_transform,train,4724898891038720.0
16,fft_secondary_structure,no_transform,test,8330861090963456.0
17,fft_secondary_structure,no_transform,train,4724897817296896.0
17,fft_secondary_structure,no_transform,test,8330860554092544.0
18,fft_secondary_structure,no_transform,train,4724897280425984.0
18,fft_secondary_structure,no_transform,test,8330858943479808.0
19,fft_secondary_structure,no_transform,train,4724896206684160.0
19,fft_secondary_structure,no_transform,test,8330858406608896.0
20,fft_secondary_structure,no_transform,train,4724895669813248.0
20,fft_secondary_structure,no_transform,test,8330857869737984.0
21,fft_secondary_structure,no_transform,train,4724895669813248.0
21,fft_secondary_structure,no_transform,test,8330856795996160.0
22,fft_secondary_structure,no_transform,train,4724895132942336.0
22,fft_secondary_structure,no_transform,test,8330855722254336.0
23,fft_secondary_structure,no_transform,train,4724894059200512.0
23,fft_secondary_structure,no_transform,test,8330855722254336.0
24,fft_secondary_structure,no_transform,train,4724893522329600.0
24,fft_secondary_structure,no_transform,test,8330854648512512.0
25,fft_secondary_structure,no_transform,train,4724892985458688.0
25,fft_secondary_structure,no_transform,test,8330853574770688.0
26,fft_secondary_structure,no_transform,train,4724891911716864.0
26,fft_secondary_structure,no_transform,test,8330852501028864.0
27,fft_secondary_structure,no_transform,train,4724891374845952.0
27,fft_secondary_structure,no_transform,test,8330851427287040.0
28,fft_secondary_structure,no_transform,train,4724890301104128.0
28,fft_secondary_structure,no_transform,test,8330850353545216.0
29,fft_secondary_structure,no_transform,train,4724889764233216.0
29,fft_secondary_structure,no_transform,test,8330849279803392.0
30,fft_secondary_structure,no_transform,train,4724888690491392.0
30,fft_secondary_structure,no_transform,test,8330847132319744.0
31,fft_secondary_structure,no_transform,train,4724887616749568.0
31,fft_secondary_structure,no_transform,test,8330847132319744.0
32,fft_secondary_structure,no_transform,train,4724886543007744.0
32,fft_secondary_structure,no_transform,test,8330846058577920.0
33,fft_secondary_structure,no_transform,train,4724885469265920.0
33,fft_secondary_structure,no_transform,test,8330844447965184.0
34,fft_secondary_structure,no_transform,train,4724883858653184.0
34,fft_secondary_structure,no_transform,test,8330843374223360.0
35,fft_secondary_structure,no_transform,train,4724883321782272.0
35,fft_secondary_structure,no_transform,test,8330841226739712.0
36,fft_secondary_structure,no_transform,train,4724882248040448.0
36,fft_secondary_structure,no_transform,test,8330840152997888.0
37,fft_secondary_structure,no_transform,train,4724880637427712.0
37,fft_secondary_structure,no_transform,test,8330838005514240.0
38,fft_secondary_structure,no_transform,train,4724879563685888.0
38,fft_secondary_structure,no_transform,test,8330835858030592.0
39,fft_secondary_structure,no_transform,train,4724877416202240.0
39,fft_secondary_structure,no_transform,test,8330835321159680.0
40,fft_secondary_structure,no_transform,train,4724876879331328.0
40,fft_secondary_structure,no_transform,test,8330832099934208.0
41,fft_secondary_structure,no_transform,train,4724874731847680.0
41,fft_secondary_structure,no_transform,test,8330831026192384.0
42,fft_secondary_structure,no_transform,train,4724873658105856.0
42,fft_secondary_structure,no_transform,test,8330828878708736.0
43,fft_secondary_structure,no_transform,train,4724870973751296.0
43,fft_secondary_structure,no_transform,test,8330826731225088.0
44,fft_secondary_structure,no_transform,train,4724869900009472.0
44,fft_secondary_structure,no_transform,test,8330824583741440.0
45,fft_secondary_structure,no_transform,train,4724867752525824.0
45,fft_secondary_structure,no_transform,test,8330822436257792.0
46,fft_secondary_structure,no_transform,train,4724865605042176.0
46,fft_secondary_structure,no_transform,test,8330819751903232.0
47,fft_secondary_structure,no_transform,train,4724863994429440.0
47,fft_secondary_structure,no_transform,test,8330817067548672.0
48,fft_secondary_structure,no_transform,train,4724861310074880.0
48,fft_secondary_structure,no_transform,test,8330813846323200.0
49,fft_secondary_structure,no_transform,train,4724859162591232.0
49,fft_secondary_structure,no_transform,test,8330811161968640.0
50,fft_secondary_structure,no_transform,train,4724857015107584.0
50,fft_secondary_structure,no_transform,test,8330808477614080.0
51,fft_secondary_structure,no_transform,train,4724854867623936.0
51,fft_secondary_structure,no_transform,test,8330805256388608.0
52,fft_secondary_structure,no_transform,train,4724851646398464.0
52,fft_secondary_structure,no_transform,test,8330802035163136.0
53,fft_secondary_structure,no_transform,train,4724848962043904.0
53,fft_secondary_structure,no_transform,test,8330797740195840.0
54,fft_secondary_structure,no_transform,train,4724846277689344.0
54,fft_secondary_structure,no_transform,test,8330794518970368.0
55,fft_secondary_structure,no_transform,train,4724843593334784.0
55,fft_secondary_structure,no_transform,test,8330789687132160.0
56,fft_secondary_structure,no_transform,train,4724839835238400.0
56,fft_secondary_structure,no_transform,test,8330784855293952.0
57,fft_secondary_structure,no_transform,train,4724837150883840.0
57,fft_secondary_structure,no_transform,test,8330781634068480.0
58,fft_secondary_structure,no_transform,train,4724833929658368.0
58,fft_secondary_structure,no_transform,test,8330776265359360.0
59,fft_secondary_structure,no_transform,train,4724830708432896.0
59,fft_secondary_structure,no_transform,test,8330771970392064.0
60,fft_secondary_structure,no_transform,train,4724826950336512.0
60,fft_secondary_structure,no_transform,test,8330767675424768.0
61,fft_secondary_structure,no_transform,train,4724823192240128.0
61,fft_secondary_structure,no_transform,test,8330763380457472.0
62,fft_secondary_structure,no_transform,train,4724818897272832.0
62,fft_secondary_structure,no_transform,test,8330758011748352.0
63,fft_secondary_structure,no_transform,train,4724815139176448.0
63,fft_secondary_structure,no_transform,test,8330751569297408.0
64,fft_secondary_structure,no_transform,train,4724810844209152.0
64,fft_secondary_structure,no_transform,test,8330746200588288.0
65,fft_secondary_structure,no_transform,train,4724807086112768.0
65,fft_secondary_structure,no_transform,test,8330739758137344.0
66,fft_secondary_structure,no_transform,train,4724802254274560.0
66,fft_secondary_structure,no_transform,test,8330734389428224.0
