Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_volume,no_transform,train,4724904259747840.0
1,fft_volume,no_transform,test,8330872365252608.0
2,fft_volume,no_transform,train,4724904259747840.0
2,fft_volume,no_transform,test,8330872365252608.0
3,fft_volume,no_transform,train,4724904259747840.0
3,fft_volume,no_transform,test,8330872365252608.0
4,fft_volume,no_transform,train,4724904259747840.0
4,fft_volume,no_transform,test,8330872365252608.0
5,fft_volume,no_transform,train,4724904259747840.0
5,fft_volume,no_transform,test,8330872365252608.0
6,fft_volume,no_transform,train,4724904259747840.0
6,fft_volume,no_transform,test,8330872365252608.0
7,fft_volume,no_transform,train,4724904259747840.0
7,fft_volume,no_transform,test,8330872365252608.0
8,fft_volume,no_transform,train,4724904259747840.0
8,fft_volume,no_transform,test,8330871828381696.0
9,fft_volume,no_transform,train,4724903722876928.0
9,fft_volume,no_transform,test,8330871828381696.0
10,fft_volume,no_transform,train,4724903722876928.0
10,fft_volume,no_transform,test,8330871828381696.0
11,fft_volume,no_transform,train,4724903722876928.0
11,fft_volume,no_transform,test,8330870754639872.0
12,fft_volume,no_transform,train,4724903722876928.0
12,fft_volume,no_transform,test,8330870754639872.0
13,fft_volume,no_transform,train,4724903186006016.0
13,fft_volume,no_transform,test,8330870754639872.0
14,fft_volume,no_transform,train,4724903186006016.0
14,fft_volume,no_transform,test,8330870754639872.0
15,fft_volume,no_transform,train,4724903186006016.0
15,fft_volume,no_transform,test,8330870754639872.0
16,fft_volume,no_transform,train,4724903186006016.0
16,fft_volume,no_transform,test,8330870217768960.0
17,fft_volume,no_transform,train,4724903186006016.0
17,fft_volume,no_transform,test,8330869680898048.0
18,fft_volume,no_transform,train,4724902649135104.0
18,fft_volume,no_transform,test,8330869680898048.0
19,fft_volume,no_transform,train,4724902649135104.0
19,fft_volume,no_transform,test,8330869680898048.0
20,fft_volume,no_transform,train,4724902649135104.0
20,fft_volume,no_transform,test,8330869680898048.0
21,fft_volume,no_transform,train,4724902112264192.0
21,fft_volume,no_transform,test,8330869680898048.0
22,fft_volume,no_transform,train,4724902112264192.0
22,fft_volume,no_transform,test,8330869680898048.0
23,fft_volume,no_transform,train,4724902112264192.0
23,fft_volume,no_transform,test,8330868607156224.0
24,fft_volume,no_transform,train,4724902112264192.0
24,fft_volume,no_transform,test,8330868607156224.0
25,fft_volume,no_transform,train,4724901575393280.0
25,fft_volume,no_transform,test,8330867533414400.0
26,fft_volume,no_transform,train,4724901575393280.0
26,fft_volume,no_transform,test,8330867533414400.0
27,fft_volume,no_transform,train,4724900501651456.0
27,fft_volume,no_transform,test,8330867533414400.0
28,fft_volume,no_transform,train,4724900501651456.0
28,fft_volume,no_transform,test,8330866996543488.0
29,fft_volume,no_transform,train,4724899964780544.0
29,fft_volume,no_transform,test,8330866459672576.0
30,fft_volume,no_transform,train,4724899427909632.0
30,fft_volume,no_transform,test,8330864849059840.0
31,fft_volume,no_transform,train,4724898891038720.0
31,fft_volume,no_transform,test,8330864849059840.0
32,fft_volume,no_transform,train,4724898891038720.0
32,fft_volume,no_transform,test,8330864312188928.0
33,fft_volume,no_transform,train,4724897817296896.0
33,fft_volume,no_transform,test,8330863238447104.0
34,fft_volume,no_transform,train,4724897817296896.0
34,fft_volume,no_transform,test,8330862701576192.0
35,fft_volume,no_transform,train,4724896743555072.0
35,fft_volume,no_transform,test,8330861090963456.0
36,fft_volume,no_transform,train,4724895669813248.0
36,fft_volume,no_transform,test,8330860017221632.0
37,fft_volume,no_transform,train,4724895669813248.0
37,fft_volume,no_transform,test,8330858943479808.0
38,fft_volume,no_transform,train,4724895132942336.0
38,fft_volume,no_transform,test,8330858943479808.0
39,fft_volume,no_transform,train,4724894059200512.0
39,fft_volume,no_transform,test,8330857332867072.0
40,fft_volume,no_transform,train,4724892985458688.0
40,fft_volume,no_transform,test,8330855722254336.0
41,fft_volume,no_transform,train,4724892448587776.0
41,fft_volume,no_transform,test,8330854648512512.0
42,fft_volume,no_transform,train,4724891374845952.0
42,fft_volume,no_transform,test,8330853574770688.0
43,fft_volume,no_transform,train,4724889764233216.0
43,fft_volume,no_transform,test,8330851427287040.0
44,fft_volume,no_transform,train,4724888690491392.0
44,fft_volume,no_transform,test,8330850353545216.0
45,fft_volume,no_transform,train,4724887616749568.0
45,fft_volume,no_transform,test,8330848742932480.0
46,fft_volume,no_transform,train,4724886543007744.0
46,fft_volume,no_transform,test,8330847132319744.0
47,fft_volume,no_transform,train,4724884932395008.0
47,fft_volume,no_transform,test,8330844984836096.0
48,fft_volume,no_transform,train,4724883321782272.0
48,fft_volume,no_transform,test,8330842300481536.0
49,fft_volume,no_transform,train,4724882248040448.0
49,fft_volume,no_transform,test,8330840152997888.0
50,fft_volume,no_transform,train,4724880100556800.0
50,fft_volume,no_transform,test,8330837468643328.0
51,fft_volume,no_transform,train,4724878489944064.0
51,fft_volume,no_transform,test,8330834784288768.0
52,fft_volume,no_transform,train,4724876879331328.0
52,fft_volume,no_transform,test,8330832099934208.0
53,fft_volume,no_transform,train,4724874731847680.0
53,fft_volume,no_transform,test,8330828878708736.0
54,fft_volume,no_transform,train,4724873121234944.0
54,fft_volume,no_transform,test,8330825657483264.0
55,fft_volume,no_transform,train,4724870436880384.0
55,fft_volume,no_transform,test,8330822436257792.0
56,fft_volume,no_transform,train,4724868289396736.0
56,fft_volume,no_transform,test,8330819215032320.0
57,fft_volume,no_transform,train,4724865605042176.0
57,fft_volume,no_transform,test,8330815993806848.0
58,fft_volume,no_transform,train,4724862920687616.0
58,fft_volume,no_transform,test,8330812235710464.0
59,fft_volume,no_transform,train,4724860236333056.0
59,fft_volume,no_transform,test,8330807403872256.0
60,fft_volume,no_transform,train,4724858088849408.0
60,fft_volume,no_transform,test,8330804182646784.0
61,fft_volume,no_transform,train,4724854867623936.0
61,fft_volume,no_transform,test,8330799350808576.0
62,fft_volume,no_transform,train,4724851646398464.0
62,fft_volume,no_transform,test,8330795592712192.0
63,fft_volume,no_transform,train,4724848425172992.0
63,fft_volume,no_transform,test,8330790760873984.0
64,fft_volume,no_transform,train,4724845203947520.0
64,fft_volume,no_transform,test,8330785929035776.0
65,fft_volume,no_transform,train,4724841982722048.0
65,fft_volume,no_transform,test,8330781097197568.0
66,fft_volume,no_transform,train,4724838224625664.0
66,fft_volume,no_transform,test,8330776265359360.0
67,fft_volume,no_transform,train,4724834466529280.0
67,fft_volume,no_transform,test,8330770896650240.0
68,fft_volume,no_transform,train,4724829634691072.0
68,fft_volume,no_transform,test,8330764991070208.0
69,fft_volume,no_transform,train,4724826413465600.0
69,fft_volume,no_transform,test,8330759085490176.0
70,fft_volume,no_transform,train,4724821581627392.0
70,fft_volume,no_transform,test,8330753716781056.0
71,fft_volume,no_transform,train,4724817286660096.0
71,fft_volume,no_transform,test,8330746200588288.0
72,fft_volume,no_transform,train,4724812454821888.0
72,fft_volume,no_transform,test,8330740295008256.0
73,fft_volume,no_transform,train,4724807622983680.0
73,fft_volume,no_transform,test,8330734389428224.0
74,fft_volume,no_transform,train,4724803328016384.0
74,fft_volume,no_transform,test,8330726873235456.0
75,fft_volume,no_transform,train,4724797959307264.0
75,fft_volume,no_transform,test,8330720430784512.0
76,fft_volume,no_transform,train,4724792590598144.0
76,fft_volume,no_transform,test,8330712914591744.0
77,fft_volume,no_transform,train,4724787758759936.0
77,fft_volume,no_transform,test,8330704324657152.0
78,fft_volume,no_transform,train,4724781853179904.0
78,fft_volume,no_transform,test,8330697882206208.0
79,fft_volume,no_transform,train,4724775947599872.0
79,fft_volume,no_transform,test,8330689292271616.0
80,fft_volume,no_transform,train,4724770042019840.0
80,fft_volume,no_transform,test,8330681776078848.0
81,fft_volume,no_transform,train,4724763599568896.0
81,fft_volume,no_transform,test,8330673186144256.0
82,fft_volume,no_transform,train,4724757157117952.0
82,fft_volume,no_transform,test,8330664059338752.0
83,fft_volume,no_transform,train,4724750714667008.0
83,fft_volume,no_transform,test,8330654932533248.0
84,fft_volume,no_transform,train,4724744272216064.0
84,fft_volume,no_transform,test,8330645268856832.0
85,fft_volume,no_transform,train,4724737292894208.0
85,fft_volume,no_transform,test,8330637215793152.0
86,fft_volume,no_transform,train,4724729776701440.0
86,fft_volume,no_transform,test,8330627015245824.0
87,fft_volume,no_transform,train,4724722260508672.0
87,fft_volume,no_transform,test,8330617351569408.0
88,fft_volume,no_transform,train,4724715281186816.0
88,fft_volume,no_transform,test,8330606614151168.0
89,fft_volume,no_transform,train,4724707228123136.0
89,fft_volume,no_transform,test,8330595876732928.0
90,fft_volume,no_transform,train,4724699175059456.0
90,fft_volume,no_transform,test,8330587286798336.0
91,fft_volume,no_transform,train,4724690585124864.0
91,fft_volume,no_transform,test,8330574401896448.0
92,fft_volume,no_transform,train,4724682532061184.0
92,fft_volume,no_transform,test,8330564738220032.0
93,fft_volume,no_transform,train,4724673942126592.0
93,fft_volume,no_transform,test,8330552927059968.0
94,fft_volume,no_transform,train,4724665352192000.0
94,fft_volume,no_transform,test,8330540579028992.0
95,fft_volume,no_transform,train,4724655688515584.0
95,fft_volume,no_transform,test,8330530378481664.0
96,fft_volume,no_transform,train,4724646561710080.0
96,fft_volume,no_transform,test,8330516419837952.0
97,fft_volume,no_transform,train,4724636898033664.0
97,fft_volume,no_transform,test,8330504608677888.0
98,fft_volume,no_transform,train,4724627234357248.0
98,fft_volume,no_transform,test,8330492797517824.0
99,fft_volume,no_transform,train,4724616496939008.0
99,fft_volume,no_transform,test,8330477765132288.0
100,fft_volume,no_transform,train,4724605759520768.0
100,fft_volume,no_transform,test,8330465417101312.0
