Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,glove,no_transform,train,4724904259747840.0
1,glove,no_transform,test,8330872365252608.0
2,glove,no_transform,train,4724904259747840.0
2,glove,no_transform,test,8330872365252608.0
3,glove,no_transform,train,4724904259747840.0
3,glove,no_transform,test,8330872365252608.0
4,glove,no_transform,train,4724904259747840.0
4,glove,no_transform,test,8330872365252608.0
5,glove,no_transform,train,4724904259747840.0
5,glove,no_transform,test,8330872365252608.0
6,glove,no_transform,train,4724903722876928.0
6,glove,no_transform,test,8330872365252608.0
7,glove,no_transform,train,4724903722876928.0
7,glove,no_transform,test,8330872365252608.0
8,glove,no_transform,train,4724903722876928.0
8,glove,no_transform,test,8330872365252608.0
9,glove,no_transform,train,4724903186006016.0
9,glove,no_transform,test,8330872365252608.0
10,glove,no_transform,train,4724903186006016.0
10,glove,no_transform,test,8330872365252608.0
11,glove,no_transform,train,4724903186006016.0
11,glove,no_transform,test,8330871828381696.0
12,glove,no_transform,train,4724903186006016.0
12,glove,no_transform,test,8330871828381696.0
13,glove,no_transform,train,4724903186006016.0
13,glove,no_transform,test,8330871828381696.0
14,glove,no_transform,train,4724903186006016.0
14,glove,no_transform,test,8330871828381696.0
15,glove,no_transform,train,4724902649135104.0
15,glove,no_transform,test,8330870754639872.0
16,glove,no_transform,train,4724902649135104.0
16,glove,no_transform,test,8330870754639872.0
17,glove,no_transform,train,4724902649135104.0
17,glove,no_transform,test,8330870754639872.0
18,glove,no_transform,train,4724902112264192.0
18,glove,no_transform,test,8330870754639872.0
19,glove,no_transform,train,4724902112264192.0
19,glove,no_transform,test,8330870217768960.0
20,glove,no_transform,train,4724902112264192.0
20,glove,no_transform,test,8330869680898048.0
21,glove,no_transform,train,4724902112264192.0
21,glove,no_transform,test,8330869680898048.0
22,glove,no_transform,train,4724901575393280.0
22,glove,no_transform,test,8330869680898048.0
23,glove,no_transform,train,4724901575393280.0
23,glove,no_transform,test,8330868607156224.0
24,glove,no_transform,train,4724901038522368.0
24,glove,no_transform,test,8330868607156224.0
25,glove,no_transform,train,4724901038522368.0
25,glove,no_transform,test,8330868607156224.0
26,glove,no_transform,train,4724900501651456.0
26,glove,no_transform,test,8330868070285312.0
27,glove,no_transform,train,4724899964780544.0
27,glove,no_transform,test,8330866996543488.0
28,glove,no_transform,train,4724899427909632.0
28,glove,no_transform,test,8330866459672576.0
29,glove,no_transform,train,4724899427909632.0
29,glove,no_transform,test,8330865922801664.0
30,glove,no_transform,train,4724898891038720.0
30,glove,no_transform,test,8330865385930752.0
31,glove,no_transform,train,4724898354167808.0
31,glove,no_transform,test,8330864849059840.0
32,glove,no_transform,train,4724897817296896.0
32,glove,no_transform,test,8330863238447104.0
33,glove,no_transform,train,4724897280425984.0
33,glove,no_transform,test,8330863238447104.0
34,glove,no_transform,train,4724896743555072.0
34,glove,no_transform,test,8330862701576192.0
35,glove,no_transform,train,4724895669813248.0
35,glove,no_transform,test,8330861090963456.0
36,glove,no_transform,train,4724895669813248.0
36,glove,no_transform,test,8330860017221632.0
37,glove,no_transform,train,4724895132942336.0
37,glove,no_transform,test,8330859480350720.0
38,glove,no_transform,train,4724894059200512.0
38,glove,no_transform,test,8330858943479808.0
39,glove,no_transform,train,4724892985458688.0
39,glove,no_transform,test,8330856795996160.0
40,glove,no_transform,train,4724892448587776.0
40,glove,no_transform,test,8330855722254336.0
41,glove,no_transform,train,4724891374845952.0
41,glove,no_transform,test,8330854111641600.0
42,glove,no_transform,train,4724890301104128.0
42,glove,no_transform,test,8330852501028864.0
43,glove,no_transform,train,4724889764233216.0
43,glove,no_transform,test,8330850890416128.0
44,glove,no_transform,train,4724888690491392.0
44,glove,no_transform,test,8330850353545216.0
45,glove,no_transform,train,4724887079878656.0
45,glove,no_transform,test,8330847132319744.0
46,glove,no_transform,train,4724886543007744.0
46,glove,no_transform,test,8330844447965184.0
47,glove,no_transform,train,4724884932395008.0
47,glove,no_transform,test,8330843911094272.0
48,glove,no_transform,train,4724883321782272.0
48,glove,no_transform,test,8330841226739712.0
49,glove,no_transform,train,4724881174298624.0
49,glove,no_transform,test,8330838542385152.0
50,glove,no_transform,train,4724880100556800.0
50,glove,no_transform,test,8330836394901504.0
51,glove,no_transform,train,4724878489944064.0
51,glove,no_transform,test,8330833173676032.0
52,glove,no_transform,train,4724876879331328.0
52,glove,no_transform,test,8330829952450560.0
53,glove,no_transform,train,4724874731847680.0
53,glove,no_transform,test,8330827804966912.0
54,glove,no_transform,train,4724872584364032.0
54,glove,no_transform,test,8330824583741440.0
55,glove,no_transform,train,4724870973751296.0
55,glove,no_transform,test,8330820825645056.0
56,glove,no_transform,train,4724868289396736.0
56,glove,no_transform,test,8330817067548672.0
57,glove,no_transform,train,4724866141913088.0
57,glove,no_transform,test,8330813846323200.0
58,glove,no_transform,train,4724863994429440.0
58,glove,no_transform,test,8330809551355904.0
59,glove,no_transform,train,4724861310074880.0
59,glove,no_transform,test,8330805256388608.0
60,glove,no_transform,train,4724858088849408.0
60,glove,no_transform,test,8330801498292224.0
61,glove,no_transform,train,4724855941365760.0
61,glove,no_transform,test,8330797740195840.0
62,glove,no_transform,train,4724852720140288.0
62,glove,no_transform,test,8330791297744896.0
63,glove,no_transform,train,4724850035785728.0
63,glove,no_transform,test,8330787539648512.0
64,glove,no_transform,train,4724846277689344.0
64,glove,no_transform,test,8330782707810304.0
65,glove,no_transform,train,4724843056463872.0
65,glove,no_transform,test,8330775191617536.0
66,glove,no_transform,train,4724839835238400.0
66,glove,no_transform,test,8330770896650240.0
67,glove,no_transform,train,4724836077142016.0
67,glove,no_transform,test,8330766064812032.0
68,glove,no_transform,train,4724832319045632.0
68,glove,no_transform,test,8330758011748352.0
69,glove,no_transform,train,4724828560949248.0
69,glove,no_transform,test,8330752106168320.0
70,glove,no_transform,train,4724824265981952.0
70,glove,no_transform,test,8330746200588288.0
71,glove,no_transform,train,4724819971014656.0
71,glove,no_transform,test,8330739221266432.0
72,glove,no_transform,train,4724815676047360.0
72,glove,no_transform,test,8330730094460928.0
73,glove,no_transform,train,4724810844209152.0
73,glove,no_transform,test,8330723652009984.0
74,glove,no_transform,train,4724806012370944.0
74,glove,no_transform,test,8330716135817216.0
75,glove,no_transform,train,4724801180532736.0
75,glove,no_transform,test,8330705935269888.0
76,glove,no_transform,train,4724796885565440.0
76,glove,no_transform,test,8330700566560768.0
77,glove,no_transform,train,4724791516856320.0
77,glove,no_transform,test,8330691976626176.0
