Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_alpha_structure,no_transform,train,4724904259747840.0
1,physicochemical_alpha_structure,no_transform,test,8330865922801664.0
2,physicochemical_alpha_structure,no_transform,train,4724903186006016.0
2,physicochemical_alpha_structure,no_transform,test,8330866459672576.0
3,physicochemical_alpha_structure,no_transform,train,4724902649135104.0
3,physicochemical_alpha_structure,no_transform,test,8330865385930752.0
4,physicochemical_alpha_structure,no_transform,train,4724902112264192.0
4,physicochemical_alpha_structure,no_transform,test,8330864849059840.0
5,physicochemical_alpha_structure,no_transform,train,4724901575393280.0
5,physicochemical_alpha_structure,no_transform,test,8330864312188928.0
6,physicochemical_alpha_structure,no_transform,train,4724901038522368.0
6,physicochemical_alpha_structure,no_transform,test,8330863238447104.0
7,physicochemical_alpha_structure,no_transform,train,4724900501651456.0
7,physicochemical_alpha_structure,no_transform,test,8330862164705280.0
8,physicochemical_alpha_structure,no_transform,train,4724899427909632.0
8,physicochemical_alpha_structure,no_transform,test,8330861090963456.0
9,physicochemical_alpha_structure,no_transform,train,4724898891038720.0
9,physicochemical_alpha_structure,no_transform,test,8330860017221632.0
10,physicochemical_alpha_structure,no_transform,train,4724898891038720.0
10,physicochemical_alpha_structure,no_transform,test,8330858943479808.0
11,physicochemical_alpha_structure,no_transform,train,4724898354167808.0
11,physicochemical_alpha_structure,no_transform,test,8330858943479808.0
12,physicochemical_alpha_structure,no_transform,train,4724897817296896.0
12,physicochemical_alpha_structure,no_transform,test,8330857332867072.0
13,physicochemical_alpha_structure,no_transform,train,4724896206684160.0
13,physicochemical_alpha_structure,no_transform,test,8330856795996160.0
14,physicochemical_alpha_structure,no_transform,train,4724895669813248.0
14,physicochemical_alpha_structure,no_transform,test,8330854648512512.0
15,physicochemical_alpha_structure,no_transform,train,4724894596071424.0
15,physicochemical_alpha_structure,no_transform,test,8330852501028864.0
16,physicochemical_alpha_structure,no_transform,train,4724892985458688.0
16,physicochemical_alpha_structure,no_transform,test,8330851427287040.0
17,physicochemical_alpha_structure,no_transform,train,4724892985458688.0
17,physicochemical_alpha_structure,no_transform,test,8330850353545216.0
18,physicochemical_alpha_structure,no_transform,train,4724891374845952.0
18,physicochemical_alpha_structure,no_transform,test,8330848742932480.0
19,physicochemical_alpha_structure,no_transform,train,4724889764233216.0
19,physicochemical_alpha_structure,no_transform,test,8330846595448832.0
20,physicochemical_alpha_structure,no_transform,train,4724889764233216.0
20,physicochemical_alpha_structure,no_transform,test,8330846058577920.0
21,physicochemical_alpha_structure,no_transform,train,4724888153620480.0
21,physicochemical_alpha_structure,no_transform,test,8330843911094272.0
22,physicochemical_alpha_structure,no_transform,train,4724886543007744.0
22,physicochemical_alpha_structure,no_transform,test,8330842837352448.0
23,physicochemical_alpha_structure,no_transform,train,4724886006136832.0
23,physicochemical_alpha_structure,no_transform,test,8330841763610624.0
24,physicochemical_alpha_structure,no_transform,train,4724884395524096.0
24,physicochemical_alpha_structure,no_transform,test,8330839616126976.0
25,physicochemical_alpha_structure,no_transform,train,4724883321782272.0
25,physicochemical_alpha_structure,no_transform,test,8330838542385152.0
26,physicochemical_alpha_structure,no_transform,train,4724881174298624.0
26,physicochemical_alpha_structure,no_transform,test,8330836931772416.0
27,physicochemical_alpha_structure,no_transform,train,4724879563685888.0
27,physicochemical_alpha_structure,no_transform,test,8330835321159680.0
28,physicochemical_alpha_structure,no_transform,train,4724877953073152.0
28,physicochemical_alpha_structure,no_transform,test,8330833173676032.0
29,physicochemical_alpha_structure,no_transform,train,4724876879331328.0
29,physicochemical_alpha_structure,no_transform,test,8330830489321472.0
30,physicochemical_alpha_structure,no_transform,train,4724874731847680.0
30,physicochemical_alpha_structure,no_transform,test,8330827804966912.0
31,physicochemical_alpha_structure,no_transform,train,4724872584364032.0
31,physicochemical_alpha_structure,no_transform,test,8330825657483264.0
32,physicochemical_alpha_structure,no_transform,train,4724870436880384.0
32,physicochemical_alpha_structure,no_transform,test,8330822973128704.0
33,physicochemical_alpha_structure,no_transform,train,4724868289396736.0
33,physicochemical_alpha_structure,no_transform,test,8330820288774144.0
34,physicochemical_alpha_structure,no_transform,train,4724866678784000.0
34,physicochemical_alpha_structure,no_transform,test,8330817067548672.0
35,physicochemical_alpha_structure,no_transform,train,4724863994429440.0
35,physicochemical_alpha_structure,no_transform,test,8330814920065024.0
36,physicochemical_alpha_structure,no_transform,train,4724861310074880.0
36,physicochemical_alpha_structure,no_transform,test,8330811161968640.0
37,physicochemical_alpha_structure,no_transform,train,4724858088849408.0
37,physicochemical_alpha_structure,no_transform,test,8330807403872256.0
38,physicochemical_alpha_structure,no_transform,train,4724855941365760.0
38,physicochemical_alpha_structure,no_transform,test,8330804182646784.0
39,physicochemical_alpha_structure,no_transform,train,4724852720140288.0
39,physicochemical_alpha_structure,no_transform,test,8330800961421312.0
40,physicochemical_alpha_structure,no_transform,train,4724850035785728.0
40,physicochemical_alpha_structure,no_transform,test,8330796666454016.0
41,physicochemical_alpha_structure,no_transform,train,4724846277689344.0
41,physicochemical_alpha_structure,no_transform,test,8330791297744896.0
42,physicochemical_alpha_structure,no_transform,train,4724843056463872.0
42,physicochemical_alpha_structure,no_transform,test,8330786465906688.0
43,physicochemical_alpha_structure,no_transform,train,4724839298367488.0
43,physicochemical_alpha_structure,no_transform,test,8330781634068480.0
44,physicochemical_alpha_structure,no_transform,train,4724835540271104.0
44,physicochemical_alpha_structure,no_transform,test,8330776265359360.0
45,physicochemical_alpha_structure,no_transform,train,4724831782174720.0
45,physicochemical_alpha_structure,no_transform,test,8330769822908416.0
46,physicochemical_alpha_structure,no_transform,train,4724827487207424.0
46,physicochemical_alpha_structure,no_transform,test,8330762306715648.0
47,physicochemical_alpha_structure,no_transform,train,4724823192240128.0
47,physicochemical_alpha_structure,no_transform,test,8330756401135616.0
48,physicochemical_alpha_structure,no_transform,train,4724818360401920.0
48,physicochemical_alpha_structure,no_transform,test,8330749421813760.0
49,physicochemical_alpha_structure,no_transform,train,4724813528563712.0
49,physicochemical_alpha_structure,no_transform,test,8330741905620992.0
50,physicochemical_alpha_structure,no_transform,train,4724807622983680.0
50,physicochemical_alpha_structure,no_transform,test,8330733315686400.0
51,physicochemical_alpha_structure,no_transform,train,4724802791145472.0
51,physicochemical_alpha_structure,no_transform,test,8330725799493632.0
52,physicochemical_alpha_structure,no_transform,train,4724797422436352.0
52,physicochemical_alpha_structure,no_transform,test,8330718283300864.0
53,physicochemical_alpha_structure,no_transform,train,4724791516856320.0
53,physicochemical_alpha_structure,no_transform,test,8330709156495360.0
54,physicochemical_alpha_structure,no_transform,train,4724785611276288.0
54,physicochemical_alpha_structure,no_transform,test,8330701640302592.0
55,physicochemical_alpha_structure,no_transform,train,4724779168825344.0
55,physicochemical_alpha_structure,no_transform,test,8330692513497088.0
56,physicochemical_alpha_structure,no_transform,train,4724772726374400.0
56,physicochemical_alpha_structure,no_transform,test,8330684460433408.0
57,physicochemical_alpha_structure,no_transform,train,4724766283923456.0
57,physicochemical_alpha_structure,no_transform,test,8330675870498816.0
58,physicochemical_alpha_structure,no_transform,train,4724759304601600.0
58,physicochemical_alpha_structure,no_transform,test,8330667817435136.0
59,physicochemical_alpha_structure,no_transform,train,4724752325279744.0
59,physicochemical_alpha_structure,no_transform,test,8330657080016896.0
60,physicochemical_alpha_structure,no_transform,train,4724744272216064.0
60,physicochemical_alpha_structure,no_transform,test,8330647416340480.0
61,physicochemical_alpha_structure,no_transform,train,4724736756023296.0
61,physicochemical_alpha_structure,no_transform,test,8330638289534976.0
62,physicochemical_alpha_structure,no_transform,train,4724728702959616.0
