Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_hydropathy,no_transform,train,4724904259747840.0
1,physicochemical_hydropathy,no_transform,test,8330870754639872.0
2,physicochemical_hydropathy,no_transform,train,4724904259747840.0
2,physicochemical_hydropathy,no_transform,test,8330870754639872.0
3,physicochemical_hydropathy,no_transform,train,4724903722876928.0
3,physicochemical_hydropathy,no_transform,test,8330870754639872.0
4,physicochemical_hydropathy,no_transform,train,4724903722876928.0
4,physicochemical_hydropathy,no_transform,test,8330870754639872.0
5,physicochemical_hydropathy,no_transform,train,4724903722876928.0
5,physicochemical_hydropathy,no_transform,test,8330870754639872.0
6,physicochemical_hydropathy,no_transform,train,4724903722876928.0
6,physicochemical_hydropathy,no_transform,test,8330870754639872.0
7,physicochemical_hydropathy,no_transform,train,4724903186006016.0
7,physicochemical_hydropathy,no_transform,test,8330870754639872.0
8,physicochemical_hydropathy,no_transform,train,4724903186006016.0
8,physicochemical_hydropathy,no_transform,test,8330869680898048.0
9,physicochemical_hydropathy,no_transform,train,4724903186006016.0
9,physicochemical_hydropathy,no_transform,test,8330869680898048.0
10,physicochemical_hydropathy,no_transform,train,4724902649135104.0
10,physicochemical_hydropathy,no_transform,test,8330869680898048.0
11,physicochemical_hydropathy,no_transform,train,4724902649135104.0
11,physicochemical_hydropathy,no_transform,test,8330869680898048.0
12,physicochemical_hydropathy,no_transform,train,4724902649135104.0
12,physicochemical_hydropathy,no_transform,test,8330869680898048.0
13,physicochemical_hydropathy,no_transform,train,4724902112264192.0
13,physicochemical_hydropathy,no_transform,test,8330868607156224.0
14,physicochemical_hydropathy,no_transform,train,4724902112264192.0
14,physicochemical_hydropathy,no_transform,test,8330868607156224.0
15,physicochemical_hydropathy,no_transform,train,4724902112264192.0
15,physicochemical_hydropathy,no_transform,test,8330868070285312.0
16,physicochemical_hydropathy,no_transform,train,4724901575393280.0
16,physicochemical_hydropathy,no_transform,test,8330867533414400.0
17,physicochemical_hydropathy,no_transform,train,4724901038522368.0
17,physicochemical_hydropathy,no_transform,test,8330866996543488.0
18,physicochemical_hydropathy,no_transform,train,4724901038522368.0
18,physicochemical_hydropathy,no_transform,test,8330866459672576.0
19,physicochemical_hydropathy,no_transform,train,4724900501651456.0
19,physicochemical_hydropathy,no_transform,test,8330866459672576.0
20,physicochemical_hydropathy,no_transform,train,4724899964780544.0
20,physicochemical_hydropathy,no_transform,test,8330865922801664.0
21,physicochemical_hydropathy,no_transform,train,4724899427909632.0
21,physicochemical_hydropathy,no_transform,test,8330865385930752.0
22,physicochemical_hydropathy,no_transform,train,4724898891038720.0
22,physicochemical_hydropathy,no_transform,test,8330864312188928.0
23,physicochemical_hydropathy,no_transform,train,4724898891038720.0
23,physicochemical_hydropathy,no_transform,test,8330863775318016.0
24,physicochemical_hydropathy,no_transform,train,4724897817296896.0
24,physicochemical_hydropathy,no_transform,test,8330863238447104.0
25,physicochemical_hydropathy,no_transform,train,4724897280425984.0
25,physicochemical_hydropathy,no_transform,test,8330862164705280.0
26,physicochemical_hydropathy,no_transform,train,4724896743555072.0
26,physicochemical_hydropathy,no_transform,test,8330861090963456.0
27,physicochemical_hydropathy,no_transform,train,4724895669813248.0
27,physicochemical_hydropathy,no_transform,test,8330861090963456.0
28,physicochemical_hydropathy,no_transform,train,4724895669813248.0
28,physicochemical_hydropathy,no_transform,test,8330859480350720.0
29,physicochemical_hydropathy,no_transform,train,4724894596071424.0
29,physicochemical_hydropathy,no_transform,test,8330857869737984.0
30,physicochemical_hydropathy,no_transform,train,4724893522329600.0
30,physicochemical_hydropathy,no_transform,test,8330856795996160.0
31,physicochemical_hydropathy,no_transform,train,4724892448587776.0
31,physicochemical_hydropathy,no_transform,test,8330855722254336.0
32,physicochemical_hydropathy,no_transform,train,4724891911716864.0
32,physicochemical_hydropathy,no_transform,test,8330854648512512.0
33,physicochemical_hydropathy,no_transform,train,4724890301104128.0
33,physicochemical_hydropathy,no_transform,test,8330853574770688.0
34,physicochemical_hydropathy,no_transform,train,4724889764233216.0
34,physicochemical_hydropathy,no_transform,test,8330851427287040.0
35,physicochemical_hydropathy,no_transform,train,4724888690491392.0
35,physicochemical_hydropathy,no_transform,test,8330849816674304.0
36,physicochemical_hydropathy,no_transform,train,4724886543007744.0
36,physicochemical_hydropathy,no_transform,test,8330848206061568.0
37,physicochemical_hydropathy,no_transform,train,4724885469265920.0
37,physicochemical_hydropathy,no_transform,test,8330845521707008.0
38,physicochemical_hydropathy,no_transform,train,4724883858653184.0
38,physicochemical_hydropathy,no_transform,test,8330843374223360.0
39,physicochemical_hydropathy,no_transform,train,4724882248040448.0
39,physicochemical_hydropathy,no_transform,test,8330840689868800.0
40,physicochemical_hydropathy,no_transform,train,4724880100556800.0
40,physicochemical_hydropathy,no_transform,test,8330838542385152.0
41,physicochemical_hydropathy,no_transform,train,4724878489944064.0
41,physicochemical_hydropathy,no_transform,test,8330834784288768.0
42,physicochemical_hydropathy,no_transform,train,4724876879331328.0
42,physicochemical_hydropathy,no_transform,test,8330832099934208.0
43,physicochemical_hydropathy,no_transform,train,4724873658105856.0
43,physicochemical_hydropathy,no_transform,test,8330828878708736.0
44,physicochemical_hydropathy,no_transform,train,4724871510622208.0
44,physicochemical_hydropathy,no_transform,test,8330825120612352.0
45,physicochemical_hydropathy,no_transform,train,4724869363138560.0
45,physicochemical_hydropathy,no_transform,test,8330820288774144.0
46,physicochemical_hydropathy,no_transform,train,4724866678784000.0
46,physicochemical_hydropathy,no_transform,test,8330817067548672.0
47,physicochemical_hydropathy,no_transform,train,4724863994429440.0
47,physicochemical_hydropathy,no_transform,test,8330813309452288.0
48,physicochemical_hydropathy,no_transform,train,4724860773203968.0
48,physicochemical_hydropathy,no_transform,test,8330808477614080.0
49,physicochemical_hydropathy,no_transform,train,4724857551978496.0
49,physicochemical_hydropathy,no_transform,test,8330804719517696.0
50,physicochemical_hydropathy,no_transform,train,4724854330753024.0
50,physicochemical_hydropathy,no_transform,test,8330799887679488.0
51,physicochemical_hydropathy,no_transform,train,4724851109527552.0
51,physicochemical_hydropathy,no_transform,test,8330795592712192.0
52,physicochemical_hydropathy,no_transform,train,4724847351431168.0
52,physicochemical_hydropathy,no_transform,test,8330791297744896.0
53,physicochemical_hydropathy,no_transform,train,4724843056463872.0
53,physicochemical_hydropathy,no_transform,test,8330785929035776.0
54,physicochemical_hydropathy,no_transform,train,4724839298367488.0
