Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_secondary_structure,no_transform,train,4724904259747840.0
1,physicochemical_secondary_structure,no_transform,test,8330868607156224.0
2,physicochemical_secondary_structure,no_transform,train,4724903186006016.0
2,physicochemical_secondary_structure,no_transform,test,8330869680898048.0
3,physicochemical_secondary_structure,no_transform,train,4724903186006016.0
3,physicochemical_secondary_structure,no_transform,test,8330868607156224.0
4,physicochemical_secondary_structure,no_transform,train,4724902649135104.0
4,physicochemical_secondary_structure,no_transform,test,8330868070285312.0
5,physicochemical_secondary_structure,no_transform,train,4724902649135104.0
5,physicochemical_secondary_structure,no_transform,test,8330867533414400.0
6,physicochemical_secondary_structure,no_transform,train,4724902112264192.0
6,physicochemical_secondary_structure,no_transform,test,8330867533414400.0
7,physicochemical_secondary_structure,no_transform,train,4724902112264192.0
7,physicochemical_secondary_structure,no_transform,test,8330867533414400.0
8,physicochemical_secondary_structure,no_transform,train,4724902112264192.0
8,physicochemical_secondary_structure,no_transform,test,8330866459672576.0
9,physicochemical_secondary_structure,no_transform,train,4724901575393280.0
9,physicochemical_secondary_structure,no_transform,test,8330865922801664.0
10,physicochemical_secondary_structure,no_transform,train,4724900501651456.0
10,physicochemical_secondary_structure,no_transform,test,8330865385930752.0
11,physicochemical_secondary_structure,no_transform,train,4724900501651456.0
11,physicochemical_secondary_structure,no_transform,test,8330864849059840.0
12,physicochemical_secondary_structure,no_transform,train,4724899427909632.0
12,physicochemical_secondary_structure,no_transform,test,8330864312188928.0
13,physicochemical_secondary_structure,no_transform,train,4724899427909632.0
13,physicochemical_secondary_structure,no_transform,test,8330863775318016.0
14,physicochemical_secondary_structure,no_transform,train,4724898891038720.0
14,physicochemical_secondary_structure,no_transform,test,8330862164705280.0
15,physicochemical_secondary_structure,no_transform,train,4724898891038720.0
15,physicochemical_secondary_structure,no_transform,test,8330862164705280.0
16,physicochemical_secondary_structure,no_transform,train,4724897817296896.0
16,physicochemical_secondary_structure,no_transform,test,8330860554092544.0
17,physicochemical_secondary_structure,no_transform,train,4724897817296896.0
17,physicochemical_secondary_structure,no_transform,test,8330859480350720.0
18,physicochemical_secondary_structure,no_transform,train,4724896206684160.0
18,physicochemical_secondary_structure,no_transform,test,8330857869737984.0
19,physicochemical_secondary_structure,no_transform,train,4724895669813248.0
19,physicochemical_secondary_structure,no_transform,test,8330857869737984.0
20,physicochemical_secondary_structure,no_transform,train,4724895132942336.0
20,physicochemical_secondary_structure,no_transform,test,8330855722254336.0
21,physicochemical_secondary_structure,no_transform,train,4724894059200512.0
21,physicochemical_secondary_structure,no_transform,test,8330855185383424.0
22,physicochemical_secondary_structure,no_transform,train,4724892985458688.0
22,physicochemical_secondary_structure,no_transform,test,8330854648512512.0
23,physicochemical_secondary_structure,no_transform,train,4724892448587776.0
23,physicochemical_secondary_structure,no_transform,test,8330853574770688.0
24,physicochemical_secondary_structure,no_transform,train,4724891911716864.0
24,physicochemical_secondary_structure,no_transform,test,8330852501028864.0
25,physicochemical_secondary_structure,no_transform,train,4724890301104128.0
25,physicochemical_secondary_structure,no_transform,test,8330850890416128.0
26,physicochemical_secondary_structure,no_transform,train,4724889764233216.0
26,physicochemical_secondary_structure,no_transform,test,8330850353545216.0
27,physicochemical_secondary_structure,no_transform,train,4724888690491392.0
27,physicochemical_secondary_structure,no_transform,test,8330848206061568.0
28,physicochemical_secondary_structure,no_transform,train,4724887079878656.0
28,physicochemical_secondary_structure,no_transform,test,8330847132319744.0
29,physicochemical_secondary_structure,no_transform,train,4724886543007744.0
29,physicochemical_secondary_structure,no_transform,test,8330845521707008.0
30,physicochemical_secondary_structure,no_transform,train,4724884932395008.0
30,physicochemical_secondary_structure,no_transform,test,8330844447965184.0
31,physicochemical_secondary_structure,no_transform,train,4724883321782272.0
31,physicochemical_secondary_structure,no_transform,test,8330842300481536.0
32,physicochemical_secondary_structure,no_transform,train,4724882248040448.0
32,physicochemical_secondary_structure,no_transform,test,8330840689868800.0
33,physicochemical_secondary_structure,no_transform,train,4724880100556800.0
33,physicochemical_secondary_structure,no_transform,test,8330838542385152.0
34,physicochemical_secondary_structure,no_transform,train,4724879026814976.0
34,physicochemical_secondary_structure,no_transform,test,8330836394901504.0
35,physicochemical_secondary_structure,no_transform,train,4724876879331328.0
35,physicochemical_secondary_structure,no_transform,test,8330834247417856.0
36,physicochemical_secondary_structure,no_transform,train,4724875268718592.0
36,physicochemical_secondary_structure,no_transform,test,8330832099934208.0
37,physicochemical_secondary_structure,no_transform,train,4724873121234944.0
37,physicochemical_secondary_structure,no_transform,test,8330828878708736.0
38,physicochemical_secondary_structure,no_transform,train,4724871510622208.0
38,physicochemical_secondary_structure,no_transform,test,8330826731225088.0
39,physicochemical_secondary_structure,no_transform,train,4724869363138560.0
39,physicochemical_secondary_structure,no_transform,test,8330823509999616.0
40,physicochemical_secondary_structure,no_transform,train,4724866678784000.0
40,physicochemical_secondary_structure,no_transform,test,8330820288774144.0
41,physicochemical_secondary_structure,no_transform,train,4724864531300352.0
41,physicochemical_secondary_structure,no_transform,test,8330817067548672.0
42,physicochemical_secondary_structure,no_transform,train,4724861310074880.0
42,physicochemical_secondary_structure,no_transform,test,8330813309452288.0
43,physicochemical_secondary_structure,no_transform,train,4724858625720320.0
43,physicochemical_secondary_structure,no_transform,test,8330809551355904.0
44,physicochemical_secondary_structure,no_transform,train,4724855941365760.0
44,physicochemical_secondary_structure,no_transform,test,8330804719517696.0
45,physicochemical_secondary_structure,no_transform,train,4724852720140288.0
45,physicochemical_secondary_structure,no_transform,test,8330800961421312.0
46,physicochemical_secondary_structure,no_transform,train,4724849498914816.0
46,physicochemical_secondary_structure,no_transform,test,8330795592712192.0
47,physicochemical_secondary_structure,no_transform,train,4724846277689344.0
47,physicochemical_secondary_structure,no_transform,test,8330790224003072.0
48,physicochemical_secondary_structure,no_transform,train,4724841982722048.0
48,physicochemical_secondary_structure,no_transform,test,8330784855293952.0
49,physicochemical_secondary_structure,no_transform,train,4724838224625664.0
49,physicochemical_secondary_structure,no_transform,test,8330778412843008.0
50,physicochemical_secondary_structure,no_transform,train,4724833392787456.0
50,physicochemical_secondary_structure,no_transform,test,8330771970392064.0
51,physicochemical_secondary_structure,no_transform,train,4724829634691072.0
51,physicochemical_secondary_structure,no_transform,test,8330765527941120.0
52,physicochemical_secondary_structure,no_transform,train,4724825339723776.0
52,physicochemical_secondary_structure,no_transform,test,8330758548619264.0
53,physicochemical_secondary_structure,no_transform,train,4724819971014656.0
53,physicochemical_secondary_structure,no_transform,test,8330751569297408.0
54,physicochemical_secondary_structure,no_transform,train,4724815676047360.0
54,physicochemical_secondary_structure,no_transform,test,8330745663717376.0
55,physicochemical_secondary_structure,no_transform,train,4724810844209152.0
55,physicochemical_secondary_structure,no_transform,test,8330738684395520.0
56,physicochemical_secondary_structure,no_transform,train,4724805475500032.0
56,physicochemical_secondary_structure,no_transform,test,8330732241944576.0
57,physicochemical_secondary_structure,no_transform,train,4724800106790912.0
57,physicochemical_secondary_structure,no_transform,test,8330724725751808.0
