Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_volume,no_transform,train,4724904259747840.0
1,physicochemical_volume,no_transform,test,8330870217768960.0
2,physicochemical_volume,no_transform,train,4724903722876928.0
2,physicochemical_volume,no_transform,test,8330870217768960.0
3,physicochemical_volume,no_transform,train,4724903186006016.0
3,physicochemical_volume,no_transform,test,8330870217768960.0
4,physicochemical_volume,no_transform,train,4724903186006016.0
4,physicochemical_volume,no_transform,test,8330869680898048.0
5,physicochemical_volume,no_transform,train,4724903186006016.0
5,physicochemical_volume,no_transform,test,8330869680898048.0
6,physicochemical_volume,no_transform,train,4724902649135104.0
6,physicochemical_volume,no_transform,test,8330868607156224.0
7,physicochemical_volume,no_transform,train,4724902649135104.0
7,physicochemical_volume,no_transform,test,8330868607156224.0
8,physicochemical_volume,no_transform,train,4724902649135104.0
8,physicochemical_volume,no_transform,test,8330868607156224.0
9,physicochemical_volume,no_transform,train,4724902112264192.0
9,physicochemical_volume,no_transform,test,8330868070285312.0
10,physicochemical_volume,no_transform,train,4724902112264192.0
10,physicochemical_volume,no_transform,test,8330867533414400.0
11,physicochemical_volume,no_transform,train,4724902112264192.0
11,physicochemical_volume,no_transform,test,8330866996543488.0
12,physicochemical_volume,no_transform,train,4724901575393280.0
12,physicochemical_volume,no_transform,test,8330866459672576.0
13,physicochemical_volume,no_transform,train,4724900501651456.0
13,physicochemical_volume,no_transform,test,8330865922801664.0
14,physicochemical_volume,no_transform,train,4724900501651456.0
14,physicochemical_volume,no_transform,test,8330865385930752.0
15,physicochemical_volume,no_transform,train,4724899427909632.0
15,physicochemical_volume,no_transform,test,8330864312188928.0
16,physicochemical_volume,no_transform,train,4724899427909632.0
16,physicochemical_volume,no_transform,test,8330863775318016.0
17,physicochemical_volume,no_transform,train,4724898891038720.0
17,physicochemical_volume,no_transform,test,8330863238447104.0
18,physicochemical_volume,no_transform,train,4724898354167808.0
18,physicochemical_volume,no_transform,test,8330862164705280.0
19,physicochemical_volume,no_transform,train,4724898354167808.0
19,physicochemical_volume,no_transform,test,8330861090963456.0
20,physicochemical_volume,no_transform,train,4724897280425984.0
20,physicochemical_volume,no_transform,test,8330860554092544.0
21,physicochemical_volume,no_transform,train,4724896743555072.0
21,physicochemical_volume,no_transform,test,8330859480350720.0
22,physicochemical_volume,no_transform,train,4724895669813248.0
22,physicochemical_volume,no_transform,test,8330858943479808.0
23,physicochemical_volume,no_transform,train,4724895669813248.0
23,physicochemical_volume,no_transform,test,8330857869737984.0
